#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 0.0095	 0.47605	 0.0278	 0.69299	 0	 0
0.019998	 0.0163	 0.40854	 0.0527	 0.65516	 0	 0
0.029997	 0.0165	 0.27584	 0.0701	 0.58224	 0	 0
0.039998	 0.0343	 0.42918	 0.0738	 0.45385	 0	 0
0.049998	 0.0313	 0.31270	 0.0999	 0.49459	 0	 0
0.059998	 0.0576	 0.48008	 0.1175	 0.47591	 0	 0
0.069998	 0.0562	 0.40171	 0.1327	 0.46263	 0	 0
0.079998	 0.0608	 0.38022	 0.1556	 0.47466	 0	 0
0.089998	 0.0723	 0.40170	 0.1821	 0.49130	 0	 0
0.099998	 0.0840	 0.41977	 0.1981	 0.47772	 0	 0
0.109998	 0.1009	 0.45858	 0.2290	 0.49744	 0	 0
0.119998	 0.0917	 0.38223	 0.2378	 0.47782	 0	 0
0.129998	 0.1043	 0.40105	 0.2687	 0.49585	 0	 0
0.139998	 0.1350	 0.48203	 0.3152	 0.53033	 0	 0
0.149997	 0.1621	 0.54042	 0.3381	 0.51972	 0	 0
0.159997	 0.1839	 0.57474	 0.3479	 0.49071	 0	 0
0.169997	 0.2264	 0.66590	 0.3911	 0.49972	 0	 0
0.179997	 0.2430	 0.67491	 0.3995	 0.47292	 0	 0
0.189997	 0.2560	 0.67371	 0.4260	 0.47433	 0	 0
0.199997	 0.2621	 0.65516	 0.4573	 0.48575	 0	 0
0.209997	 0.2723	 0.64828	 0.4640	 0.46416	 0	 0
0.219997	 0.2702	 0.61399	 0.4846	 0.46775	 0	 0
0.229997	 0.2950	 0.64123	 0.5325	 0.48420	 0	 0
0.239997	 0.2944	 0.61331	 0.5426	 0.47498	 0	 0
0.249997	 0.3150	 0.62991	 0.5444	 0.44518	 0	 0
0.259997	 0.3174	 0.61039	 0.5544	 0.43624	 0	 0
0.269997	 0.3350	 0.62030	 0.5831	 0.43606	 0	 0
0.279997	 0.3707	 0.66194	 0.6243	 0.43476	 0	 0
0.289997	 0.3750	 0.64652	 0.6709	 0.45714	 0	 0
0.299997	 0.3876	 0.64609	 0.6935	 0.45272	 0	 0
0.010000	 0.0182	 0.91089	 0.1947	 4.85970	 0	 0
0.020000	 0.0283	 0.70637	 0.2157	 2.68659	 0	 0
0.030000	 0.0532	 0.88657	 0.2220	 1.82624	 0	 0
0.040000	 0.0673	 0.84082	 0.2387	 1.46381	 0	 0
0.050000	 0.0776	 0.77559	 0.2603	 1.27136	 0	 0
0.060000	 0.0707	 0.58895	 0.2783	 1.13869	 0	 0
0.070000	 0.0745	 0.53200	 0.2887	 1.01139	 0	 0
0.080000	 0.0853	 0.53294	 0.3274	 1.00036	 0	 0
0.090000	 0.1228	 0.68249	 0.3485	 0.92601	 0	 0
0.100000	 0.1259	 0.62974	 0.3924	 0.94124	 0	 0
0.110000	 0.1262	 0.57367	 0.3931	 0.85718	 0	 0
0.120000	 0.1271	 0.52962	 0.4128	 0.82638	 0	 0
0.130000	 0.1454	 0.55934	 0.4360	 0.79770	 0	 0
0.140000	 0.1538	 0.54941	 0.4552	 0.77063	 0	 0
0.150000	 0.1390	 0.46328	 0.5022	 0.80476	 0	 0
0.160000	 0.1516	 0.47370	 0.5067	 0.75581	 0	 0
0.170000	 0.1721	 0.50619	 0.5335	 0.74106	 0	 0
0.180000	 0.1707	 0.47428	 0.5520	 0.72614	 0	 0
0.190000	 0.1739	 0.45753	 0.5711	 0.71164	 0	 0
0.200000	 0.1869	 0.46717	 0.5813	 0.68300	 0	 0
0.210000	 0.2023	 0.48160	 0.5965	 0.66143	 1	 1
0.220000	 0.1869	 0.42479	 0.5977	 0.63948	 2	 2
0.230000	 0.1944	 0.42264	 0.6137	 0.62595	 3	 3
0.240000	 0.2060	 0.42924	 0.6568	 0.63992	 4	 4
0.250000	 0.2304	 0.46086	 0.6641	 0.61103	 5	 5
0.260000	 0.2390	 0.45959	 0.6917	 0.61014	 6	 6
0.270000	 0.2393	 0.44308	 0.7144	 0.60850	 7	 7
0.280000	 0.2435	 0.43479	 0.6870	 0.56048	 8	 8
0.290000	 0.2477	 0.42714	 0.6948	 0.54607	 9	 9
0.300000	 0.2712	 0.45194	 0.7188	 0.53770	 10	 10
0.310000	 0.2716	 0.43807	 0.7138	 0.51612	 11	 11
0.320000	 0.2893	 0.45195	 0.7694	 0.53570	 12	 12
0.330000	 0.2883	 0.43688	 0.7736	 0.52311	 13	 13
0.340000	 0.3214	 0.47263	 0.7616	 0.48406	 14	 14
0.350000	 0.3305	 0.47214	 0.8089	 0.49977	 15	 15
0.360000	 0.3202	 0.44469	 0.8125	 0.49307	 16	 16
0.370000	 0.3240	 0.43779	 0.8221	 0.48455	 17	 17
0.380000	 0.3177	 0.41808	 0.8514	 0.49370	 18	 18
0.390000	 0.2997	 0.38421	 0.8482	 0.48618	 19	 19
0.400000	 0.3056	 0.38205	 0.8719	 0.48654	 20	 20


Average of all Threads:

msd = 0.77847	 meanspd = 0.76410	 mu = 0.38205	 deff = 0.48654

