#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 -0.034728	 -0.00000
0.019998	 -0.073806	 0.00000
0.029997	 0.116484	 -0.00001
0.039998	 0.183643	 0.00000
0.049998	 0.131840	 0.00000
0.059998	 0.118164	 -0.00000
0.069998	 0.139670	 -0.00002
0.079998	 0.154670	 0.00001
0.089998	 0.166968	 0.00002
0.099998	 0.166252	 0.00001
0.109998	 0.171160	 0.00003
0.119998	 0.164838	 0.00006
0.129998	 0.151800	 0.00008
0.139998	 0.161214	 0.00010
0.149997	 0.171005	 0.00014
0.159997	 0.180650	 0.00013
0.169997	 0.194670	 0.00009
0.179997	 0.191250	 0.00011
0.189997	 0.189007	 0.00015
0.199997	 0.179017	 0.00007
0.209997	 0.178841	 0.00013
0.219997	 0.179466	 0.00008
0.229997	 0.189210	 0.00005
0.239997	 0.188244	 0.00008
0.249997	 0.191338	 -0.00002
0.259997	 0.193310	 0.00007
0.269997	 0.201533	 0.00008
0.279997	 0.199761	 0.00012
0.289997	 0.195418	 0.00005
0.299997	 0.188895	 0.00010
0.010000	 3.799695	 -0.01401
0.020000	 2.083238	 -0.01286
0.030000	 1.399901	 -0.01284
0.040000	 1.061133	 -0.01196
0.050000	 0.862386	 -0.01092
0.060000	 0.731402	 -0.01097
0.070000	 0.663457	 -0.01035
0.080000	 0.613344	 -0.01064
0.090000	 0.533417	 -0.01014
0.100000	 0.497191	 -0.00838
0.110000	 0.466783	 -0.00901
0.120000	 0.452852	 -0.00946
0.130000	 0.436822	 -0.00970
0.140000	 0.428600	 -0.00995
0.150000	 0.399986	 -0.01090
0.160000	 0.374876	 -0.01150
0.170000	 0.357146	 -0.01136
0.180000	 0.329097	 -0.01142
0.190000	 0.309706	 -0.01226
0.200000	 0.294304	 -0.01233
0.210000	 0.290197	 -0.01286
0.220000	 0.296148	 -0.01379
0.230000	 0.293620	 -0.01464
0.240000	 0.283307	 -0.01432
0.250000	 0.274984	 -0.01457
0.260000	 0.272591	 -0.01309
0.270000	 0.270361	 -0.01355
0.280000	 0.267604	 -0.01373
0.290000	 0.265152	 -0.01219
0.300000	 0.259810	 -0.01226
0.310000	 0.255413	 -0.01296
0.320000	 0.254405	 -0.01259
0.330000	 0.257084	 -0.01357
0.340000	 0.257757	 -0.01501
0.350000	 0.248568	 -0.01460
0.360000	 0.251906	 -0.01321
0.370000	 0.250151	 -0.01378
0.380000	 0.236043	 -0.01293
0.390000	 0.233656	 -0.01245
0.400000	 0.230364	 -0.01259


Average of all Threads:

meanx = 0.09215	 meanxsqu = 0.08680	 mthree = -0.01259

