#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb	 abbdeff
0.099998	 0.1729	 1.72944	 0.8647	  0	 0
0.149997	 0.2652	 1.76779	 0.8839	  0	 0
0.199997	 0.2982	 1.49104	 0.7455	  0	 0
0.249997	 0.3747	 1.49890	 0.7495	  0	 0
0.299997	 0.4304	 1.43472	 0.7174	  0	 0
0.349998	 0.4949	 1.41414	 0.7071	  0	 0
0.399998	 0.5543	 1.38576	 0.6929	  0	 0
0.449998	 0.6401	 1.42254	 0.7113	  0	 0
0.499998	 0.6575	 1.31491	 0.6575	  0	 0
0.050000	 0.0737	 1.47409	 0.7370	  0	 0
0.100000	 0.1406	 1.40568	 0.7028	  0	 0
0.150000	 0.1430	 0.95365	 0.4768	  0	 0
0.200000	 0.2034	 1.01711	 0.5086	  0	 0
0.250000	 0.2818	 1.12723	 0.5636	  0	 0
0.300000	 0.3216	 1.07213	 0.5361	  0	 0
0.350000	 0.3495	 0.99850	 0.4993	  0	 0
0.400000	 0.4191	 1.04781	 0.5239	  0	 0
0.450000	 0.4488	 0.99736	 0.4987	  0	 0
0.500000	 0.4621	 0.92425	 0.4621	  0	 0
0.550000	 0.5408	 0.98330	 0.4916	  0	 0
0.600000	 0.6009	 1.00144	 0.5007	  0	 0
0.650000	 0.6195	 0.95300	 0.4765	  0	 0
0.700000	 0.6515	 0.93078	 0.4654	  0	 0
0.750000	 0.7314	 0.97523	 0.4876	  0	 0
0.800000	 0.7686	 0.96075	 0.4804	  0	 0
0.850000	 0.8278	 0.97383	 0.4869	  0	 0
0.900000	 0.8404	 0.93379	 0.4669	  0	 0
0.950000	 0.8996	 0.94696	 0.4735	  0	 0
1.000000	 0.9903	 0.99031	 0.4952	  0	 0
1.050000	 1.0651	 1.01438	 0.5072	  0	 0
1.100000	 1.1028	 1.00255	 0.5013	  0	 0
1.150000	 1.1387	 0.99021	 0.4951	  0	 0
1.200000	 1.2399	 1.03322	 0.5166	  0	 0
1.250000	 1.3157	 1.05255	 0.5263	  0	 0
1.300000	 1.4326	 1.10200	 0.5510	  0	 0
1.350000	 1.5015	 1.11225	 0.5561	  0	 0
1.400000	 1.5688	 1.12056	 0.5603	  0	 0
1.450000	 1.6568	 1.14264	 0.5713	  0	 0
1.500000	 1.6844	 1.12295	 0.5615	  0	 0
1.550000	 1.6864	 1.08799	 0.5440	  0	 0
1.600000	 1.7551	 1.09692	 0.5485	  0	 0
1.650000	 1.7772	 1.07709	 0.5385	  0	 0
1.700000	 1.8438	 1.08458	 0.5423	  0	 0
1.750000	 1.9233	 1.09905	 0.5495	  0	 0
1.800000	 1.9539	 1.08550	 0.5428	  0	 0
1.850000	 2.0370	 1.10106	 0.5505	  0	 0
1.900000	 2.0924	 1.10125	 0.5506	  0	 0
1.950000	 2.1697	 1.11268	 0.5563	  0	 0
2.000000	 2.2595	 1.12974	 0.5649	  0	 0
2.050000	 2.3015	 1.12270	 0.5613	  1	 1
2.100000	 2.3690	 1.12810	 0.5640	  2	 2
2.150000	 2.4184	 1.12484	 0.5624	  3	 3
2.200000	 2.4413	 1.10970	 0.5548	  4	 4
2.250000	 2.5222	 1.12100	 0.5605	  5	 5
2.300000	 2.5664	 1.11585	 0.5579	  6	 6
2.350000	 2.6979	 1.14804	 0.5740	  7	 7
2.400000	 2.7849	 1.16036	 0.5802	  8	 8
2.450000	 2.8238	 1.15256	 0.5763	  9	 9
2.500000	 2.8824	 1.15297	 0.5765	  10	 10
2.550000	 2.9800	 1.16861	 0.5843	  11	 11
2.600000	 3.0581	 1.17620	 0.5881	  12	 12
2.650000	 3.1000	 1.16981	 0.5849	  13	 13
2.700000	 3.1606	 1.17059	 0.5853	  14	 14
2.750000	 3.1704	 1.15288	 0.5764	  15	 15
2.800000	 3.2466	 1.15949	 0.5797	  16	 16
2.850000	 3.3262	 1.16709	 0.5835	  17	 17
2.900000	 3.3617	 1.15920	 0.5796	  18	 18
2.950000	 3.3883	 1.14856	 0.5743	  19	 19
3.000000	 3.4498	 1.14994	 0.5750	  20	 20


Average of all Threads:

meanx = 3.44981	 meanspeed = 1.14994	 mu = 0.57497

