#xpositions	 ypositions
0.45844	 -0.12874
0.58594	 -0.04983
0.88161	 -0.03453
0.73045	 0.04796
0.21033	 -0.33196
0.22316	 -0.02493
0.98137	 -0.07568
0.92188	 0.08886
0.08831	 -0.02142
0.81801	 0.01775
0.08079	 -0.21442
0.07484	 0.03431
0.21829	 -0.02891
0.30874	 0.29624
0.44934	 -0.19048
0.38718	 0.19977
0.97634	 -0.14548
0.79543	 -0.02447
0.13164	 0.21178
0.42469	 -0.03558
0.46423	 0.15891
0.54299	 0.07659
0.63269	 -0.03938
0.85108	 -0.04848
0.13250	 0.26616
0.24496	 0.08210
0.03503	 0.01943
0.55279	 0.02638
0.89144	 0.13376
0.39004	 -0.18061
0.01248	 -0.17244
0.51280	 -0.05366
0.45717	 0.08537
0.11723	 -0.21945
0.22469	 0.12233
0.21290	 0.02322
0.84647	 -0.05447
0.27992	 -0.11919
0.96726	 -0.00520
0.34938	 0.12302
0.36810	 -0.11333
0.18374	 -0.35060
0.29893	 0.18543
0.26953	 0.08468
0.67658	 -0.00964
0.15630	 0.35603
0.10771	 -0.31036
0.04277	 0.07812
0.21989	 -0.22170
0.52063	 0.16101
0.35597	 0.30626
0.48153	 0.18114
0.92446	 0.15925
0.92809	 -0.08248
0.25565	 0.29941
0.38067	 -0.09235
0.98922	 -0.16081
0.37416	 0.08056
0.46043	 -0.21597
0.16323	 -0.31810
0.78978	 0.02090
0.57505	 -0.02132
0.36642	 -0.26124
0.90166	 -0.11553
0.32812	 0.26547
0.47827	 -0.18886
0.15578	 0.35004
0.62865	 0.06396
0.43895	 0.12964
0.80963	 -0.07660
0.23346	 0.01727
0.24034	 -0.20932
0.24722	 0.29687
0.34519	 0.25221
0.60944	 0.05543
0.97241	 0.06153
0.34122	 -0.09801
0.00543	 0.02417
0.83575	 0.09695
0.45591	 0.04355
0.30246	 -0.11468
0.27531	 -0.19451
0.95921	 0.00305
0.56080	 -0.02054
0.02461	 -0.19280
0.16378	 -0.09269
0.33427	 0.08964
0.59045	 -0.01068
0.39528	 0.23633
0.09642	 -0.21130
0.59971	 0.08349
0.65812	 0.01353
0.33043	 -0.17740
0.50539	 -0.03761
0.65111	 0.06563
0.98614	 -0.07977
0.08346	 -0.23250
0.28695	 -0.26802
0.57846	 -0.00066
0.91411	 0.12943
0.10532	 -0.09886
0.15103	 0.00870
0.19001	 0.15631
0.07165	 -0.02340
0.18906	 0.02811
0.84753	 -0.08448
0.33737	 -0.28122
0.14766	 -0.00186
0.32455	 -0.28849
0.11899	 0.03104
0.39912	 0.13536
0.24627	 -0.34207
0.10384	 0.24505
0.61395	 0.03238
0.10026	 0.25685
0.18519	 0.16533
0.39404	 -0.09099
0.88068	 -0.08472
0.36523	 -0.16959
0.42582	 -0.04316
0.01597	 -0.00551
0.51786	 -0.03062
0.18886	 0.21844
0.00985	 0.24430
0.57923	 -0.03291
0.94273	 -0.17187
0.52794	 0.14544
0.49933	 -0.10006
0.97225	 0.01377
0.31759	 -0.17267
0.13581	 -0.09770
0.14408	 0.07206
0.28672	 0.20862
0.25456	 0.02020
0.92585	 0.02421
0.60838	 -0.00251
0.87375	 -0.02186
0.92423	 -0.08665
0.32906	 -0.04031
0.47378	 0.06706
0.35992	 0.16710
0.55274	 0.02130
0.19060	 -0.21286
0.33256	 0.20918
0.50461	 -0.15740
0.21577	 0.12982
0.28529	 -0.24927
0.97987	 -0.13851
0.55236	 0.00834
0.36234	 -0.01248
0.32957	 0.09292
0.50320	 -0.15305
0.60398	 0.01132
0.95106	 -0.08870
0.20969	 0.31862
0.28963	 -0.02118
0.34023	 0.01053
0.65919	 0.01498
0.22085	 -0.21087
0.14234	 -0.00282
0.39107	 0.07730
0.14601	 0.29478
0.21825	 0.10408
0.22592	 0.20969
0.41511	 -0.10128
0.00589	 -0.24532
0.45716	 -0.08185
0.92431	 -0.06138
0.44681	 0.10729
0.33964	 -0.14623
0.54595	 -0.10810
0.53939	 0.01078
0.33245	 -0.09731
0.27914	 -0.18934
0.55760	 -0.02047
0.00877	 0.07906
0.30266	 0.01812
0.97422	 0.18276
0.16584	 0.34093
0.95661	 -0.01137
0.48901	 0.16147
0.97822	 0.06682
0.29323	 -0.14195
0.26297	 -0.32038
0.44660	 -0.07239
0.55526	 0.02731
0.91919	 -0.14852
0.69363	 0.00227
0.41248	 0.19210
0.87345	 -0.08564
0.50483	 -0.08999
0.04963	 0.10112
0.84517	 0.00328
0.98452	 -0.11968
0.81373	 -0.07285
0.37689	 0.13435
0.08660	 0.05822
0.09905	 0.02158
0.08776	 -0.26013
0.39471	 -0.07111
