#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 -0.918717	 0.00005
0.019998	 -0.451637	 0.00153
0.029997	 0.246762	 0.00205
0.039998	 0.492946	 0.01246
0.049998	 0.357506	 0.01584
0.059998	 0.701632	 0.03118
0.069998	 0.594803	 0.02325
0.079998	 0.613615	 0.03361
0.089998	 0.952553	 0.04113
0.099998	 0.981683	 0.05505
0.109998	 1.111282	 0.05181
0.119998	 1.094405	 0.05997
0.129998	 1.027452	 0.05993
0.139998	 0.938240	 0.05074
0.149997	 0.956183	 0.05605
0.159997	 0.939617	 0.05903
0.169997	 0.884202	 0.03641
0.179997	 0.881700	 0.02047
0.189997	 0.890447	 0.03217
0.199997	 0.928323	 0.02483
0.209997	 0.992819	 0.04187
0.219997	 1.012494	 0.03991
0.229997	 1.033007	 0.01451
0.239997	 1.044037	 0.00255
0.249997	 1.015178	 0.02108
0.259997	 1.092852	 -0.00134
0.269997	 1.117163	 -0.02512
0.279997	 1.127622	 -0.06798
0.289997	 1.074816	 -0.04439
0.299997	 1.032196	 -0.06918
0.010000	 0.916425	 0.01194
0.020000	 0.845319	 0.01336
0.030000	 0.751724	 0.00925
0.040000	 0.663671	 0.02560
0.050000	 1.012426	 0.04393
0.060000	 0.866026	 0.06527
0.070000	 0.936237	 0.03334
0.080000	 0.783020	 0.05279
0.090000	 0.903496	 0.03419
0.100000	 1.225935	 0.01548
0.110000	 1.337810	 0.02392
0.120000	 1.231814	 0.02626
0.130000	 1.456789	 0.03188
0.140000	 1.438990	 0.01358
0.150000	 1.439152	 0.03407
0.160000	 1.487242	 0.03089
0.170000	 1.359576	 0.01036
0.180000	 1.320258	 0.04385
0.190000	 1.269087	 0.08023
0.200000	 1.310745	 0.03975
0.210000	 1.369779	 0.00053
0.220000	 1.310891	 -0.02627
0.230000	 1.274551	 -0.01016
0.240000	 1.298586	 0.00493
0.250000	 1.241935	 0.00575
0.260000	 1.212768	 -0.03811
0.270000	 1.216050	 -0.00003
0.280000	 1.224382	 -0.06371
0.290000	 1.293506	 0.01557
0.300000	 1.269122	 -0.02264
0.310000	 1.266164	 -0.01480
0.320000	 1.210968	 0.00858
0.330000	 1.201408	 0.12151
0.340000	 1.250241	 0.06722
0.350000	 1.252646	 0.11093
0.360000	 1.282556	 0.08571
0.370000	 1.285697	 0.09558
0.380000	 1.220294	 0.12008
0.390000	 1.181925	 0.11452
0.400000	 1.184093	 0.12354


Average of all Threads:

meanx = 0.47364	 meanxsqu = 1.23988	 mthree = 0.12354

