#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 0.0355	 1.77374	 0.0301	 0.72191	 0	 0
0.019998	 0.0560	 1.40011	 0.0569	 0.67214	 0	 0
0.029997	 0.0594	 0.98959	 0.0711	 0.56342	 0	 0
0.039998	 0.0551	 0.68823	 0.0963	 0.58294	 0	 0
0.049998	 0.0660	 0.66022	 0.1105	 0.53058	 0	 0
0.059998	 0.0673	 0.56087	 0.1352	 0.54462	 0	 0
0.069998	 0.0761	 0.54386	 0.1563	 0.53763	 0	 0
0.079998	 0.0995	 0.62204	 0.1813	 0.53555	 0	 0
0.089998	 0.1007	 0.55919	 0.1921	 0.50560	 0	 0
0.099998	 0.1150	 0.57477	 0.1938	 0.45147	 0	 0
0.010000	 0.0878	 4.38999	 0.1308	 3.07645	 0	 0
0.020000	 0.1012	 2.52889	 0.1289	 1.48313	 0	 0
0.030000	 0.0885	 1.47567	 0.1299	 1.01689	 0	 0
0.040000	 0.0878	 1.09710	 0.1393	 0.82264	 0	 0
0.050000	 0.0909	 0.90893	 0.1556	 0.73646	 0	 0
0.060000	 0.0877	 0.73097	 0.1723	 0.68584	 0	 0
0.070000	 0.0852	 0.60880	 0.1847	 0.63385	 0	 0
0.080000	 0.0971	 0.60658	 0.2013	 0.59947	 0	 0
0.090000	 0.1169	 0.64970	 0.2314	 0.60471	 0	 0
0.100000	 0.1433	 0.71663	 0.2424	 0.55468	 0	 0
0.110000	 0.1295	 0.58884	 0.2580	 0.54818	 0	 0
0.120000	 0.1442	 0.60100	 0.2640	 0.50661	 0	 0
0.130000	 0.1504	 0.57834	 0.2716	 0.47876	 0	 0
0.140000	 0.1635	 0.58389	 0.2735	 0.44061	 0	 0
0.150000	 0.1591	 0.53021	 0.2864	 0.43522	 0	 0
0.160000	 0.1611	 0.50351	 0.3132	 0.44878	 0	 0
0.170000	 0.1654	 0.48642	 0.3335	 0.45016	 0	 0
0.180000	 0.1765	 0.49021	 0.3655	 0.46441	 0	 0
0.190000	 0.2012	 0.52939	 0.3766	 0.44227	 0	 0
0.200000	 0.2091	 0.52283	 0.3957	 0.43990	 0	 0
0.210000	 0.2021	 0.48114	 0.4286	 0.46167	 0	 0
0.220000	 0.2496	 0.56718	 0.4360	 0.42464	 0	 0
0.230000	 0.2685	 0.58363	 0.4592	 0.42075	 0	 0
0.240000	 0.3002	 0.62539	 0.4847	 0.41098	 0	 0
0.250000	 0.3089	 0.61771	 0.5202	 0.42481	 0	 0
0.260000	 0.3179	 0.61142	 0.5370	 0.41911	 0	 0
0.270000	 0.2940	 0.54444	 0.5531	 0.43208	 0	 0
0.280000	 0.2913	 0.52015	 0.5675	 0.43091	 0	 0
0.290000	 0.2962	 0.51073	 0.5989	 0.44062	 0	 0
0.300000	 0.2995	 0.49924	 0.6137	 0.43664	 0	 0
0.310000	 0.3124	 0.50390	 0.6198	 0.42115	 0	 0
0.320000	 0.3311	 0.51732	 0.6825	 0.44756	 0	 0
0.330000	 0.3327	 0.50415	 0.6785	 0.43017	 0	 0
0.340000	 0.3400	 0.50006	 0.6886	 0.42131	 0	 0
0.350000	 0.3335	 0.47637	 0.7208	 0.43540	 0	 0
0.360000	 0.3329	 0.46232	 0.7301	 0.43009	 0	 0
0.370000	 0.3284	 0.44372	 0.7296	 0.42015	 0	 0
0.380000	 0.3299	 0.43409	 0.7467	 0.41965	 0	 0
0.390000	 0.3536	 0.45332	 0.7712	 0.41422	 0	 0
0.400000	 0.3489	 0.43612	 0.7892	 0.41715	 0	 0
0.410000	 0.3619	 0.44132	 0.7860	 0.39944	 1	 1
0.420000	 0.3745	 0.44584	 0.8195	 0.40433	 2	 2
0.430000	 0.3867	 0.44965	 0.8659	 0.41649	 3	 3
0.440000	 0.3963	 0.45033	 0.8514	 0.39450	 4	 4
0.450000	 0.3895	 0.43274	 0.8731	 0.40081	 5	 5
0.460000	 0.4087	 0.44426	 0.8990	 0.39779	 6	 6
0.470000	 0.4079	 0.43394	 0.8799	 0.37953	 7	 7
0.480000	 0.4303	 0.44828	 0.9148	 0.38001	 8	 8
0.490000	 0.4403	 0.44927	 0.9491	 0.38533	 9	 9
0.500000	 0.4380	 0.43797	 0.9744	 0.39131	 10	 10
0.510000	 0.4433	 0.43461	 0.9750	 0.38162	 11	 11
0.520000	 0.4350	 0.41825	 1.0000	 0.38981	 12	 12
0.530000	 0.4641	 0.43781	 1.0552	 0.39613	 13	 13
0.540000	 0.4658	 0.43132	 1.0421	 0.38198	 14	 14
0.550000	 0.4860	 0.44178	 1.0785	 0.38288	 15	 15
0.560000	 0.4954	 0.44233	 1.0646	 0.36570	 16	 16
0.570000	 0.5171	 0.45355	 1.1046	 0.36720	 17	 17
0.580000	 0.5431	 0.46818	 1.1115	 0.35196	 18	 18
0.590000	 0.5451	 0.46199	 1.1315	 0.35353	 19	 19
0.600000	 0.5589	 0.46577	 1.1621	 0.35406	 20	 20


Average of all Threads:

msd = 0.84974	 meanspd = 0.93153	 mu = 0.46577	 deff = 0.35406

