#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb	 abbdeff
0.049998	 0.1670	 3.34102	 0.6682	  0	 0
0.074998	 0.2326	 3.10083	 0.6202	  0	 0
0.099998	 0.3375	 3.37510	 0.6750	  0	 0
0.124998	 0.3923	 3.13845	 0.6277	  0	 0
0.149997	 0.4424	 2.94935	 0.5899	  0	 0
0.174997	 0.5200	 2.97122	 0.5942	  0	 0
0.199997	 0.6278	 3.13879	 0.6278	  0	 0
0.224997	 0.7518	 3.34136	 0.6683	  0	 0
0.249997	 0.8118	 3.24706	 0.6494	  0	 0
0.025000	 0.0844	 3.37682	 0.6754	  0	 0
0.050000	 0.1612	 3.22484	 0.6450	  0	 0
0.075000	 0.2165	 2.88604	 0.5772	  0	 0
0.100000	 0.3033	 3.03344	 0.6067	  0	 0
0.125000	 0.3795	 3.03574	 0.6071	  0	 0
0.150000	 0.4471	 2.98076	 0.5962	  0	 0
0.175000	 0.5468	 3.12439	 0.6249	  0	 0
0.200000	 0.6333	 3.16662	 0.6333	  0	 0
0.225000	 0.7650	 3.40015	 0.6800	  0	 0
0.250000	 0.8330	 3.33216	 0.6664	  0	 0
0.275000	 0.9199	 3.34502	 0.6690	  0	 0
0.300000	 0.9798	 3.26585	 0.6532	  0	 0
0.325000	 1.0598	 3.26077	 0.6522	  0	 0
0.350000	 1.1285	 3.22439	 0.6449	  0	 0
0.375000	 1.2106	 3.22814	 0.6456	  0	 0
0.400000	 1.3089	 3.27220	 0.6544	  0	 0
0.425000	 1.3726	 3.22976	 0.6460	  0	 0
0.450000	 1.4693	 3.26522	 0.6530	  0	 0
0.475000	 1.5732	 3.31198	 0.6624	  0	 0
0.500000	 1.6469	 3.29376	 0.6588	  0	 0
0.525000	 1.7321	 3.29917	 0.6598	  0	 0
0.550000	 1.7783	 3.23323	 0.6466	  0	 0
0.575000	 1.8204	 3.16597	 0.6332	  0	 0
0.600000	 1.9068	 3.17802	 0.6356	  0	 0
0.625000	 1.9728	 3.15651	 0.6313	  0	 0
0.650000	 2.0486	 3.15165	 0.6303	  0	 0
0.675000	 2.1158	 3.13445	 0.6269	  0	 0
0.700000	 2.1817	 3.11670	 0.6233	  0	 0
0.725000	 2.2781	 3.14225	 0.6284	  0	 0
0.750000	 2.3489	 3.13189	 0.6264	  0	 0
0.775000	 2.4330	 3.13935	 0.6279	  0	 0
0.800000	 2.4987	 3.12342	 0.6247	  0	 0
0.825000	 2.6015	 3.15333	 0.6307	  0	 0
0.850000	 2.6850	 3.15878	 0.6318	  0	 0
0.875000	 2.7814	 3.17875	 0.6357	  0	 0
0.900000	 2.9036	 3.22623	 0.6452	  0	 0
0.925000	 2.9519	 3.19124	 0.6382	  0	 0
0.950000	 3.0104	 3.16880	 0.6338	  0	 0
0.975000	 3.1299	 3.21011	 0.6420	  0	 0
1.000000	 3.1936	 3.19355	 0.6387	  0	 0
1.025000	 3.2289	 3.15013	 0.6300	  1	 1
1.050000	 3.2625	 3.10712	 0.6214	  2	 2
1.075000	 3.3502	 3.11651	 0.6233	  3	 3
1.100000	 3.3885	 3.08041	 0.6161	  4	 4
1.125000	 3.4774	 3.09098	 0.6182	  5	 5
1.150000	 3.5461	 3.08360	 0.6167	  6	 6
1.175000	 3.5917	 3.05680	 0.6114	  7	 7
1.200000	 3.6784	 3.06534	 0.6131	  8	 8
1.225000	 3.8039	 3.10520	 0.6210	  9	 9
1.250000	 3.8436	 3.07492	 0.6150	  10	 10
1.275000	 3.8977	 3.05704	 0.6114	  11	 11
1.300000	 3.9633	 3.04872	 0.6097	  12	 12
1.325000	 4.0019	 3.02028	 0.6041	  13	 13
1.350000	 4.0727	 3.01681	 0.6034	  14	 14
1.375000	 4.1347	 3.00702	 0.6014	  15	 15
1.400000	 4.2250	 3.01786	 0.6036	  16	 16
1.425000	 4.2916	 3.01167	 0.6023	  17	 17
1.450000	 4.3467	 2.99769	 0.5995	  18	 18
1.475000	 4.4165	 2.99425	 0.5989	  19	 19
1.500000	 4.5043	 3.00284	 0.6006	  20	 20


Average of all Threads:

meanx = 4.50426	 meanspeed = 3.00284	 mu = 0.60057

