#xpositions	 ypositions
0.82039	 -0.04165
0.32800	 -0.24692
0.19428	 -0.10886
0.01238	 0.12000
0.94530	 -0.17137
0.34700	 -0.10965
0.20726	 0.24969
0.28410	 0.17027
0.05201	 0.12917
0.13376	 0.35261
0.50478	 0.06290
0.30341	 0.17398
0.33612	 -0.01366
0.58191	 -0.04590
0.29573	 -0.17773
0.29251	 -0.11181
0.40063	 0.18817
0.95760	 0.09575
0.38469	 0.03445
0.00383	 -0.06417
0.24953	 0.21968
0.31938	 -0.17275
0.27295	 0.33014
0.02989	 -0.27263
0.71428	 -0.04912
0.46917	 -0.09608
0.31840	 0.26419
0.51013	 -0.00399
0.58289	 -0.05502
0.40392	 0.05753
0.22091	 -0.03516
0.50074	 -0.11872
0.25064	 -0.22026
0.35266	 0.17354
0.23209	 -0.05635
0.52101	 -0.10720
0.47630	 -0.17036
0.88774	 -0.10017
0.17624	 -0.17201
0.48687	 0.17482
0.39710	 0.28144
0.23843	 -0.34935
0.76214	 0.03480
0.24138	 -0.09602
0.92302	 0.14432
0.40389	 0.04836
0.30982	 0.26659
0.38170	 -0.27973
0.50864	 0.13046
0.13782	 0.21578
0.60012	 -0.07460
0.16189	 -0.07631
0.63986	 0.03042
0.97412	 0.11635
0.49341	 0.13380
0.21860	 0.35486
0.87495	 0.07870
0.13654	 0.24772
0.29661	 -0.18638
0.37289	 -0.26441
0.02700	 -0.07185
0.16575	 -0.20286
0.11713	 -0.25908
0.42114	 -0.09836
0.11652	 0.00506
0.08497	 -0.18708
0.51656	 -0.02849
0.05025	 0.01627
0.33733	 -0.32508
0.12935	 -0.20690
0.84047	 -0.03334
0.15548	 -0.10355
0.80479	 0.00756
0.43192	 -0.17761
0.27447	 0.24706
0.16645	 -0.29382
0.98276	 0.05814
0.44882	 0.14504
0.81773	 0.07015
0.24394	 0.35250
0.38587	 -0.16396
0.98063	 0.12937
0.06318	 -0.03629
0.97984	 -0.16994
0.22975	 0.34410
0.38297	 -0.14539
0.30604	 0.22016
0.76890	 0.03825
0.01427	 0.10646
0.30522	 -0.24723
0.90113	 0.04831
0.39806	 -0.13618
0.34612	 0.05738
0.18050	 0.28085
0.43185	 0.05118
0.12434	 -0.29153
0.25613	 -0.03920
0.36419	 0.12680
0.15789	 -0.27859
0.00257	 -0.05626
