#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 1.098442	 -0.00030
0.019998	 0.603360	 0.00004
0.029997	 0.879639	 0.00359
0.039998	 1.003071	 0.00306
0.049998	 0.362905	 -0.00268
0.059998	 0.531082	 -0.01415
0.069998	 0.218148	 -0.02284
0.079998	 0.510208	 -0.01832
0.089998	 0.398135	 -0.04272
0.099998	 0.425243	 -0.04884
0.109998	 0.598846	 -0.04949
0.119998	 0.621242	 -0.05644
0.129998	 0.610291	 -0.04122
0.139998	 0.721184	 -0.07153
0.149997	 0.674506	 -0.06379
0.159997	 0.670174	 -0.07993
0.169997	 0.576492	 -0.06238
0.179997	 0.564644	 -0.03305
0.189997	 0.605435	 -0.02845
0.199997	 0.518435	 -0.01158
0.209997	 0.452159	 -0.03132
0.219997	 0.414024	 -0.02613
0.229997	 0.479596	 -0.03991
0.239997	 0.432244	 -0.01982
0.249997	 0.428699	 0.02637
0.259997	 0.462132	 0.04770
0.269997	 0.569486	 0.01708
0.279997	 0.567169	 0.01617
0.289997	 0.584129	 0.06439
0.299997	 0.580387	 0.07221
0.010000	 6.507847	 -0.00022
0.020000	 4.270155	 -0.00454
0.030000	 2.415849	 -0.00532
0.040000	 1.603685	 -0.00231
0.050000	 1.445928	 -0.00378
0.060000	 1.331455	 -0.00137
0.070000	 1.180952	 -0.00341
0.080000	 1.361347	 -0.00271
0.090000	 1.216738	 0.01650
0.100000	 0.679996	 0.01855
0.110000	 0.530076	 0.02634
0.120000	 0.456790	 0.00693
0.130000	 0.639640	 0.01118
0.140000	 0.620789	 0.01719
0.150000	 0.630379	 0.02924
0.160000	 0.663222	 0.02228
0.170000	 0.736604	 0.02407
0.180000	 0.816163	 0.03774
0.190000	 0.762992	 0.07073
0.200000	 0.742118	 0.07226
0.210000	 0.783146	 0.09348
0.220000	 0.789100	 0.10324
0.230000	 0.805929	 0.10483
0.240000	 0.822899	 0.06797
0.250000	 0.819230	 0.05534
0.260000	 0.732793	 0.05937
0.270000	 0.664091	 0.05193
0.280000	 0.703870	 0.04816
0.290000	 0.695353	 0.02559
0.300000	 0.608289	 0.04577
0.310000	 0.599888	 0.03413
0.320000	 0.575990	 0.03784
0.330000	 0.558432	 0.03912
0.340000	 0.558157	 0.04003
0.350000	 0.579542	 0.04298
0.360000	 0.536896	 0.06473
0.370000	 0.497531	 0.03016
0.380000	 0.512754	 0.07373
0.390000	 0.556951	 0.09478
0.400000	 0.492226	 0.09440


Average of all Threads:

meanx = 0.19689	 meanxsqu = 0.43737	 mthree = 0.09440

