#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 0.0110	 0.54922	 0.0314	 0.78229	 0	 0
0.019998	 0.0121	 0.30168	 0.0549	 0.68422	 0	 0
0.029997	 0.0264	 0.43982	 0.0795	 0.65644	 0	 0
0.039998	 0.0401	 0.50154	 0.1078	 0.66387	 0	 0
0.049998	 0.0181	 0.18145	 0.1237	 0.61672	 0	 0
0.059998	 0.0319	 0.26554	 0.1366	 0.56506	 0	 0
0.069998	 0.0153	 0.10907	 0.1489	 0.53097	 0	 0
0.079998	 0.0408	 0.25510	 0.1511	 0.46698	 0	 0
0.089998	 0.0358	 0.19907	 0.1650	 0.45486	 0	 0
0.099998	 0.0425	 0.21262	 0.1785	 0.44169	 0	 0
0.109998	 0.0659	 0.29942	 0.1800	 0.39915	 0	 0
0.119998	 0.0745	 0.31062	 0.1862	 0.37626	 0	 0
0.129998	 0.0793	 0.30515	 0.1975	 0.36764	 0	 0
0.139998	 0.1010	 0.36059	 0.2235	 0.38098	 0	 0
0.149997	 0.1012	 0.33725	 0.2149	 0.34113	 0	 0
0.159997	 0.1072	 0.33509	 0.2292	 0.34020	 0	 0
0.169997	 0.0980	 0.28825	 0.2279	 0.32107	 0	 0
0.179997	 0.1016	 0.28232	 0.2331	 0.30939	 0	 0
0.189997	 0.1150	 0.30272	 0.2329	 0.28905	 0	 0
0.199997	 0.1037	 0.25922	 0.2378	 0.28380	 0	 0
0.209997	 0.0950	 0.22608	 0.2468	 0.28313	 0	 0
0.219997	 0.0911	 0.20701	 0.2657	 0.29255	 0	 0
0.229997	 0.1103	 0.23980	 0.2783	 0.28931	 0	 0
0.239997	 0.1037	 0.21612	 0.3009	 0.30225	 0	 0
0.249997	 0.1072	 0.21435	 0.3179	 0.30646	 0	 0
0.259997	 0.1202	 0.23107	 0.3403	 0.31331	 0	 0
0.269997	 0.1538	 0.28474	 0.3312	 0.28481	 0	 0
0.279997	 0.1588	 0.28358	 0.3539	 0.29346	 0	 0
0.289997	 0.1694	 0.29206	 0.3608	 0.28630	 0	 0
0.299997	 0.1741	 0.29019	 0.3650	 0.27887	 0	 0
0.010000	 0.0651	 3.25392	 0.1499	 3.64140	 0	 0
0.020000	 0.0854	 2.13508	 0.1472	 1.74858	 0	 0
0.030000	 0.0725	 1.20792	 0.1465	 1.17739	 0	 0
0.040000	 0.0641	 0.80184	 0.1383	 0.83837	 0	 0
0.050000	 0.0723	 0.72296	 0.1511	 0.72933	 0	 0
0.060000	 0.0799	 0.66573	 0.1712	 0.68694	 0	 0
0.070000	 0.0827	 0.59048	 0.1680	 0.57576	 0	 0
0.080000	 0.1089	 0.68067	 0.1782	 0.51974	 0	 0
0.090000	 0.1095	 0.60837	 0.1957	 0.51025	 0	 0
0.100000	 0.0680	 0.34000	 0.1899	 0.46310	 0	 0
0.110000	 0.0583	 0.26504	 0.1998	 0.44629	 0	 0
0.120000	 0.0548	 0.22840	 0.2148	 0.44134	 0	 0
0.130000	 0.0832	 0.31982	 0.2214	 0.41243	 0	 0
0.140000	 0.0869	 0.31039	 0.2124	 0.36578	 0	 0
0.150000	 0.0946	 0.31519	 0.2355	 0.37762	 0	 0
0.160000	 0.1061	 0.33161	 0.2372	 0.35310	 0	 0
0.170000	 0.1252	 0.36830	 0.2538	 0.35013	 0	 0
0.180000	 0.1469	 0.40808	 0.2715	 0.34709	 0	 0
0.190000	 0.1450	 0.38150	 0.2740	 0.33285	 0	 0
0.200000	 0.1484	 0.37106	 0.2774	 0.31923	 0	 0
0.210000	 0.1645	 0.39157	 0.2777	 0.29845	 1	 1
0.220000	 0.1736	 0.39455	 0.3098	 0.31783	 2	 2
0.230000	 0.1854	 0.40296	 0.3104	 0.30000	 3	 3
0.240000	 0.1975	 0.41145	 0.3155	 0.28806	 4	 4
0.250000	 0.2048	 0.40961	 0.3139	 0.27198	 5	 5
0.260000	 0.1905	 0.36640	 0.3477	 0.29943	 6	 6
0.270000	 0.1793	 0.33205	 0.3536	 0.29760	 7	 7
0.280000	 0.1971	 0.35193	 0.3573	 0.28432	 8	 8
0.290000	 0.2017	 0.34768	 0.3487	 0.26559	 9	 9
0.300000	 0.1825	 0.30414	 0.3613	 0.27333	 10	 10
0.310000	 0.1860	 0.29994	 0.3827	 0.28076	 11	 11
0.320000	 0.1843	 0.28800	 0.4008	 0.28660	 12	 12
0.330000	 0.1843	 0.27922	 0.4161	 0.28948	 13	 13
0.340000	 0.1898	 0.27908	 0.4293	 0.28916	 14	 14
0.350000	 0.2028	 0.28977	 0.4112	 0.26431	 15	 15
0.360000	 0.1933	 0.26845	 0.4246	 0.26894	 16	 16
0.370000	 0.1841	 0.24877	 0.4025	 0.24908	 17	 17
0.380000	 0.1948	 0.25638	 0.4232	 0.25341	 18	 18
0.390000	 0.2172	 0.27848	 0.4208	 0.23953	 19	 19
0.400000	 0.1969	 0.24611	 0.4374	 0.24913	 20	 20


Average of all Threads:

msd = 0.39860	 meanspd = 0.49223	 mu = 0.24611	 deff = 0.24913

