#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb	 abbdeff
0.049998	 0.0338	 0.67608	 0.6761	  0	 0
0.074998	 0.0001	 0.00166	 0.0017	  0	 0
0.099998	 0.0084	 0.08367	 0.0837	  0	 0
0.124998	 0.0172	 0.13725	 0.1372	  0	 0
0.149997	 -0.0086	 -0.05715	 -0.0572	  0	 0
0.174997	 0.0082	 0.04686	 0.0469	  0	 0
0.199997	 0.0365	 0.18255	 0.1825	  0	 0
0.224997	 0.0583	 0.25913	 0.2591	  0	 0
0.249997	 0.0645	 0.25790	 0.2579	  0	 0
0.025000	 0.0196	 0.78453	 0.7845	  0	 0
0.050000	 0.0361	 0.72272	 0.7227	  0	 0
0.075000	 0.0546	 0.72736	 0.7274	  0	 0
0.100000	 0.0713	 0.71300	 0.7130	  0	 0
0.125000	 0.0485	 0.38837	 0.3884	  0	 0
0.150000	 0.0468	 0.31170	 0.3117	  0	 0
0.175000	 0.0512	 0.29256	 0.2926	  0	 0
0.200000	 0.0297	 0.14866	 0.1487	  0	 0
0.225000	 0.0314	 0.13976	 0.1398	  0	 0
0.250000	 0.0410	 0.16413	 0.1641	  0	 0
0.275000	 0.0392	 0.14242	 0.1424	  0	 0
0.300000	 0.0448	 0.14932	 0.1493	  0	 0
0.325000	 0.0232	 0.07136	 0.0714	  0	 0
0.350000	 0.0058	 0.01656	 0.0166	  0	 0
0.375000	 0.0236	 0.06295	 0.0630	  0	 0
0.400000	 0.0164	 0.04112	 0.0411	  0	 0
0.425000	 0.0205	 0.04832	 0.0483	  0	 0
0.450000	 0.0171	 0.03801	 0.0380	  0	 0
0.475000	 0.0242	 0.05103	 0.0510	  0	 0
0.500000	 -0.0183	 -0.03656	 -0.0366	  0	 0
0.525000	 0.0079	 0.01507	 0.0151	  0	 0
0.550000	 0.0627	 0.11406	 0.1141	  0	 0
0.575000	 0.0510	 0.08863	 0.0886	  0	 0
0.600000	 0.0774	 0.12906	 0.1291	  0	 0
0.625000	 0.0704	 0.11265	 0.1126	  0	 0
0.650000	 0.0845	 0.12999	 0.1300	  0	 0
0.675000	 0.0449	 0.06650	 0.0665	  0	 0
0.700000	 0.0567	 0.08100	 0.0810	  0	 0
0.725000	 0.1082	 0.14929	 0.1493	  0	 0
0.750000	 0.0854	 0.11393	 0.1139	  0	 0
0.775000	 0.0997	 0.12864	 0.1286	  0	 0
0.800000	 0.0913	 0.11410	 0.1141	  0	 0
0.825000	 0.1074	 0.13024	 0.1302	  0	 0
0.850000	 0.1243	 0.14625	 0.1462	  0	 0
0.875000	 0.0986	 0.11272	 0.1127	  0	 0
0.900000	 0.0815	 0.09058	 0.0906	  0	 0
0.925000	 0.0951	 0.10281	 0.1028	  0	 0
0.950000	 0.0928	 0.09769	 0.0977	  0	 0
0.975000	 0.1127	 0.11555	 0.1156	  0	 0
1.000000	 0.1104	 0.11037	 0.1104	  0	 0
1.025000	 0.1124	 0.10962	 0.1096	  1	 1
1.050000	 0.1563	 0.14884	 0.1488	  2	 2
1.075000	 0.1247	 0.11596	 0.1160	  3	 3
1.100000	 0.1291	 0.11739	 0.1174	  4	 4
1.125000	 0.1345	 0.11955	 0.1195	  5	 5
1.150000	 0.1092	 0.09500	 0.0950	  6	 6
1.175000	 0.1321	 0.11241	 0.1124	  7	 7
1.200000	 0.0810	 0.06747	 0.0675	  8	 8
1.225000	 0.0642	 0.05241	 0.0524	  9	 9
1.250000	 0.0891	 0.07129	 0.0713	  10	 10
1.275000	 0.0511	 0.04007	 0.0401	  11	 11
1.300000	 0.0331	 0.02549	 0.0255	  12	 12
1.325000	 0.0589	 0.04448	 0.0445	  13	 13
1.350000	 0.0400	 0.02960	 0.0296	  14	 14
1.375000	 0.0141	 0.01023	 0.0102	  15	 15
1.400000	 0.0245	 0.01753	 0.0175	  16	 16
1.425000	 0.0567	 0.03979	 0.0398	  17	 17
1.450000	 0.0415	 0.02865	 0.0287	  18	 18
1.475000	 0.0241	 0.01633	 0.0163	  19	 19
1.500000	 0.0517	 0.03450	 0.0345	  20	 20


Average of all Threads:

meanx = 0.05174	 meanspeed = 0.03450	 mu = 0.03450

