#xpositions	 ypositions
0.84692	 -0.21535
0.53003	 0.05280
0.88213	 0.93118
0.93056	 -0.09293
0.58189	 -0.07901
0.79651	 -0.21546
0.67745	 0.92252
0.74049	 0.46421
0.78424	 0.89720
0.26032	 0.36266
0.92050	 -0.99556
0.70601	 -0.44919
0.87171	 -0.13409
0.20016	 0.89423
0.78267	 0.18554
0.93497	 -0.46369
0.90667	 -0.75197
0.67624	 0.75554
0.62306	 0.90496
0.22951	 -0.72284
0.93191	 -0.11507
0.84328	 -0.82701
0.79739	 -0.73034
0.68415	 0.39571
0.69485	 0.25403
0.38163	 0.15616
0.89658	 -0.66523
0.61067	 -0.51668
0.91211	 -0.36021
0.88697	 -0.35908
0.20455	 0.06379
0.36379	 0.32283
0.24579	 -0.01195
0.88622	 -0.19931
0.58366	 -0.11267
0.94756	 -0.43755
0.56741	 0.14366
0.16742	 0.42850
0.82069	 0.08135
0.88188	 0.71675
0.89536	 -0.15223
0.94019	 0.09988
0.67428	 0.39510
0.81888	 0.39176
0.77118	 0.80080
0.26739	 -0.83204
0.93225	 0.47390
0.92412	 0.50134
0.23294	 -0.02981
0.52263	 -0.30754
0.06748	 -0.58019
0.82786	 -0.81326
0.14833	 -0.22290
0.31067	 -0.07742
0.67742	 0.28517
0.65623	 0.49698
0.79052	 -0.65975
0.82194	 1.03997
0.48992	 0.23366
0.92729	 -0.07504
0.52864	 0.68953
0.07662	 1.03690
0.82309	 -0.35916
0.50342	 1.03985
0.73086	 0.19709
0.69031	 0.73814
0.64346	 1.03531
0.56563	 -0.53008
0.65081	 0.73790
0.23406	 0.42879
0.32493	 -0.16717
0.73113	 -0.46663
0.83229	 -0.03519
0.32256	 0.09448
0.89463	 -0.27947
0.61094	 -0.59935
0.50916	 0.83967
0.68208	 0.59318
0.76073	 0.83288
0.48012	 0.39609
0.55750	 0.63721
0.53144	 0.52533
0.74091	 0.46700
0.46569	 1.02218
0.91209	 -0.41721
0.93045	 -0.58662
0.14043	 0.91413
0.28325	 0.74015
0.58432	 -0.48289
0.82645	 0.75849
0.81034	 -0.68263
0.86677	 0.84830
0.24231	 -0.15353
0.87732	 0.58019
0.60178	 0.08335
0.54006	 0.18692
0.64911	 -0.25813
0.85064	 0.62262
0.84725	 1.02407
0.25918	 0.06063
