#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb	 abbdeff
0.049998	 0.1137	 2.27354	 0.4547	  0	 0
0.074998	 0.1454	 1.93827	 0.3877	  0	 0
0.099998	 0.1812	 1.81166	 0.3623	  0	 0
0.124998	 0.2162	 1.72927	 0.3459	  0	 0
0.149997	 0.2353	 1.56850	 0.3137	  0	 0
0.174997	 0.2794	 1.59642	 0.3193	  0	 0
0.199997	 0.3483	 1.74163	 0.3483	  0	 0
0.224997	 0.3571	 1.58699	 0.3174	  0	 0
0.249997	 0.3702	 1.48079	 0.2962	  0	 0
0.025000	 0.2491	 9.96511	 1.9930	  0	 0
0.050000	 0.2607	 5.21382	 1.0428	  0	 0
0.075000	 0.2660	 3.54673	 0.7093	  0	 0
0.100000	 0.3327	 3.32676	 0.6654	  0	 0
0.125000	 0.3388	 2.71063	 0.5421	  0	 0
