#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 2.005852	 0.00281
0.019998	 1.740765	 0.00462
0.029997	 1.804887	 -0.00006
0.039998	 1.794244	 -0.00148
0.049998	 1.702242	 -0.00040
0.059998	 1.303145	 0.00089
0.069998	 1.294376	 -0.00042
0.079998	 1.219494	 0.00398
0.089998	 1.111692	 0.00767
0.099998	 1.002440	 0.00168
0.109998	 0.856174	 0.01510
0.119998	 0.778862	 0.01169
0.129998	 0.718388	 0.01237
0.139998	 0.726676	 0.00768
0.149997	 0.714545	 0.01273
0.159997	 0.757617	 0.00275
0.169997	 0.698646	 0.00230
0.179997	 0.682461	 0.01009
0.189997	 0.742833	 0.00144
0.199997	 0.538215	 0.00402
0.209997	 0.514963	 0.01765
0.219997	 0.521682	 0.00612
0.229997	 0.517185	 0.01838
0.239997	 0.416584	 0.01326
0.249997	 0.392025	 0.05256
0.259997	 0.397181	 0.06158
0.269997	 0.460521	 0.07209
0.279997	 0.486841	 0.05331
0.289997	 0.581161	 0.08857
0.299997	 0.585933	 0.06889
0.010000	 10.647516	 -0.01427
0.020000	 4.499069	 -0.01729
0.030000	 3.026426	 -0.00573
0.040000	 2.550605	 -0.00685
0.050000	 1.840165	 -0.00187
0.060000	 1.879620	 0.01159
0.070000	 1.274522	 0.01983
0.080000	 1.077225	 0.00465
0.090000	 0.757519	 0.00013
0.100000	 0.757701	 -0.01398
0.110000	 0.553525	 0.01397
0.120000	 0.591185	 0.02662
0.130000	 0.860089	 0.03417
0.140000	 0.712348	 0.04131
0.150000	 0.611756	 0.02118
0.160000	 0.749007	 0.01435
0.170000	 0.808966	 0.05539
0.180000	 0.695257	 0.06473
0.190000	 0.640336	 0.06689
0.200000	 0.725979	 0.07713
0.210000	 0.872120	 0.06162
0.220000	 0.753816	 0.04754
0.230000	 0.716689	 0.01085
0.240000	 0.701237	 0.00924
0.250000	 0.683822	 0.03772
0.260000	 0.753516	 0.06410
0.270000	 0.783160	 0.03901
0.280000	 0.794172	 0.07502
0.290000	 0.782433	 0.03804
0.300000	 0.754089	 0.00911
0.310000	 0.800433	 0.02452
0.320000	 0.738939	 0.01369
0.330000	 0.701649	 -0.01575
0.340000	 0.713883	 -0.01538
0.350000	 0.676285	 0.02806
0.360000	 0.629385	 0.04522
0.370000	 0.570785	 0.05350
0.380000	 0.586232	 0.04332
0.390000	 0.590743	 0.05691
0.400000	 0.649381	 0.07775


Average of all Threads:

meanx = 0.25975	 meanxsqu = 0.48570	 mthree = 0.07775

