#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 0.0086	 0.42936	 0.0320	 0.79832	 0	 0
0.019998	 0.0270	 0.67428	 0.0568	 0.70102	 0	 0
0.029997	 0.0497	 0.82779	 0.0651	 0.52231	 0	 0
0.039998	 0.0485	 0.60605	 0.0792	 0.48020	 0	 0
0.049998	 0.0579	 0.57943	 0.0951	 0.45884	 0	 0
0.059998	 0.0766	 0.63813	 0.1109	 0.43771	 0	 0
0.069998	 0.0963	 0.68810	 0.1368	 0.45538	 0	 0
0.079998	 0.0667	 0.41688	 0.1589	 0.48281	 0	 0
0.089998	 0.0673	 0.37379	 0.1585	 0.42765	 0	 0
0.099998	 0.0748	 0.37378	 0.1644	 0.39695	 0	 0
0.010000	 0.0410	 2.04784	 0.1042	 2.56259	 0	 0
0.020000	 0.0461	 1.15313	 0.1050	 1.28545	 0	 0
0.030000	 0.0607	 1.01225	 0.1169	 0.94349	 0	 0
0.040000	 0.0473	 0.59174	 0.1191	 0.73033	 0	 0
0.050000	 0.0356	 0.35619	 0.1320	 0.65387	 0	 0
0.060000	 0.0719	 0.59953	 0.1459	 0.58641	 0	 0
0.070000	 0.0848	 0.60599	 0.1661	 0.56764	 0	 0
0.080000	 0.1005	 0.62805	 0.1819	 0.53674	 0	 0
0.090000	 0.0935	 0.51955	 0.1940	 0.51462	 0	 0
0.100000	 0.0894	 0.44704	 0.2219	 0.53472	 0	 0
0.110000	 0.1071	 0.48687	 0.2072	 0.44483	 0	 0
0.120000	 0.1073	 0.44708	 0.2210	 0.43649	 0	 0
0.130000	 0.1226	 0.47162	 0.2150	 0.38446	 0	 0
0.140000	 0.1304	 0.46560	 0.2359	 0.39084	 0	 0
0.150000	 0.1312	 0.43721	 0.2271	 0.34986	 0	 0
0.160000	 0.1225	 0.38294	 0.2257	 0.32913	 0	 0
0.170000	 0.1306	 0.38423	 0.2521	 0.34567	 0	 0
0.180000	 0.1357	 0.37699	 0.2671	 0.34538	 0	 0
0.190000	 0.1549	 0.40760	 0.2817	 0.33912	 0	 0
0.200000	 0.1750	 0.43743	 0.2904	 0.32469	 0	 0
0.210000	 0.1734	 0.41297	 0.3156	 0.33996	 0	 0
0.220000	 0.1717	 0.39017	 0.3393	 0.35206	 0	 0
0.230000	 0.2018	 0.43866	 0.3600	 0.34709	 0	 0
0.240000	 0.2125	 0.44271	 0.3751	 0.34368	 0	 0
0.250000	 0.2301	 0.46029	 0.3946	 0.34161	 0	 0
0.260000	 0.2034	 0.39106	 0.3694	 0.31545	 0	 0
0.270000	 0.2160	 0.39999	 0.4079	 0.33449	 0	 0
0.280000	 0.2079	 0.37132	 0.4210	 0.33724	 0	 0
0.290000	 0.2054	 0.35422	 0.4194	 0.32520	 0	 0
0.300000	 0.2050	 0.34161	 0.4431	 0.33426	 0	 0
0.310000	 0.2169	 0.34982	 0.4741	 0.34444	 0	 0
0.320000	 0.2395	 0.37419	 0.5348	 0.37303	 0	 0
0.330000	 0.2488	 0.37703	 0.5634	 0.37991	 0	 0
0.340000	 0.2245	 0.33009	 0.5738	 0.38488	 0	 0
0.350000	 0.2179	 0.31127	 0.5679	 0.37173	 0	 0
0.360000	 0.2510	 0.34865	 0.6042	 0.37581	 0	 0
0.370000	 0.2696	 0.36430	 0.6155	 0.36678	 0	 0
0.380000	 0.2791	 0.36723	 0.6303	 0.36343	 0	 0
0.390000	 0.3045	 0.39036	 0.6595	 0.36331	 0	 0
0.400000	 0.3135	 0.39190	 0.6806	 0.36397	 0	 0
0.410000	 0.3380	 0.41214	 0.7114	 0.36412	 1	 1
0.420000	 0.3390	 0.40359	 0.7503	 0.37822	 2	 2
0.430000	 0.3332	 0.38742	 0.7516	 0.37246	 3	 3
0.440000	 0.3385	 0.38468	 0.7826	 0.37956	 4	 4
0.450000	 0.3310	 0.36778	 0.7617	 0.36230	 5	 5
0.460000	 0.3376	 0.36699	 0.7731	 0.35822	 6	 6
0.470000	 0.3329	 0.35417	 0.7741	 0.35281	 7	 7
0.480000	 0.3366	 0.35061	 0.7988	 0.35701	 8	 8
0.490000	 0.3284	 0.33508	 0.7924	 0.34925	 9	 9
0.500000	 0.3286	 0.32865	 0.7969	 0.34447	 10	 10
0.510000	 0.3710	 0.36372	 0.8639	 0.35602	 11	 11
0.520000	 0.3802	 0.36553	 0.8592	 0.34359	 12	 12
0.530000	 0.3827	 0.36105	 0.8921	 0.35170	 13	 13
0.540000	 0.3865	 0.35788	 0.9105	 0.35236	 14	 14
0.550000	 0.3940	 0.35822	 0.9147	 0.34520	 15	 15
0.560000	 0.4144	 0.37000	 0.9701	 0.35642	 16	 16
0.570000	 0.4286	 0.37599	 0.9971	 0.35674	 17	 17
0.580000	 0.4134	 0.35640	 1.0121	 0.36259	 18	 18
0.590000	 0.4240	 0.35935	 1.0153	 0.35401	 19	 19
0.600000	 0.4395	 0.36625	 1.0695	 0.36516	 20	 20


Average of all Threads:

msd = 0.87638	 meanspd = 0.73251	 mu = 0.36625	 deff = 0.36516

