#xpositions	 ypositions
0.40858	 0.50893
0.74838	 -0.22276
0.75584	 0.21069
0.60202	 -0.25476
0.56312	 0.20924
0.54239	 0.31523
0.54157	 0.33421
0.53094	 -0.27817
0.30042	 -0.25943
0.36681	 0.22145
0.62575	 0.07732
0.18676	 -0.66607
0.65708	 -0.33676
0.47658	 -0.00544
0.00961	 -0.00367
0.10536	 -0.64082
0.71801	 -0.00328
0.51528	 -0.16105
0.26575	 -0.30302
0.05350	 0.17826
0.54603	 -0.00921
0.38905	 0.38858
0.26486	 -0.55247
0.32106	 0.41676
0.41946	 -0.44760
0.43562	 -0.30083
0.65310	 0.26024
0.60025	 0.37067
0.05103	 0.43109
0.31861	 -0.54199
0.36371	 0.06676
0.92408	 -0.01491
0.44334	 -0.17085
0.29890	 -0.16864
0.68297	 0.02801
0.79013	 -0.16989
0.08602	 0.56935
0.71351	 0.09479
0.65340	 -0.28149
0.36992	 0.29542
0.91346	 0.04457
0.26318	 0.54592
0.18226	 0.36617
0.14938	 0.70431
0.62346	 0.18727
0.11384	 0.60728
0.63512	 0.06426
0.54863	 0.21358
0.40692	 0.14528
0.34466	 -0.21648
0.66226	 -0.26408
0.31938	 -0.41442
0.27233	 0.39722
0.43906	 -0.50743
0.22661	 -0.46214
0.49906	 -0.23948
0.79755	 0.08007
0.30166	 -0.39991
0.17156	 0.06384
0.45357	 0.37669
0.46574	 -0.37495
0.13493	 0.75155
0.70834	 0.29333
0.06133	 0.06965
0.68809	 0.19762
0.25962	 0.37280
0.07859	 0.30389
0.12359	 0.48083
0.39369	 -0.02810
0.55834	 -0.01068
0.63860	 0.22939
0.48364	 -0.43654
0.27150	 0.61532
0.75376	 0.10436
0.03807	 -0.02504
0.85349	 -0.15989
0.13898	 -0.40973
0.63739	 0.22118
0.76767	 0.12442
0.38165	 0.39896
0.66166	 -0.07540
0.35367	 -0.19914
0.45674	 -0.37377
0.93651	 0.04559
0.60595	 -0.21675
0.79144	 0.17050
0.38647	 -0.42214
0.14467	 0.56324
0.18279	 -0.40134
0.64254	 0.33281
0.40158	 0.11842
0.66331	 -0.19397
0.38774	 -0.10150
0.65580	 -0.05754
0.14845	 0.34857
0.26110	 0.27630
0.05913	 0.86022
0.22834	 0.34302
0.25326	 -0.39872
0.42141	 -0.42280
0.29938	 0.37942
0.50650	 0.42978
0.62920	 0.32470
0.35286	 0.55724
0.45976	 0.34196
0.29795	 -0.30333
0.70151	 -0.28803
0.31478	 0.58230
0.42169	 -0.05986
0.20894	 -0.41235
0.79897	 0.11767
0.09279	 -0.40705
0.78403	 0.03579
0.73808	 0.20373
0.03210	 -0.04227
0.11157	 0.73061
0.24545	 0.17216
0.36646	 -0.40105
0.41477	 0.43830
0.40315	 -0.01556
0.56594	 -0.40795
0.76750	 0.08036
0.42017	 0.31103
0.09929	 0.55620
0.72825	 0.14851
0.59533	 -0.21883
0.06081	 0.07745
0.15731	 0.63587
0.55601	 -0.04348
0.06044	 -0.83256
0.21737	 0.02803
0.05662	 0.22797
0.35494	 -0.24212
0.22409	 -0.05609
0.60668	 -0.17345
0.37365	 0.08651
0.29657	 0.65906
0.09355	 -0.31639
0.63780	 -0.23441
0.17486	 0.02211
0.99001	 -0.04351
0.66592	 -0.26189
0.45197	 0.02683
0.24870	 0.57388
0.73784	 0.09575
0.09156	 -0.72079
0.14481	 -0.77366
0.50232	 -0.42343
0.59413	 -0.21005
0.37954	 -0.00275
0.71184	 -0.02802
0.25496	 0.14420
0.88439	 -0.11028
0.08707	 0.74926
0.28394	 -0.21560
0.84891	 -0.08081
0.05701	 0.12373
0.23781	 -0.05511
0.56105	 -0.41484
0.63016	 0.24486
0.15397	 -0.53813
0.25837	 0.41817
0.10247	 -0.24550
0.46127	 0.12691
0.63843	 0.26273
0.72191	 0.05784
0.50459	 -0.45686
0.35001	 0.12743
0.23849	 0.29110
0.39391	 0.24273
0.15850	 -0.17511
0.42952	 0.02566
0.20680	 -0.10527
0.32812	 -0.13706
0.23297	 0.30181
0.29830	 -0.62439
0.27333	 0.56099
0.44461	 0.44029
0.32965	 0.16798
0.90945	 0.03560
0.51244	 0.07066
0.52552	 -0.24414
0.12130	 -0.47485
0.84515	 -0.12244
0.90345	 -0.08511
0.48563	 0.39066
0.36686	 0.54577
0.62742	 0.28085
0.58516	 0.03561
0.57193	 -0.33998
0.39920	 -0.24111
0.06027	 0.43642
0.40655	 -0.43723
0.67401	 0.16171
0.47842	 0.49013
0.59379	 -0.22005
0.45602	 0.08996
0.44260	 0.33350
0.35216	 0.44390
0.26568	 0.00170
