#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb	 abbdeff
0.999998	 0.0766	 0.07665	 0.0766	  0	 0
1.499997	 0.1986	 0.13240	 0.1324	  0	 0
1.999997	 0.2592	 0.12960	 0.1296	  0	 0
2.499997	 0.3532	 0.14127	 0.1413	  0	 0
2.999997	 0.5479	 0.18262	 0.1826	  0	 0
3.499997	 0.6768	 0.19338	 0.1934	  0	 0
3.999997	 0.9672	 0.24180	 0.2418	  0	 0
4.499997	 1.0306	 0.22902	 0.2290	  0	 0
4.999997	 1.1535	 0.23070	 0.2307	  0	 0
0.500000	 0.1414	 0.28288	 0.2829	  0	 0
1.000000	 0.1759	 0.17588	 0.1759	  0	 0
1.500000	 0.2168	 0.14455	 0.1445	  0	 0
2.000000	 0.4194	 0.20971	 0.2097	  0	 0
2.500000	 0.5366	 0.21464	 0.2146	  0	 0
3.000000	 0.5270	 0.17567	 0.1757	  0	 0
3.500000	 0.5722	 0.16349	 0.1635	  0	 0
4.000000	 0.6579	 0.16447	 0.1645	  0	 0
4.500000	 0.7537	 0.16748	 0.1675	  0	 0
5.000000	 0.8948	 0.17897	 0.1790	  0	 0
5.500000	 0.9837	 0.17886	 0.1789	  0	 0
6.000000	 1.0924	 0.18206	 0.1821	  0	 0
6.500000	 1.1966	 0.18409	 0.1841	  0	 0
7.000000	 1.2741	 0.18201	 0.1820	  0	 0
7.500000	 1.3951	 0.18602	 0.1860	  0	 0
8.000000	 1.4480	 0.18100	 0.1810	  0	 0
8.500000	 1.4606	 0.17184	 0.1718	  0	 0
9.000000	 1.6207	 0.18008	 0.1801	  0	 0
9.500000	 1.6707	 0.17587	 0.1759	  0	 0
10.000000	 1.8122	 0.18122	 0.1812	  0	 0
10.500000	 1.8374	 0.17499	 0.1750	  0	 0
11.000000	 1.9249	 0.17499	 0.1750	  0	 0
11.500000	 1.8248	 0.15868	 0.1587	  0	 0
12.000000	 1.9507	 0.16256	 0.1626	  0	 0
12.500000	 2.0263	 0.16210	 0.1621	  0	 0
13.000000	 2.1489	 0.16530	 0.1653	  0	 0
13.500000	 2.1763	 0.16121	 0.1612	  0	 0
14.000000	 2.2248	 0.15892	 0.1589	  0	 0
14.500000	 2.3935	 0.16507	 0.1651	  0	 0
15.000000	 2.5493	 0.16996	 0.1700	  0	 0
15.500000	 2.5527	 0.16469	 0.1647	  0	 0
16.000000	 2.6221	 0.16388	 0.1639	  0	 0
16.500000	 2.7191	 0.16480	 0.1648	  0	 0
17.000000	 2.7436	 0.16139	 0.1614	  0	 0
17.500000	 2.8219	 0.16125	 0.1612	  0	 0
18.000000	 3.0145	 0.16747	 0.1675	  0	 0
18.500000	 3.1095	 0.16808	 0.1681	  0	 0
19.000000	 3.1869	 0.16773	 0.1677	  0	 0
19.500000	 3.1355	 0.16079	 0.1608	  0	 0
20.000000	 3.2562	 0.16281	 0.1628	  0	 0
20.500000	 3.3596	 0.16388	 0.1639	  1	 1
21.000000	 3.3594	 0.15997	 0.1600	  2	 2
21.500000	 3.3855	 0.15746	 0.1575	  3	 3
22.000000	 3.5255	 0.16025	 0.1602	  4	 4
22.500000	 3.6181	 0.16081	 0.1608	  5	 5
23.000000	 3.6468	 0.15856	 0.1586	  6	 6
23.500000	 3.6595	 0.15572	 0.1557	  7	 7
24.000000	 3.6343	 0.15143	 0.1514	  8	 8
24.500000	 3.9026	 0.15929	 0.1593	  9	 9
25.000000	 3.9918	 0.15967	 0.1597	  10	 10
25.500000	 4.1541	 0.16291	 0.1629	  11	 11
26.000000	 4.2087	 0.16187	 0.1619	  12	 12
26.500000	 4.3570	 0.16441	 0.1644	  13	 13
27.000000	 4.3648	 0.16166	 0.1617	  14	 14
27.500000	 4.5060	 0.16385	 0.1639	  15	 15
28.000000	 4.6835	 0.16727	 0.1673	  16	 16
28.500000	 4.7713	 0.16742	 0.1674	  17	 17
29.000000	 4.9369	 0.17024	 0.1702	  18	 18
29.500000	 5.0106	 0.16985	 0.1699	  19	 19
30.000000	 5.1449	 0.17150	 0.1715	  20	 20


Average of all Threads:

meanx = 5.14485	 meanspeed = 0.17150	 mu = 0.17150

