#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb	 abbdeff
0.999998	 -0.0225	 -0.02254	 -0.1408	  0	 0
1.499997	 -0.0421	 -0.02804	 -0.1753	  0	 0
1.999997	 0.0442	 0.02210	 0.1381	  0	 0
2.499997	 0.0980	 0.03922	 0.2451	  0	 0
2.999997	 0.1853	 0.06176	 0.3860	  0	 0
3.499997	 0.1456	 0.04161	 0.2600	  0	 0
3.999997	 0.2064	 0.05160	 0.3225	  0	 0
4.499997	 0.1749	 0.03886	 0.2429	  0	 0
4.999997	 0.0979	 0.01959	 0.1224	  0	 0
0.500000	 0.1301	 0.26016	 1.6260	  0	 0
1.000000	 0.1534	 0.15340	 0.9587	  0	 0
1.500000	 0.1227	 0.08180	 0.5112	  0	 0
2.000000	 0.1616	 0.08079	 0.5050	  0	 0
2.500000	 0.2306	 0.09224	 0.5765	  0	 0
3.000000	 0.3601	 0.12003	 0.7502	  0	 0
3.500000	 0.4667	 0.13335	 0.8334	  0	 0
4.000000	 0.4885	 0.12214	 0.7634	  0	 0
4.500000	 0.5338	 0.11863	 0.7414	  0	 0
5.000000	 0.5592	 0.11184	 0.6990	  0	 0
5.500000	 0.6868	 0.12487	 0.7804	  0	 0
6.000000	 0.6933	 0.11554	 0.7221	  0	 0
6.500000	 0.8404	 0.12930	 0.8081	  0	 0
7.000000	 0.9033	 0.12905	 0.8066	  0	 0
7.500000	 0.9121	 0.12161	 0.7601	  0	 0
8.000000	 0.9691	 0.12114	 0.7571	  0	 0
8.500000	 1.0212	 0.12014	 0.7509	  0	 0
9.000000	 0.9990	 0.11100	 0.6937	  0	 0
9.500000	 1.0525	 0.11079	 0.6924	  0	 0
10.000000	 1.1221	 0.11221	 0.7013	  0	 0
10.500000	 1.0907	 0.10387	 0.6492	  0	 0
11.000000	 1.1416	 0.10378	 0.6486	  0	 0
11.500000	 1.1236	 0.09770	 0.6106	  0	 0
12.000000	 1.2147	 0.10123	 0.6327	  0	 0
12.500000	 1.2938	 0.10350	 0.6469	  0	 0
13.000000	 1.3773	 0.10595	 0.6622	  0	 0
13.500000	 1.4849	 0.10999	 0.6874	  0	 0
14.000000	 1.4343	 0.10245	 0.6403	  0	 0
14.500000	 1.4314	 0.09872	 0.6170	  0	 0
15.000000	 1.4842	 0.09895	 0.6184	  0	 0
15.500000	 1.4607	 0.09424	 0.5890	  0	 0
16.000000	 1.5180	 0.09487	 0.5930	  0	 0
16.500000	 1.4715	 0.08918	 0.5574	  0	 0
17.000000	 1.4250	 0.08382	 0.5239	  0	 0
17.500000	 1.5361	 0.08778	 0.5486	  0	 0
18.000000	 1.5952	 0.08862	 0.5539	  0	 0
18.500000	 1.5555	 0.08408	 0.5255	  0	 0
19.000000	 1.6062	 0.08454	 0.5284	  0	 0
19.500000	 1.6636	 0.08531	 0.5332	  0	 0
20.000000	 1.6414	 0.08207	 0.5129	  0	 0
20.500000	 1.7014	 0.08300	 0.5187	  1	 1
21.000000	 1.7004	 0.08097	 0.5061	  2	 2
21.500000	 1.7549	 0.08163	 0.5102	  3	 3
22.000000	 1.8587	 0.08448	 0.5280	  4	 4
22.500000	 1.9379	 0.08613	 0.5383	  5	 5
23.000000	 1.9791	 0.08605	 0.5378	  6	 6
23.500000	 2.0062	 0.08537	 0.5336	  7	 7
24.000000	 2.0964	 0.08735	 0.5459	  8	 8
24.500000	 2.1720	 0.08865	 0.5541	  9	 9
25.000000	 2.1515	 0.08606	 0.5379	  10	 10
25.500000	 2.0677	 0.08109	 0.5068	  11	 11
26.000000	 2.2364	 0.08601	 0.5376	  12	 12
26.500000	 2.3206	 0.08757	 0.5473	  13	 13
27.000000	 2.3099	 0.08555	 0.5347	  14	 14
27.500000	 2.3190	 0.08433	 0.5270	  15	 15
28.000000	 2.3558	 0.08414	 0.5259	  16	 16
28.500000	 2.3425	 0.08219	 0.5137	  17	 17
29.000000	 2.3662	 0.08159	 0.5100	  18	 18
29.500000	 2.4187	 0.08199	 0.5124	  19	 19
30.000000	 2.3814	 0.07938	 0.4961	  20	 20


Average of all Threads:

meanx = 2.38135	 meanspeed = 0.07938	 mu = 0.49612

