#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 1.962758	 0.00024
0.019998	 1.258694	 0.00118
0.029997	 1.302297	 -0.00767
0.039998	 0.460645	 -0.01154
0.049998	 0.738767	 -0.01767
0.059998	 0.579201	 -0.02141
0.069998	 0.981795	 -0.01650
0.079998	 1.225653	 -0.00397
0.089998	 1.011907	 0.00757
0.099998	 1.153720	 0.00532
0.109998	 1.112980	 0.01997
0.119998	 1.110078	 0.00953
0.129998	 1.189073	 0.00249
0.139998	 0.966114	 0.01579
0.149997	 0.999479	 0.02627
0.159997	 1.207197	 0.02089
0.169997	 1.069608	 0.00462
0.179997	 0.965779	 0.03320
0.189997	 1.047179	 0.03761
0.199997	 0.912919	 0.04519
0.209997	 0.954477	 0.05997
0.219997	 0.870260	 0.05369
0.229997	 0.925503	 0.01811
0.239997	 0.949866	 0.00023
0.249997	 0.934708	 0.02904
0.259997	 0.932804	 0.08296
0.269997	 0.881896	 0.09121
0.279997	 0.901569	 0.03614
0.289997	 0.931970	 0.01414
0.299997	 0.942880	 0.03819
0.010000	 1.851125	 -0.00044
0.020000	 1.940377	 0.00738
0.030000	 1.294804	 0.00839
0.040000	 1.340839	 0.01729
0.050000	 0.888356	 0.03350
0.060000	 1.134591	 0.04771
0.070000	 0.809350	 0.06136
0.080000	 1.003053	 0.04558
0.090000	 1.132858	 0.06328
0.100000	 1.107511	 0.10052
0.110000	 1.141924	 0.09420
0.120000	 1.001263	 0.07916
0.130000	 0.976380	 0.07790
0.140000	 0.854048	 0.08462
0.150000	 0.738629	 0.07104
0.160000	 0.718362	 0.06454
0.170000	 0.689440	 0.07480
0.180000	 0.672389	 0.06549
0.190000	 0.604156	 0.04397
0.200000	 0.749230	 0.04459
0.210000	 0.703897	 0.08436
0.220000	 0.679043	 0.08404
0.230000	 0.791261	 0.08989
0.240000	 0.768716	 0.13324
0.250000	 0.721436	 0.12013
0.260000	 0.742851	 0.12669
0.270000	 0.786277	 0.11945
0.280000	 0.764797	 0.16239
0.290000	 0.709213	 0.16248
0.300000	 0.743743	 0.19023
0.310000	 0.777587	 0.19674
0.320000	 0.741472	 0.14336
0.330000	 0.724525	 0.12324
0.340000	 0.773901	 0.06347
0.350000	 0.790573	 0.10542
0.360000	 0.807798	 0.11677
0.370000	 0.775825	 0.10653
0.380000	 0.806974	 0.10946
0.390000	 0.820734	 0.05953
0.400000	 0.769102	 0.09777


Average of all Threads:

meanx = 0.30764	 meanxsqu = 0.78673	 mthree = 0.09777

