#xpositions	 ypositions
0.19121	 -0.75741
0.72825	 -0.22739
0.42918	 -0.52931
0.28170	 0.07279
0.48581	 -0.04248
0.22440	 0.03506
0.43357	 0.49253
0.38373	 -0.43897
0.26795	 0.30079
0.73122	 0.11070
0.34222	 -0.41545
0.82961	 -0.11030
0.29373	 0.29891
0.29860	 -0.07497
0.29066	 -0.52729
0.11799	 0.51852
0.13300	 -0.79182
0.11148	 -0.31055
0.12875	 0.02500
0.45401	 -0.49169
0.18991	 -0.74520
0.56528	 0.33072
0.74331	 -0.11938
0.42320	 -0.51734
0.52803	 0.42469
0.47997	 0.02852
0.20376	 -0.68079
0.66819	 0.05421
0.23933	 0.52604
0.68737	 -0.21078
0.69969	 0.00015
0.29439	 -0.25499
0.35173	 -0.39718
0.89707	 0.03239
0.55467	 -0.26763
0.06662	 -0.73727
0.32402	 -0.34891
0.67751	 -0.04870
0.52029	 0.16656
0.92217	 -0.02672
0.47408	 0.29597
0.53945	 0.07438
0.43454	 0.47518
0.27461	 -0.15555
0.09846	 0.05675
0.36999	 -0.27997
0.60774	 0.18857
0.65361	 -0.28653
0.07279	 -0.60827
0.59344	 -0.38734
0.29554	 -0.12770
0.52667	 0.18520
0.29506	 0.53275
0.27175	 0.14186
0.08714	 0.16751
0.10888	 -0.07282
0.24436	 0.28455
0.08660	 -0.49013
0.14255	 -0.60426
0.87696	 -0.01549
0.28476	 0.53520
0.14620	 -0.52856
0.49105	 0.27775
0.07562	 -0.74068
0.75493	 0.02445
0.60090	 0.35239
0.15471	 -0.05418
0.10846	 -0.19521
0.32985	 -0.54696
0.19036	 -0.38048
0.18051	 0.74324
0.31364	 0.54407
0.41336	 -0.30717
0.70270	 0.14901
0.98770	 -0.02937
0.56495	 0.35286
0.20891	 -0.42277
0.07900	 -0.31691
0.36449	 -0.34673
0.10074	 -0.09653
0.29241	 -0.33244
0.13951	 -0.41490
0.29575	 -0.52949
0.19434	 -0.56305
0.40045	 0.07075
0.39246	 0.37255
0.45756	 -0.51188
0.05888	 0.25735
0.09107	 0.54183
0.50045	 -0.12741
0.15251	 0.21376
0.19868	 -0.06139
0.54010	 -0.34133
0.90921	 0.02600
0.34009	 0.13237
0.32891	 0.21544
0.11507	 -0.62835
0.26079	 -0.55161
0.82749	 0.07548
0.55294	 0.15573
0.15907	 0.61188
0.36340	 0.03292
0.32462	 -0.10440
0.53311	 0.04015
0.67402	 0.26731
0.19765	 0.05459
0.28937	 0.36841
0.49550	 -0.48222
0.96132	 0.01923
0.16112	 -0.58852
0.06947	 0.58872
0.30996	 -0.58725
0.15928	 -0.20951
0.95741	 -0.04059
0.62675	 -0.11873
0.54648	 -0.03905
0.78222	 0.10371
0.21811	 0.51278
0.17782	 -0.23553
0.80971	 -0.08064
0.23945	 -0.16613
0.43661	 0.39130
0.09058	 0.41705
0.21054	 0.22662
0.53824	 0.04487
0.18600	 -0.26640
0.84756	 0.05562
0.66795	 -0.18991
0.26995	 -0.37802
0.48266	 -0.10067
0.57561	 -0.22552
0.39325	 -0.18395
0.32094	 0.48601
0.76181	 -0.02156
0.23539	 -0.38760
0.23679	 -0.62223
0.65962	 -0.03178
0.41730	 0.37889
0.32205	 -0.49539
0.93657	 -0.02061
0.60651	 -0.36775
0.47385	 -0.28709
0.13697	 0.59005
0.49693	 0.30302
0.06691	 0.85375
0.43360	 0.46888
0.28548	 -0.18498
0.10981	 0.31777
0.38644	 0.26873
0.22826	 0.45758
0.14434	 -0.58196
0.40376	 0.35922
0.13522	 -0.38124
0.38366	 -0.16887
0.51314	 -0.34730
0.21507	 -0.57306
0.41163	 0.32997
0.24583	 -0.12052
0.86649	 0.11380
0.69984	 -0.26382
0.12713	 -0.31311
0.33131	 0.14777
0.05221	 -0.51577
0.48161	 0.27316
0.72701	 0.25752
0.68277	 0.15248
0.33711	 0.45203
0.67134	 -0.27061
0.05030	 -0.00451
0.15764	 0.54296
0.32495	 -0.20173
0.15468	 0.17970
0.40955	 0.52718
0.57584	 0.32122
0.20777	 -0.61899
0.28828	 -0.63724
0.37596	 0.04977
0.23477	 0.15759
0.15405	 -0.10347
0.37673	 -0.21463
0.37108	 0.10665
0.22290	 0.27030
0.82514	 0.10093
0.37256	 -0.47878
0.56501	 0.26561
0.17030	 -0.65132
0.25260	 0.28429
0.12744	 0.22561
0.74015	 -0.02237
0.06106	 -0.18406
0.20116	 -0.10871
0.29048	 0.03315
0.76628	 0.17798
0.61777	 -0.30971
0.27639	 0.58607
0.42098	 0.44477
0.40873	 -0.51512
0.45592	 -0.42042
0.25683	 0.15481
0.58727	 0.25158
