#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 -0.0108	 -0.53779	 0.0283	 0.70437	 0	 0
0.019998	 0.0213	 0.53236	 0.0424	 0.52404	 0	 0
0.029997	 0.0191	 0.31816	 0.0509	 0.42116	 0	 0
0.039998	 0.0277	 0.34574	 0.0717	 0.44307	 0	 0
0.049998	 0.0349	 0.34855	 0.0953	 0.47051	 0	 0
0.059998	 0.0342	 0.28474	 0.1071	 0.44121	 0	 0
0.069998	 0.0392	 0.27998	 0.1333	 0.47064	 0	 0
0.079998	 0.0470	 0.29350	 0.1702	 0.52507	 0	 0
0.089998	 0.0619	 0.34389	 0.1932	 0.52591	 0	 0
0.099998	 0.0682	 0.34123	 0.2128	 0.52026	 0	 0
0.109998	 0.0613	 0.27877	 0.2293	 0.51250	 0	 0
0.119998	 0.0666	 0.27768	 0.2589	 0.53014	 0	 0
0.129998	 0.0688	 0.26452	 0.2718	 0.51356	 0	 0
0.139998	 0.0845	 0.30184	 0.2902	 0.50540	 0	 0
0.149997	 0.0959	 0.31975	 0.2889	 0.46618	 0	 0
0.159997	 0.1202	 0.37560	 0.3082	 0.45899	 0	 0
0.169997	 0.1322	 0.38883	 0.3571	 0.49947	 0	 0
0.179997	 0.1172	 0.32565	 0.3521	 0.46990	 0	 0
0.189997	 0.1322	 0.34784	 0.3708	 0.46490	 0	 0
0.199997	 0.1432	 0.35792	 0.4003	 0.47477	 0	 0
0.209997	 0.1547	 0.36844	 0.4121	 0.46215	 0	 0
0.219997	 0.1834	 0.41688	 0.4298	 0.45021	 0	 0
0.229997	 0.1680	 0.36515	 0.4472	 0.45542	 0	 0
0.239997	 0.1601	 0.33363	 0.4556	 0.44790	 0	 0
0.249997	 0.1690	 0.33800	 0.4914	 0.46288	 0	 0
0.259997	 0.1769	 0.34023	 0.4989	 0.44962	 0	 0
0.269997	 0.1759	 0.32578	 0.5399	 0.47130	 0	 0
0.279997	 0.1675	 0.29904	 0.5236	 0.44251	 0	 0
0.289997	 0.1884	 0.32476	 0.5300	 0.42630	 0	 0
0.299997	 0.2123	 0.35384	 0.5222	 0.39758	 0	 0
0.010000	 0.0449	 2.24501	 0.1373	 3.38174	 0	 0
0.020000	 0.0469	 1.17323	 0.1401	 1.72352	 0	 0
0.030000	 0.0608	 1.01339	 0.1397	 1.13368	 0	 0
0.040000	 0.0716	 0.89443	 0.1449	 0.87393	 0	 0
0.050000	 0.0641	 0.64060	 0.1529	 0.74406	 0	 0
0.060000	 0.0621	 0.51772	 0.1696	 0.69061	 0	 0
0.070000	 0.1018	 0.72687	 0.1919	 0.64830	 0	 0
0.080000	 0.1123	 0.70178	 0.1912	 0.55814	 0	 0
0.090000	 0.1233	 0.68491	 0.1936	 0.49569	 0	 0
0.100000	 0.1507	 0.75344	 0.2283	 0.51392	 0	 0
0.110000	 0.1551	 0.70487	 0.2567	 0.52885	 0	 0
0.120000	 0.1737	 0.72384	 0.2701	 0.49976	 0	 0
0.130000	 0.1896	 0.72917	 0.2838	 0.47673	 0	 0
0.140000	 0.2101	 0.75023	 0.3127	 0.47963	 0	 0
0.150000	 0.2483	 0.82755	 0.3453	 0.47280	 0	 0
0.160000	 0.2741	 0.85656	 0.3882	 0.48919	 0	 0
0.170000	 0.2832	 0.83282	 0.3875	 0.45192	 0	 0
0.180000	 0.2795	 0.77639	 0.4137	 0.46606	 0	 0
0.190000	 0.2884	 0.75888	 0.4400	 0.46947	 0	 0
0.200000	 0.3149	 0.78724	 0.4703	 0.46397	 0	 0
0.210000	 0.3238	 0.77099	 0.5008	 0.47139	 1	 1
0.220000	 0.3530	 0.80233	 0.5425	 0.47481	 2	 2
0.230000	 0.3688	 0.80166	 0.5762	 0.47847	 3	 3
0.240000	 0.3846	 0.80129	 0.6184	 0.49005	 4	 4
0.250000	 0.4175	 0.83495	 0.6654	 0.49107	 5	 5
0.260000	 0.3991	 0.76744	 0.6695	 0.49066	 6	 6
0.270000	 0.4053	 0.75051	 0.6885	 0.48541	 7	 7
0.280000	 0.4148	 0.74079	 0.6844	 0.45741	 8	 8
0.290000	 0.4221	 0.72784	 0.6947	 0.44523	 9	 9
0.300000	 0.4403	 0.73387	 0.7200	 0.43843	 10	 10
0.310000	 0.4665	 0.75247	 0.7539	 0.43248	 11	 11
0.320000	 0.4708	 0.73567	 0.7974	 0.44977	 12	 12
0.330000	 0.4974	 0.75364	 0.8220	 0.43532	 13	 13
0.340000	 0.5090	 0.74851	 0.8277	 0.41810	 14	 14
0.350000	 0.5029	 0.71846	 0.8104	 0.39820	 15	 15
0.360000	 0.4937	 0.68572	 0.8299	 0.40702	 16	 16
0.370000	 0.5162	 0.69759	 0.8504	 0.39451	 17	 17
0.380000	 0.5336	 0.70205	 0.8838	 0.39414	 18	 18
0.390000	 0.5478	 0.70226	 0.9103	 0.39116	 19	 19
0.400000	 0.5398	 0.67474	 0.8842	 0.37054	 20	 20


Average of all Threads:

msd = 0.59287	 meanspd = 1.34949	 mu = 0.67474	 deff = 0.37054

