#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.009998	 1.675721	 0.00036
0.019998	 1.583883	 0.00111
0.029997	 1.440877	 0.00023
0.039998	 1.646237	 0.00378
0.049998	 1.649519	 0.00424
0.059998	 1.428568	 0.00335
0.069998	 1.399224	 0.01239
0.079998	 1.419111	 0.01774
0.089998	 1.472659	 0.03122
0.099998	 1.392072	 0.03956
0.010000	 5.066238	 -0.00625
0.020000	 2.371331	 -0.00092
0.030000	 2.234625	 -0.00437
0.040000	 1.943288	 0.00648
0.050000	 1.780560	 0.00847
0.060000	 1.356200	 0.01815
0.070000	 1.297031	 0.01159
0.080000	 1.364576	 0.01957
0.090000	 1.272637	 0.02907
0.100000	 1.034821	 0.01881
0.110000	 0.962686	 0.01193
0.120000	 1.070754	 0.00323
0.130000	 1.151892	 0.01829
0.140000	 1.064235	 0.03339
0.150000	 1.080977	 0.03808
0.160000	 1.062022	 0.04393
0.170000	 1.068264	 0.06234
0.180000	 0.996633	 0.06057
0.190000	 0.920566	 0.04218
0.200000	 0.950738	 0.06911
0.210000	 0.945448	 0.07755
0.220000	 0.922984	 0.06927
0.230000	 0.897342	 0.05782
0.240000	 0.870719	 0.04834
0.250000	 0.859733	 0.11508
0.260000	 0.809928	 0.07584
0.270000	 0.869021	 0.08792
0.280000	 0.880815	 0.12825
0.290000	 0.874125	 0.06497
0.300000	 0.904310	 0.06059
0.310000	 0.878104	 0.08825
0.320000	 0.867981	 0.07487
0.330000	 0.868285	 0.05744
0.340000	 0.865488	 0.09372
0.350000	 0.789761	 0.07115
0.360000	 0.737652	 0.11656
0.370000	 0.792529	 0.15563
0.380000	 0.779379	 0.21530
0.390000	 0.771211	 0.17737
0.400000	 0.792731	 0.19220
0.410000	 0.797376	 0.22453
0.420000	 0.797976	 0.22293
0.430000	 0.772245	 0.18907
0.440000	 0.759144	 0.16586
0.450000	 0.717932	 0.18720
0.460000	 0.733084	 0.25716
0.470000	 0.748762	 0.25895
0.480000	 0.725361	 0.23851
0.490000	 0.730894	 0.23304
0.500000	 0.753597	 0.29435
0.510000	 0.792800	 0.32472
0.520000	 0.805874	 0.39317
0.530000	 0.787951	 0.37858
0.540000	 0.762410	 0.26157
0.550000	 0.767981	 0.27881
0.560000	 0.758324	 0.21234
0.570000	 0.798835	 0.21624
0.580000	 0.773737	 0.23895
0.590000	 0.773600	 0.25419
0.600000	 0.771014	 0.26714


Average of all Threads:

meanx = 0.46261	 meanxsqu = 1.09103	 mthree = 0.26714

