#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.009998	 0.0312	 1.56288	 0.0295	 0.71325	 0	 0
0.019998	 0.0319	 0.79730	 0.0553	 0.67858	 0	 0
0.029997	 0.0359	 0.59845	 0.0735	 0.60207	 0	 0
0.039998	 0.0362	 0.45276	 0.0985	 0.60728	 0	 0
0.049998	 0.0572	 0.57215	 0.1321	 0.64393	 0	 0
0.059998	 0.0508	 0.42368	 0.1417	 0.57953	 0	 0
0.069998	 0.0521	 0.37190	 0.1578	 0.55391	 0	 0
0.079998	 0.0423	 0.26465	 0.1779	 0.55049	 0	 0
0.089998	 0.0564	 0.31321	 0.2049	 0.56026	 0	 0
0.099998	 0.0654	 0.32708	 0.2144	 0.52521	 0	 0
0.010000	 -0.0226	 -1.12856	 0.1023	 2.54504	 0	 0
0.020000	 -0.0107	 -0.26708	 0.1086	 1.35570	 0	 0
0.030000	 -0.0158	 -0.26287	 0.1250	 1.03924	 0	 0
0.040000	 0.0071	 0.08914	 0.1343	 0.83890	 0	 0
0.050000	 0.0143	 0.14322	 0.1569	 0.78340	 0	 0
0.060000	 0.0147	 0.12286	 0.1749	 0.72782	 0	 0
0.070000	 0.0375	 0.26754	 0.1881	 0.66675	 0	 0
0.080000	 0.0613	 0.38291	 0.2053	 0.62982	 0	 0
0.090000	 0.0635	 0.35272	 0.2143	 0.58416	 0	 0
0.100000	 0.0586	 0.29295	 0.2323	 0.57206	 0	 0
0.110000	 0.0642	 0.29179	 0.2499	 0.55863	 0	 0
0.120000	 0.0792	 0.33003	 0.2564	 0.52105	 0	 0
0.130000	 0.0947	 0.36413	 0.2694	 0.50082	 0	 0
0.140000	 0.0827	 0.29546	 0.2719	 0.47332	 0	 0
0.150000	 0.0811	 0.27038	 0.2981	 0.48580	 0	 0
0.160000	 0.1024	 0.31990	 0.3454	 0.52326	 0	 0
0.170000	 0.1308	 0.38482	 0.3630	 0.50866	 0	 0
0.180000	 0.1355	 0.37626	 0.3698	 0.48814	 0	 0
0.190000	 0.1299	 0.34174	 0.3919	 0.49348	 0	 0
0.200000	 0.1337	 0.33426	 0.4147	 0.49605	 0	 0
0.210000	 0.1402	 0.33378	 0.4153	 0.47100	 0	 0
0.220000	 0.1406	 0.31961	 0.4309	 0.46714	 0	 0
0.230000	 0.1465	 0.31846	 0.4438	 0.45910	 0	 0
0.240000	 0.1273	 0.26521	 0.4605	 0.46282	 0	 0
0.250000	 0.1293	 0.25865	 0.4495	 0.43275	 0	 0
0.260000	 0.1232	 0.23698	 0.4383	 0.40686	 0	 0
0.270000	 0.1409	 0.26095	 0.4916	 0.43678	 0	 0
0.280000	 0.1502	 0.26814	 0.4860	 0.41382	 0	 0
0.290000	 0.1692	 0.29181	 0.4979	 0.40453	 0	 0
0.300000	 0.1652	 0.27528	 0.4947	 0.38951	 0	 0
0.310000	 0.1885	 0.30411	 0.4914	 0.36759	 0	 0
0.320000	 0.2043	 0.31916	 0.5216	 0.37488	 0	 0
0.330000	 0.2292	 0.34735	 0.5410	 0.37002	 0	 0
0.340000	 0.2261	 0.33256	 0.5509	 0.36749	 0	 0
0.350000	 0.2573	 0.36753	 0.6066	 0.38602	 0	 0
0.360000	 0.2632	 0.36560	 0.6046	 0.37171	 0	 0
0.370000	 0.2524	 0.34112	 0.6141	 0.37191	 0	 0
0.380000	 0.2720	 0.35788	 0.6421	 0.37375	 0	 0
0.390000	 0.2924	 0.37493	 0.6818	 0.38222	 0	 0
0.400000	 0.2865	 0.35815	 0.7020	 0.38747	 0	 0
0.410000	 0.2934	 0.35782	 0.7189	 0.38585	 1	 1
0.420000	 0.3055	 0.36364	 0.7404	 0.38520	 2	 2
0.430000	 0.3302	 0.38393	 0.7754	 0.38746	 3	 3
0.440000	 0.3412	 0.38770	 0.7986	 0.38762	 4	 4
0.450000	 0.3317	 0.36857	 0.8457	 0.40868	 5	 5
0.460000	 0.3511	 0.38168	 0.8838	 0.41329	 6	 6
0.470000	 0.3595	 0.38241	 0.9378	 0.43011	 7	 7
0.480000	 0.3591	 0.37401	 0.9343	 0.41945	 8	 8
0.490000	 0.3646	 0.37202	 0.9326	 0.40799	 9	 9
0.500000	 0.3689	 0.36891	 0.9290	 0.39647	 10	 10
0.510000	 0.3770	 0.36959	 0.9824	 0.41191	 11	 11
0.520000	 0.3864	 0.37158	 1.0145	 0.41592	 12	 12
0.530000	 0.4195	 0.39572	 1.0504	 0.41248	 13	 13
0.540000	 0.4224	 0.39110	 1.0944	 0.42408	 14	 14
0.550000	 0.4265	 0.38774	 1.1144	 0.42388	 15	 15
0.560000	 0.4133	 0.36904	 1.1532	 0.43856	 16	 16
0.570000	 0.4374	 0.38367	 1.1740	 0.43099	 17	 17
0.580000	 0.4562	 0.39329	 1.2115	 0.43247	 18	 18
0.590000	 0.4369	 0.37029	 1.1847	 0.42108	 19	 19
0.600000	 0.4617	 0.38472	 1.1896	 0.40685	 20	 20


Average of all Threads:

msd = 0.97643	 meanspd = 0.76945	 mu = 0.38472	 deff = 0.40685

