#time	 tcoeff.meanspeed	  <x^3>-3<x^2><x>+2<x>^3
0.019998	 1.627544	 -0.00058
0.029997	 1.044885	 0.00186
0.039998	 0.869467	 0.00296
0.049998	 1.208811	 0.00338
0.059998	 1.013709	 0.00048
0.069998	 1.019157	 0.00344
0.079998	 1.136889	 0.01229
0.089998	 1.129462	 0.03106
0.099998	 1.103358	 0.03599
0.010000	 2.675264	 -0.00449
0.020000	 2.586326	 0.00559
0.030000	 2.470422	 0.00686
0.040000	 2.179850	 0.00812
0.050000	 1.769890	 0.01075
0.060000	 1.220689	 0.01416
0.070000	 1.091822	 0.00471
0.080000	 1.006774	 0.02576
0.090000	 0.970552	 0.03967
0.100000	 1.004713	 0.01441
0.110000	 0.844217	 0.02806
0.120000	 0.864926	 0.02659
0.130000	 0.837512	 0.03307
0.140000	 0.849799	 0.03940
0.150000	 0.768978	 0.00981
0.160000	 0.865269	 0.03407
0.170000	 0.845471	 0.01638
0.180000	 0.854757	 0.01187
0.190000	 0.921144	 -0.00574
0.200000	 0.955187	 -0.01178
0.210000	 0.919564	 -0.00830
0.220000	 0.885074	 0.01651
0.230000	 0.836251	 0.03205
0.240000	 0.830171	 0.01740
0.250000	 0.859684	 0.02942
0.260000	 0.830249	 0.01446
0.270000	 0.850935	 0.05531
0.280000	 0.855639	 0.07220
0.290000	 0.897141	 0.02698
0.300000	 0.961567	 -0.01262
0.310000	 0.969623	 0.06003
0.320000	 0.974854	 0.05513
0.330000	 0.956925	 0.08439
0.340000	 0.915152	 0.06305
0.350000	 0.984086	 0.00649
0.360000	 0.970241	 -0.01171
0.370000	 0.926277	 0.02792
0.380000	 1.000733	 -0.04772
0.390000	 0.954321	 -0.02634
0.400000	 0.921854	 -0.04928
0.410000	 0.902175	 -0.03983
0.420000	 0.885014	 0.04266
0.430000	 0.889158	 0.10122
0.440000	 0.893369	 0.10962
0.450000	 0.901433	 0.11646
0.460000	 0.866784	 0.20200
0.470000	 0.885636	 0.20068
0.480000	 0.906008	 0.22587
0.490000	 0.941764	 0.22401
0.500000	 0.920208	 0.24919
0.510000	 0.906467	 0.30568
0.520000	 0.919444	 0.30753
0.530000	 0.930216	 0.35498
0.540000	 0.900024	 0.47618
0.550000	 0.889558	 0.47391
0.560000	 0.909576	 0.42287
0.570000	 0.947105	 0.45077
0.580000	 0.914396	 0.38188
0.590000	 0.940955	 0.42927
0.600000	 0.922749	 0.51526


Average of all Threads:

meanx = 0.55365	 meanxsqu = 1.35628	 mthree = 0.51526

