#time	 meanx	 mu	 Meansqdist	  deff  	 abb	 abbdeff
0.019998	 0.0325	 0.81377	 0.0520	 0.63709	 0	 0
0.029997	 0.0313	 0.52244	 0.0715	 0.58811	 0	 0
0.039998	 0.0348	 0.43473	 0.0827	 0.50936	 0	 0
0.049998	 0.0604	 0.60441	 0.0917	 0.44049	 0	 0
0.059998	 0.0608	 0.50685	 0.0975	 0.39072	 0	 0
0.069998	 0.0713	 0.50958	 0.1142	 0.38961	 0	 0
0.079998	 0.0909	 0.56844	 0.1408	 0.41412	 0	 0
0.089998	 0.1016	 0.56473	 0.1783	 0.46658	 0	 0
0.099998	 0.1103	 0.55168	 0.1854	 0.43304	 0	 0
0.010000	 0.0268	 1.33763	 0.1186	 2.94831	 0	 0
0.020000	 0.0517	 1.29316	 0.1337	 1.63836	 0	 0
0.030000	 0.0741	 1.23521	 0.1492	 1.19748	 0	 0
0.040000	 0.0872	 1.08993	 0.1670	 0.99618	 0	 0
0.050000	 0.0885	 0.88494	 0.1776	 0.84870	 0	 0
0.060000	 0.0732	 0.61034	 0.1735	 0.70054	 0	 0
0.070000	 0.0764	 0.54591	 0.1860	 0.64341	 0	 0
0.080000	 0.0805	 0.50339	 0.2013	 0.60890	 0	 0
0.090000	 0.0873	 0.48528	 0.2104	 0.56321	 0	 0
0.100000	 0.1005	 0.50236	 0.2335	 0.55846	 0	 0
0.110000	 0.0929	 0.42211	 0.2660	 0.58490	 0	 0
0.120000	 0.1038	 0.43246	 0.2853	 0.57183	 0	 0
0.130000	 0.1089	 0.41876	 0.2800	 0.51573	 0	 0
0.140000	 0.1190	 0.42490	 0.2961	 0.50341	 0	 0
0.150000	 0.1153	 0.38449	 0.3088	 0.49249	 0	 0
0.160000	 0.1384	 0.43263	 0.3322	 0.48907	 0	 0
0.170000	 0.1437	 0.42274	 0.3125	 0.42915	 0	 0
0.180000	 0.1539	 0.42738	 0.3356	 0.43325	 0	 0
0.190000	 0.1750	 0.46057	 0.3486	 0.41844	 0	 0
0.200000	 0.1910	 0.47759	 0.3639	 0.40920	 0	 0
0.210000	 0.1931	 0.45978	 0.3865	 0.41569	 0	 0
0.220000	 0.1947	 0.44254	 0.4027	 0.41450	 0	 0
0.230000	 0.1923	 0.41813	 0.4330	 0.43041	 0	 0
0.240000	 0.1992	 0.41509	 0.4539	 0.43150	 0	 0
0.250000	 0.2149	 0.42984	 0.4813	 0.43507	 0	 0
0.260000	 0.2159	 0.41512	 0.5055	 0.44121	 0	 0
0.270000	 0.2298	 0.42547	 0.5207	 0.43327	 0	 0
0.280000	 0.2396	 0.42782	 0.5368	 0.42808	 0	 0
0.290000	 0.2602	 0.44857	 0.5647	 0.42848	 0	 0
0.300000	 0.2885	 0.48078	 0.5791	 0.41320	 0	 0
0.310000	 0.3006	 0.48481	 0.6264	 0.43233	 0	 0
0.320000	 0.3120	 0.48743	 0.6412	 0.42489	 0	 0
0.330000	 0.3158	 0.47846	 0.6702	 0.43218	 0	 0
0.340000	 0.3112	 0.45758	 0.6849	 0.43244	 0	 0
0.350000	 0.3444	 0.49204	 0.7024	 0.41696	 0	 0
0.360000	 0.3493	 0.48512	 0.7334	 0.42458	 0	 0
0.370000	 0.3427	 0.46314	 0.7428	 0.42255	 0	 0
0.380000	 0.3803	 0.50037	 0.7978	 0.42975	 0	 0
0.390000	 0.3722	 0.47716	 0.8275	 0.44168	 0	 0
0.400000	 0.3687	 0.46093	 0.8424	 0.44152	 0	 0
0.410000	 0.3699	 0.45109	 0.8862	 0.45694	 1	 1
0.420000	 0.3717	 0.44251	 0.9080	 0.45823	 2	 2
0.430000	 0.3823	 0.44458	 0.9350	 0.45864	 3	 3
0.440000	 0.3931	 0.44668	 0.9434	 0.44820	 4	 4
0.450000	 0.4056	 0.45072	 0.9471	 0.43477	 5	 5
0.460000	 0.3987	 0.43339	 0.9802	 0.44632	 6	 6
0.470000	 0.4162	 0.44282	 0.9904	 0.43463	 7	 7
0.480000	 0.4349	 0.45300	 1.0099	 0.42750	 8	 8
0.490000	 0.4615	 0.47088	 1.0533	 0.42873	 9	 9
0.500000	 0.4601	 0.46010	 1.0457	 0.41699	 10	 10
0.510000	 0.4623	 0.45323	 1.0858	 0.42749	 11	 11
0.520000	 0.4781	 0.45972	 1.0827	 0.41061	 12	 12
0.530000	 0.4930	 0.46511	 1.1225	 0.41482	 13	 13
0.540000	 0.4860	 0.45001	 1.1610	 0.42812	 14	 14
0.550000	 0.4893	 0.44478	 1.1711	 0.42353	 15	 15
0.560000	 0.5094	 0.45479	 1.2075	 0.42323	 16	 16
0.570000	 0.5399	 0.47355	 1.2724	 0.43026	 17	 17
0.580000	 0.5303	 0.45720	 1.2754	 0.42850	 18	 18
0.590000	 0.5552	 0.47048	 1.3022	 0.42118	 19	 19
0.600000	 0.5536	 0.46137	 1.3563	 0.43740	 20	 20


Average of all Threads:

msd = 1.04975	 meanspeed = 0.92275	 mu = 0.46137	 deff = 0.43740

