#time	 meanx: <x>	 Meansqdist: <x^2> - <x>^2	  deff: (<x^2> - <x>^2)/(2t)	 third cumulant: <x^3>-3<x^2><x>+2<x>^3
0.019998	 2.180951	 0.05443	 0.65668	 0.00150
0.029997	 1.412157	 0.07886	 0.64225	 0.00134
0.039998	 0.984508	 0.09060	 0.55662	 0.00172
0.049998	 0.879694	 0.11496	 0.56516	 0.00262
0.059998	 0.732064	 0.11460	 0.46950	 0.01395
0.069998	 0.617526	 0.12567	 0.44217	 0.02015
0.079998	 0.746056	 0.13529	 0.41166	 0.01897
0.089998	 0.700549	 0.14610	 0.39480	 0.01334
0.099998	 0.615460	 0.16262	 0.39709	 0.00699
0.010000	 0.060040	 0.10964	 2.74093	 0.00115
0.020000	 0.560668	 0.12861	 1.60611	 -0.00820
0.030000	 0.292489	 0.12837	 1.06910	 -0.00240
0.040000	 0.304439	 0.13376	 0.83506	 0.00901
0.050000	 0.755717	 0.15495	 0.76762	 0.02599
0.060000	 0.545136	 0.19534	 0.80947	 0.02648
0.070000	 0.798491	 0.19197	 0.67445	 0.02474
0.080000	 0.731649	 0.20441	 0.62809	 0.03478
0.090000	 0.959717	 0.20822	 0.55767	 0.03027
0.100000	 0.995968	 0.24430	 0.58594	 0.04348
0.110000	 1.076996	 0.26944	 0.58046	 0.02598
0.120000	 0.948323	 0.28878	 0.57464	 0.04077
0.130000	 0.905407	 0.31371	 0.57664	 0.05415
0.140000	 0.960601	 0.32787	 0.55318	 0.09273
0.150000	 0.867804	 0.32957	 0.52104	 0.11675
0.160000	 0.862428	 0.36664	 0.54312	 0.13819
0.170000	 0.843103	 0.35527	 0.49225	 0.11674
0.180000	 0.808975	 0.37102	 0.48586	 0.09376
0.190000	 0.906967	 0.39452	 0.48004	 0.12932
0.200000	 0.977663	 0.41514	 0.47114	 0.12048
0.210000	 0.979528	 0.43879	 0.47199	 0.14597
0.220000	 0.957020	 0.46745	 0.48082	 0.17045
0.230000	 1.017182	 0.46192	 0.44259	 0.14830
0.240000	 0.992603	 0.48001	 0.44090	 0.12587
0.250000	 1.025876	 0.49235	 0.42657	 0.09492
0.260000	 1.009871	 0.52112	 0.43479	 0.13755
0.270000	 1.117061	 0.54868	 0.42381	 0.16639
0.280000	 1.051487	 0.55844	 0.42122	 0.18173
0.290000	 1.079805	 0.58170	 0.41693	 0.24319
0.300000	 1.009141	 0.61447	 0.43568	 0.24767
0.310000	 1.007874	 0.64115	 0.43833	 0.27424
0.320000	 0.959099	 0.62450	 0.41430	 0.28886
0.330000	 0.911570	 0.64026	 0.41649	 0.29878
0.340000	 0.893863	 0.65250	 0.41187	 0.35376
0.350000	 0.891507	 0.63264	 0.38234	 0.31265
0.360000	 0.952723	 0.65923	 0.37611	 0.25711
0.370000	 0.902848	 0.65161	 0.36488	 0.23710
0.380000	 0.909863	 0.65726	 0.35376	 0.23353
0.390000	 0.909291	 0.70889	 0.37380	 0.26074
0.400000	 0.965780	 0.76109	 0.38241	 0.27559
0.410000	 0.940604	 0.76359	 0.37492	 0.33717
0.420000	 0.902310	 0.76056	 0.36723	 0.36401
0.430000	 0.894203	 0.76506	 0.35885	 0.31907
0.440000	 0.885490	 0.79585	 0.36594	 0.30016
0.450000	 0.891395	 0.80317	 0.35681	 0.26510
0.460000	 0.942059	 0.87191	 0.37180	 0.27043
0.470000	 0.907933	 0.85855	 0.35982	 0.18605
0.480000	 0.881659	 0.83754	 0.34294	 0.18236
0.490000	 0.906927	 0.85295	 0.33442	 0.19381
0.500000	 0.932081	 0.89063	 0.33672	 0.23212
0.510000	 0.942667	 0.93522	 0.34514	 0.23360
0.520000	 0.904688	 0.91111	 0.33163	 0.20942
0.530000	 0.881267	 0.93051	 0.33602	 0.23831
0.540000	 0.882404	 0.95624	 0.33759	 0.25110
0.550000	 0.899660	 1.02093	 0.35277	 0.30836
0.560000	 0.846231	 1.01989	 0.35505	 0.31649
0.570000	 0.870605	 0.99581	 0.32875	 0.31534
0.580000	 0.845518	 0.99475	 0.32511	 0.24060
0.590000	 0.859260	 1.00131	 0.31538	 0.13841
0.600000	 0.846318	 1.03873	 0.32537	 0.20829


Average of all Threads:

meanx = 0.50779	 meanxsqu = 1.03873	 mthree = 0.20829

