#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb	 abbdeff
0.019998	 0.0288	 1.44229	 0.7211	  0	 0
0.029997	 0.0477	 1.58907	 0.7945	  0	 0
0.039998	 0.0578	 1.44387	 0.7219	  0	 0
0.049998	 0.0482	 0.96388	 0.4819	  0	 0
0.059998	 0.0714	 1.18937	 0.5947	  0	 0
0.069998	 0.0826	 1.17936	 0.5897	  0	 0
0.079998	 0.0918	 1.14716	 0.5736	  0	 0
0.089998	 0.0922	 1.02413	 0.5121	  0	 0
0.099998	 0.1069	 1.06884	 0.5344	  0	 0
0.010000	 0.0463	 4.63053	 2.3153	  0	 0
0.020000	 0.0660	 3.29945	 1.6497	  0	 0
0.030000	 0.0869	 2.89580	 1.4479	  0	 0
0.040000	 0.1251	 3.12701	 1.5635	  0	 0
0.050000	 0.1250	 2.50053	 1.2503	  0	 0
0.060000	 0.1344	 2.24034	 1.1202	  0	 0
0.070000	 0.1644	 2.34834	 1.1742	  0	 0
0.080000	 0.1771	 2.21325	 1.1066	  0	 0
0.090000	 0.1982	 2.20200	 1.1010	  0	 0
0.100000	 0.1968	 1.96790	 0.9839	  0	 0
0.110000	 0.2138	 1.94390	 0.9719	  0	 0
0.120000	 0.2123	 1.76939	 0.8847	  0	 0
0.130000	 0.2480	 1.90804	 0.9540	  0	 0
0.140000	 0.2597	 1.85501	 0.9275	  0	 0
0.150000	 0.2637	 1.75776	 0.8789	  0	 0
0.160000	 0.2828	 1.76733	 0.8837	  0	 0
0.170000	 0.2923	 1.71938	 0.8597	  0	 0
0.180000	 0.3063	 1.70150	 0.8508	  0	 0
0.190000	 0.3114	 1.63907	 0.8195	  0	 0
0.200000	 0.3159	 1.57951	 0.7898	  0	 0
0.210000	 0.3090	 1.47157	 0.7358	  0	 0
0.220000	 0.3080	 1.39978	 0.6999	  0	 0
0.230000	 0.3072	 1.33583	 0.6679	  0	 0
0.240000	 0.3082	 1.28406	 0.6420	  0	 0
0.250000	 0.3087	 1.23497	 0.6175	  0	 0
0.260000	 0.3001	 1.15409	 0.5770	  0	 0
0.270000	 0.2963	 1.09723	 0.5486	  0	 0
0.280000	 0.3107	 1.10950	 0.5548	  0	 0
0.290000	 0.3208	 1.10635	 0.5532	  0	 0
0.300000	 0.3291	 1.09697	 0.5485	  0	 0
0.310000	 0.3271	 1.05530	 0.5277	  0	 0
0.320000	 0.3276	 1.02380	 0.5119	  0	 0
0.330000	 0.3268	 0.99042	 0.4952	  0	 0
0.340000	 0.3713	 1.09212	 0.5461	  0	 0
0.350000	 0.3816	 1.09033	 0.5452	  0	 0
0.360000	 0.4205	 1.16806	 0.5840	  0	 0
0.370000	 0.4127	 1.11548	 0.5577	  0	 0
0.380000	 0.4059	 1.06805	 0.5340	  0	 0
0.390000	 0.4176	 1.07085	 0.5354	  0	 0
0.400000	 0.4249	 1.06215	 0.5311	  0	 0
0.410000	 0.4405	 1.07433	 0.5372	  1	 1
0.420000	 0.4549	 1.08321	 0.5416	  2	 2
0.430000	 0.4712	 1.09581	 0.5479	  3	 3
0.440000	 0.4803	 1.09156	 0.5458	  4	 4
0.450000	 0.4837	 1.07486	 0.5374	  5	 5
0.460000	 0.4843	 1.05277	 0.5264	  6	 6
0.470000	 0.4847	 1.03131	 0.5157	  7	 7
0.480000	 0.4915	 1.02405	 0.5120	  8	 8
0.490000	 0.5108	 1.04254	 0.5213	  9	 9
0.500000	 0.5095	 1.01908	 0.5095	  10	 10
0.510000	 0.5269	 1.03313	 0.5166	  11	 11
0.520000	 0.5251	 1.00980	 0.5049	  12	 12
0.530000	 0.5475	 1.03294	 0.5165	  13	 13
0.540000	 0.5432	 1.00589	 0.5029	  14	 14
0.550000	 0.5446	 0.99018	 0.4951	  15	 15
0.560000	 0.5356	 0.95638	 0.4782	  16	 16
0.570000	 0.5504	 0.96554	 0.4828	  17	 17
0.580000	 0.5518	 0.95142	 0.4757	  18	 18
0.590000	 0.5400	 0.91520	 0.4576	  19	 19
0.600000	 0.5522	 0.92033	 0.4602	  20	 20


Average of all Threads:

meanx = 0.55220	 meanspeed = 0.92033	 mu = 0.46016

