#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb	 abbdeff
0.002000	 -0.7131	 -356.55601	 0.3566	  0	 0
0.003000	 -0.9674	 -322.46536	 0.3225	  0	 0
0.004000	 -1.2436	 -310.90528	 0.3109	  0	 0
0.005000	 -1.5257	 -305.14005	 0.3051	  0	 0
0.006000	 -1.8173	 -302.89109	 0.3029	  0	 0
0.007000	 -2.1044	 -300.62472	 0.3006	  0	 0
0.008000	 -2.3982	 -299.77102	 0.2998	  0	 0
0.009000	 -2.7103	 -301.14208	 0.3011	  0	 0
0.010000	 -3.0233	 -302.33305	 0.3023	  0	 0
0.001000	 -0.4655	 -465.48250	 0.4655	  0	 0
0.002000	 -0.7575	 -378.72546	 0.3787	  0	 0
0.003000	 -1.0518	 -350.60350	 0.3506	  0	 0
0.004000	 -1.3678	 -341.94554	 0.3419	  0	 0
0.005000	 -1.6759	 -335.18209	 0.3352	  0	 0
0.006000	 -1.9723	 -328.71180	 0.3287	  0	 0
0.007000	 -2.2797	 -325.66811	 0.3257	  0	 0
0.008000	 -2.5921	 -324.01354	 0.3240	  0	 0
0.009000	 -2.9141	 -323.79333	 0.3238	  0	 0
0.010000	 -3.2131	 -321.31099	 0.3213	  0	 0
0.011000	 -3.4872	 -317.01960	 0.3170	  0	 0
0.012000	 -3.7718	 -314.32051	 0.3143	  0	 0
0.013000	 -4.0710	 -313.15273	 0.3132	  0	 0
0.014000	 -4.3754	 -312.53120	 0.3125	  0	 0
0.015000	 -4.6764	 -311.76287	 0.3118	  0	 0
0.016000	 -5.0170	 -313.56364	 0.3136	  0	 0
0.017000	 -5.3452	 -314.42114	 0.3144	  0	 0
0.018000	 -5.6672	 -314.84182	 0.3148	  0	 0
0.019000	 -6.0098	 -316.30303	 0.3163	  0	 0
0.020000	 -6.3419	 -317.09484	 0.3171	  0	 0
0.021000	 -6.6520	 -316.76023	 0.3168	  0	 0
0.022000	 -6.9374	 -315.33451	 0.3153	  0	 0
0.023000	 -7.2205	 -313.93679	 0.3139	  0	 0
0.024000	 -7.4953	 -312.30248	 0.3123	  0	 0
0.025000	 -7.7861	 -311.44483	 0.3114	  0	 0
0.026000	 -8.0657	 -310.21893	 0.3102	  0	 0
0.027000	 -8.3276	 -308.42787	 0.3084	  0	 0
0.028000	 -8.5869	 -306.67374	 0.3067	  0	 0
0.029000	 -8.8528	 -305.26872	 0.3053	  0	 0
0.030000	 -9.1049	 -303.49571	 0.3035	  0	 0
0.031000	 -9.3625	 -302.01503	 0.3020	  0	 0
0.032000	 -9.6328	 -301.02391	 0.3010	  0	 0
0.033000	 -9.8834	 -299.49803	 0.2995	  0	 0
0.034000	 -10.1356	 -298.10659	 0.2981	  0	 0
0.035000	 -10.3923	 -296.92190	 0.2969	  0	 0
0.036000	 -10.6476	 -295.76600	 0.2958	  0	 0
0.037000	 -10.9052	 -294.73548	 0.2947	  0	 0
0.038000	 -11.1758	 -294.09944	 0.2941	  0	 0
0.039000	 -11.4462	 -293.49208	 0.2935	  0	 0
0.040000	 -11.6991	 -292.47726	 0.2925	  0	 0
0.041000	 -11.9738	 -292.04418	 0.2920	  1	 1
0.042000	 -12.2486	 -291.63368	 0.2916	  2	 2
0.043000	 -12.5439	 -291.71814	 0.2917	  3	 3
0.044000	 -12.8317	 -291.63054	 0.2916	  4	 4
0.045000	 -13.1299	 -291.77614	 0.2918	  5	 5
0.046000	 -13.4247	 -291.84220	 0.2918	  6	 6
0.047000	 -13.7176	 -291.86309	 0.2919	  7	 7
0.048000	 -14.0088	 -291.85087	 0.2919	  8	 8
0.049000	 -14.2962	 -291.75885	 0.2918	  9	 9
0.050000	 -14.5757	 -291.51361	 0.2915	  10	 10
0.051000	 -14.8483	 -291.14366	 0.2911	  11	 11
0.052000	 -15.1174	 -290.71870	 0.2907	  12	 12
0.053000	 -15.3476	 -289.57818	 0.2896	  13	 13
0.054000	 -15.5908	 -288.71820	 0.2887	  14	 14
0.055000	 -15.8335	 -287.88136	 0.2879	  15	 15
0.056000	 -16.0879	 -287.28434	 0.2873	  16	 16
0.057000	 -16.3517	 -286.87242	 0.2869	  17	 17
0.058000	 -16.6254	 -286.64482	 0.2866	  18	 18
0.059000	 -16.9203	 -286.78458	 0.2868	  19	 19
0.060000	 -17.2082	 -286.80408	 0.2868	  20	 20


Average of all Threads:

meanx = -17.20824	 meanspeed = -286.80408	 mu = 0.28680

