#xpositions	 ypositions
1.21401	 -0.17180
0.15821	 -0.97059
2.99812	 0.05059
1.25374	 -0.03255
0.15894	 0.36008
0.15842	 -0.20576
0.16443	 -0.15004
0.10706	 -0.19782
1.98817	 -0.01926
2.48253	 -0.15300
2.61112	 -0.10771
0.16011	 -0.37125
1.23919	 -0.02448
3.01165	 -0.06451
0.91737	 -0.14557
0.16007	 -0.93567
0.15971	 0.69371
2.82274	 0.12528
0.15973	 2.49805
0.15838	 0.99445
0.71405	 -0.08228
0.15765	 -0.47277
1.12091	 -0.06659
0.16148	 1.23146
0.15709	 -1.11381
0.15955	 0.51160
1.88711	 0.05033
0.15888	 -0.69213
3.12880	 0.14086
0.13521	 -0.02903
0.16072	 -1.25052
0.15738	 -0.55852
1.38795	 -0.01403
0.89618	 0.06136
1.28147	 0.04153
2.10797	 0.13166
0.16019	 -1.13855
1.25034	 0.03541
0.15904	 1.86427
0.67647	 0.13573
1.24319	 -0.21096
0.15762	 -0.57115
2.31077	 0.06553
2.57966	 -0.15649
1.18887	 0.07069
0.93832	 -0.03834
0.15791	 -1.65466
0.34181	 0.27906
0.15758	 -0.43192
0.64203	 -0.05407
0.15935	 -0.63904
0.16561	 0.24331
1.12149	 0.02482
0.15938	 1.14212
0.66585	 0.06440
0.15817	 0.64305
0.00460	 -0.07479
0.47590	 -0.02303
2.85427	 0.12311
1.89526	 0.16685
1.17472	 -0.05593
0.15851	 -1.03589
1.46256	 -0.31725
0.15706	 -2.62890
1.83731	 -0.13528
0.27706	 -0.05394
0.15882	 -2.00836
0.43646	 -0.11024
1.23019	 0.19546
0.16247	 -1.90462
0.40577	 0.22681
0.80269	 0.27040
0.15705	 -1.53263
0.15894	 2.42632
0.16180	 -0.52564
0.15785	 -1.40132
0.15895	 1.49080
2.55475	 0.00326
0.15764	 -1.83699
2.95937	 -0.02865
0.01639	 0.01147
0.69329	 -0.20371
0.15794	 1.92704
1.34078	 -0.14254
1.26807	 0.10256
2.31525	 0.17168
1.79527	 0.02102
0.16067	 -0.34219
0.16112	 -1.11096
0.15947	 2.01194
2.88177	 0.03455
1.69672	 -0.12701
2.85829	 -0.07106
2.63545	 -0.14296
2.58854	 -0.03248
1.78653	 -0.04321
1.80114	 -0.22735
0.15739	 -0.61846
0.15904	 -1.04321
0.15818	 -1.80047
0.62051	 0.09011
1.57978	 0.17892
0.15842	 -0.40278
1.20714	 -0.24501
2.30227	 0.08211
0.15764	 -0.69098
0.52241	 -0.03621
1.43095	 0.10455
0.15838	 0.89163
0.15703	 0.30583
1.47337	 0.00688
1.44289	 -0.15812
0.79319	 -0.03177
0.74064	 0.05160
0.44642	 -0.10125
1.56773	 -0.00218
0.16098	 -0.40441
0.85666	 0.24688
1.74661	 0.02166
0.83427	 -0.20177
0.15875	 1.54724
0.16129	 -0.50664
3.02885	 0.17744
0.16018	 -0.03273
2.78230	 0.07259
0.08303	 -0.16819
0.15879	 -1.02974
1.61404	 0.00247
2.71331	 -0.07312
0.16588	 2.64656
0.15843	 1.45473
0.82937	 -0.23261
0.85719	 0.05663
0.15996	 -0.47537
2.36420	 0.06465
0.39276	 0.04670
2.58122	 -0.11874
0.52596	 0.11226
1.18871	 -0.17092
0.15910	 0.29473
0.15915	 0.92060
0.15947	 -1.14168
2.50034	 0.05665
0.07172	 -0.08170
2.72907	 -0.11701
0.38938	 0.10748
1.63988	 -0.08209
1.15669	 0.16893
2.00157	 -0.06516
1.17038	 0.26655
1.68786	 0.11276
0.15883	 2.47599
0.33958	 -0.11173
2.79558	 0.15953
0.15937	 2.28679
3.10750	 -0.12667
0.15858	 0.35776
1.15935	 0.09691
0.15769	 -1.41817
0.15802	 -1.68524
0.82631	 -0.14386
0.15718	 0.45286
0.15975	 0.97204
0.15979	 -1.06349
0.00928	 -0.01726
0.15730	 -2.61358
1.30602	 -0.06067
2.21860	 -0.08834
0.15852	 0.72328
2.19158	 -0.04305
1.28973	 -0.04150
1.28852	 0.04132
0.15891	 -0.74480
0.15964	 -1.35738
2.40158	 0.09049
0.15975	 1.05497
1.72504	 0.02869
0.44213	 0.13745
0.16301	 0.87257
0.15920	 0.83965
0.96108	 0.12635
0.85241	 -0.21972
3.09073	 -0.05260
0.15942	 -0.47477
1.50347	 -0.08396
2.98463	 -0.03375
0.12767	 -0.00614
0.15966	 0.61619
1.16668	 -0.15004
2.95237	 -0.13679
0.75789	 -0.07172
0.15986	 0.52396
0.27545	 -0.17624
0.15815	 1.03193
0.15936	 -1.05537
0.54947	 -0.04132
2.36009	 -0.15438
1.89837	 -0.20195
0.77045	 -0.26125
1.25549	 -0.01549
