#xpositions	 ypositions
0.94112	 -0.00291
0.21825	 0.34995
0.59339	 -0.25589
0.60723	 0.07091
0.26224	 0.20961
0.53857	 0.38767
0.26214	 -0.64968
0.17235	 0.22749
0.26096	 -0.67308
0.55201	 -0.12050
0.18161	 -0.59473
0.51416	 0.42549
0.09141	 -0.71005
0.23528	 0.53767
0.24764	 -0.25898
0.55270	 -0.04195
0.60825	 0.12986
0.08615	 0.16886
0.30430	 -0.33473
0.25303	 0.18273
0.49198	 0.45929
0.11140	 -0.75077
0.58806	 0.38209
0.31584	 -0.53674
0.64888	 -0.03506
0.48198	 -0.32691
0.12073	 -0.62815
0.77409	 -0.12716
0.24082	 -0.04032
0.75572	 0.04504
0.55142	 0.34958
0.25824	 -0.14439
0.43774	 -0.06333
0.06376	 -0.43802
0.48011	 -0.27504
0.41234	 0.43159
0.14462	 0.62412
0.39248	 0.38163
0.64641	 -0.13954
0.05631	 -0.80911
0.14949	 0.76381
0.25304	 0.16790
0.09918	 -0.62604
0.57346	 0.32932
0.06699	 0.25138
0.36838	 0.48536
0.59689	 0.14106
0.08748	 -0.53936
0.67602	 0.26087
0.23326	 -0.69994
0.52265	 -0.21479
0.05170	 0.66300
0.27530	 0.10950
0.11092	 -0.81421
0.77053	 -0.15956
0.67541	 0.09217
0.49663	 -0.46471
0.21461	 -0.23371
0.06279	 0.38394
0.11075	 -0.39300
0.41556	 0.04316
0.44694	 -0.49392
0.07959	 0.03422
0.29409	 -0.09084
0.41571	 -0.36014
0.54485	 -0.16102
0.23436	 -0.67777
0.07349	 -0.03567
0.38569	 -0.38705
0.41138	 -0.51559
0.48725	 -0.03089
0.48536	 -0.21509
0.67144	 -0.28295
0.07061	 0.43118
0.75914	 0.05621
0.42794	 0.50106
0.23885	 0.60081
0.62853	 0.08079
0.74088	 0.10426
0.62624	 0.12806
0.44694	 0.06010
0.36276	 0.38461
0.77027	 0.03192
0.24647	 0.43289
0.11675	 0.56638
0.90356	 -0.01602
0.09183	 0.51996
0.74892	 0.16924
0.17862	 -0.44382
0.07604	 -0.14031
0.64157	 -0.24876
0.25006	 -0.65902
0.58653	 0.27756
0.43326	 -0.44259
0.07765	 0.80057
0.14655	 -0.53912
0.47119	 -0.02799
0.42700	 0.29261
0.03310	 -0.04192
0.51238	 -0.15074
