#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb	 abbdeff
0.399990	 0.1454	 0.36349	 0.3635	  0	 0
0.599990	 0.1471	 0.24509	 0.2451	  0	 0
0.799990	 0.1570	 0.19625	 0.1963	  0	 0
0.999990	 0.2197	 0.21970	 0.2197	  0	 0
1.199990	 0.2143	 0.17859	 0.1786	  0	 0
1.399990	 0.3162	 0.22586	 0.2259	  0	 0
1.599990	 0.3161	 0.19754	 0.1975	  0	 0
1.799990	 0.3765	 0.20919	 0.2092	  0	 0
1.999990	 0.3856	 0.19282	 0.1928	  0	 0
0.200000	 0.0254	 0.12696	 0.1270	  0	 0
0.400000	 0.0939	 0.23479	 0.2348	  0	 0
0.600000	 0.0840	 0.13995	 0.1399	  0	 0
0.800000	 0.1472	 0.18396	 0.1840	  0	 0
1.000000	 0.1767	 0.17673	 0.1767	  0	 0
1.200000	 0.2481	 0.20676	 0.2068	  0	 0
1.400000	 0.2772	 0.19799	 0.1980	  0	 0
1.600000	 0.3238	 0.20237	 0.2024	  0	 0
1.800000	 0.3897	 0.21649	 0.2165	  0	 0
2.000000	 0.4660	 0.23300	 0.2330	  0	 0
2.200000	 0.4938	 0.22444	 0.2244	  0	 0
2.400000	 0.5079	 0.21162	 0.2116	  0	 0
2.600000	 0.5887	 0.22641	 0.2264	  0	 0
2.800000	 0.5505	 0.19661	 0.1966	  0	 0
3.000000	 0.5862	 0.19539	 0.1954	  0	 0
3.200000	 0.5616	 0.17549	 0.1755	  0	 0
3.400000	 0.6674	 0.19630	 0.1963	  0	 0
3.600000	 0.6774	 0.18816	 0.1882	  0	 0
3.800000	 0.6984	 0.18380	 0.1838	  0	 0
4.000000	 0.7812	 0.19529	 0.1953	  0	 0
4.200000	 0.7743	 0.18437	 0.1844	  0	 0
4.400000	 0.8544	 0.19418	 0.1942	  0	 0
4.600000	 0.8309	 0.18062	 0.1806	  0	 0
4.800000	 0.9171	 0.19107	 0.1911	  0	 0
5.000000	 0.9463	 0.18926	 0.1893	  0	 0
5.200000	 0.9458	 0.18189	 0.1819	  0	 0
5.400000	 0.9860	 0.18260	 0.1826	  0	 0
5.600000	 0.9970	 0.17803	 0.1780	  0	 0
5.800000	 1.0562	 0.18211	 0.1821	  0	 0
6.000000	 1.0596	 0.17659	 0.1766	  0	 0
6.200000	 1.1156	 0.17994	 0.1799	  0	 0
6.400000	 1.1466	 0.17915	 0.1792	  0	 0
6.600000	 1.1939	 0.18090	 0.1809	  0	 0
6.800000	 1.1976	 0.17611	 0.1761	  0	 0
7.000000	 1.2477	 0.17824	 0.1782	  0	 0
7.200000	 1.2971	 0.18015	 0.1802	  0	 0
7.400000	 1.3332	 0.18017	 0.1802	  0	 0
7.600000	 1.3959	 0.18368	 0.1837	  0	 0
7.800000	 1.4917	 0.19125	 0.1912	  0	 0
8.000000	 1.5259	 0.19074	 0.1907	  0	 0
8.200000	 1.5672	 0.19113	 0.1911	  1	 1
8.400000	 1.5954	 0.18993	 0.1899	  2	 2
8.600000	 1.5834	 0.18412	 0.1841	  3	 3
8.800000	 1.6140	 0.18341	 0.1834	  4	 4
9.000000	 1.6351	 0.18168	 0.1817	  5	 5
9.200000	 1.6989	 0.18466	 0.1847	  6	 6
9.400000	 1.7449	 0.18563	 0.1856	  7	 7
9.600000	 1.7727	 0.18466	 0.1847	  8	 8
9.800000	 1.8020	 0.18388	 0.1839	  9	 9
10.000000	 1.8997	 0.18997	 0.1900	  10	 10
10.200000	 1.9434	 0.19053	 0.1905	  11	 11
10.400000	 1.9193	 0.18454	 0.1845	  12	 12
10.600000	 1.9369	 0.18273	 0.1827	  13	 13
10.800000	 1.9343	 0.17910	 0.1791	  14	 14
11.000000	 1.9402	 0.17638	 0.1764	  15	 15
11.200000	 1.9527	 0.17435	 0.1743	  16	 16
11.400000	 2.0472	 0.17958	 0.1796	  17	 17
11.600000	 2.1073	 0.18166	 0.1817	  18	 18
11.800000	 2.1361	 0.18103	 0.1810	  19	 19
12.000000	 2.1593	 0.17994	 0.1799	  20	 20


Average of all Threads:

meanx = 2.15929	 meanspeed = 0.17994	 mu = 0.17994

