#xpositions	 ypositions
0.82900	 0.14800
0.48617	 0.61158
0.08711	 0.51436
0.60686	 0.16604
0.87524	 -0.65407
0.72203	 0.27648
0.11502	 -0.62783
0.51408	 -0.60476
0.45744	 -0.52339
0.86066	 -0.52174
0.12834	 -0.94696
0.55901	 0.55597
0.80105	 -1.04706
0.80685	 0.15326
0.87811	 0.99420
0.82068	 -0.45188
0.14098	 -0.78016
0.81397	 -0.13946
0.53319	 0.70863
0.54282	 -0.05905
0.37333	 -0.41770
0.67656	 0.72298
0.63960	 -0.45065
0.65097	 -0.37867
0.84177	 -0.75000
0.35685	 -0.01479
0.75506	 0.22048
0.41132	 0.27849
0.08427	 -0.69570
0.42184	 0.55424
0.43524	 0.18974
0.71526	 0.49027
0.93010	 0.12501
0.69917	 0.87666
0.64512	 0.33858
0.33320	 -0.01983
0.85931	 0.27639
0.75950	 0.38953
0.58695	 0.40140
0.28956	 0.46759
0.53128	 -0.65286
0.83527	 -0.33972
0.32671	 0.75068
0.92675	 -0.08732
0.46232	 0.40290
0.59137	 -0.92211
0.05749	 -0.44757
0.65950	 0.67533
0.83765	 0.03543
0.50924	 0.45595
0.78113	 0.96071
0.27275	 -0.53222
0.75915	 -0.54287
0.35093	 0.47016
0.15442	 -0.16819
0.48689	 -0.85934
0.06908	 -0.18692
0.53351	 -0.97231
0.69453	 -0.34274
0.27287	 0.57814
0.58512	 0.25452
0.38105	 -0.40977
0.31327	 -0.22796
0.60043	 0.10723
0.13058	 -1.02296
0.86539	 0.19892
0.16183	 0.73316
0.72420	 -0.21442
0.23475	 -0.15929
0.30368	 -0.58459
0.71880	 1.01353
0.42032	 -0.58033
0.11187	 -0.90334
0.57720	 -0.81289
0.59920	 -0.35555
0.41182	 -0.04522
0.21019	 0.24432
0.63573	 0.93938
0.46768	 -0.63553
0.68641	 -0.89409
0.74273	 -0.06565
0.92214	 -0.68823
0.51889	 -0.51137
0.46916	 0.73151
0.41438	 0.51095
0.57728	 -0.91700
0.63463	 0.02984
0.34472	 0.70641
0.51809	 -0.02390
0.39655	 0.07797
0.19666	 -0.86072
0.76234	 0.22958
0.64223	 -0.51656
0.26085	 -0.38652
0.17351	 0.18650
0.42691	 -1.00884
0.73005	 -0.94850
0.77305	 -0.32030
0.32830	 -0.04994
0.72257	 0.11626
0.68721	 -0.86955
0.77742	 -0.64842
0.49006	 0.19138
0.58100	 -0.77674
0.46063	 0.91203
0.68433	 -0.71238
0.31931	 -0.63768
0.42231	 -0.21312
0.73008	 0.62279
0.50255	 -0.88231
0.47532	 0.28045
0.68780	 0.66995
0.91555	 -0.10095
0.51547	 -0.18322
0.40747	 0.95987
0.26813	 0.32571
0.48790	 0.23979
0.61846	 -0.50021
0.85024	 0.89009
0.43512	 0.08440
0.52642	 0.85516
0.52643	 0.31171
0.69158	 -0.42143
0.68843	 -0.65916
0.32758	 -0.45374
0.42465	 -0.37805
0.33808	 0.28242
0.82424	 -0.88250
0.89892	 0.55833
0.30284	 0.33386
0.13309	 -0.02471
0.87299	 -0.53263
0.40798	 -0.37366
0.82072	 -0.67887
0.76358	 0.48654
0.77151	 -0.33155
0.93533	 0.98287
0.18885	 0.74584
0.79803	 -0.72559
0.89566	 0.20595
0.12754	 1.02914
0.34013	 0.21901
0.71447	 0.24062
0.19879	 -0.43321
0.66097	 -0.89127
0.02878	 -0.02748
0.73519	 -0.58271
0.37217	 0.71971
0.28890	 -0.50551
0.39263	 0.80798
0.94068	 0.03323
0.38561	 -0.16311
0.11819	 -0.27082
0.38566	 -0.03870
0.85557	 -0.93030
0.27557	 0.00179
0.79786	 -0.18381
0.05414	 0.16458
0.66026	 -0.16567
0.49041	 0.31676
0.21166	 0.98872
0.29951	 0.79289
0.44069	 -0.08474
0.18098	 -0.70360
0.86444	 0.44593
0.77157	 -0.95730
0.33252	 -0.03027
0.76132	 -0.30549
0.53044	 -0.77922
0.70736	 0.38786
0.89946	 0.94953
0.81153	 -0.13372
0.54001	 -0.48363
0.39452	 -0.46335
0.27399	 0.10892
0.83867	 -0.98617
0.45096	 0.19420
0.92630	 -0.45177
0.44491	 -0.67700
0.64512	 0.89759
0.40953	 0.24086
0.77250	 -0.85749
0.35190	 -0.12049
0.85435	 -0.27183
0.81104	 -0.47575
0.89145	 -0.34444
0.45694	 0.15089
0.63374	 0.42539
0.07525	 0.00192
0.45361	 -0.45640
0.83003	 0.25911
0.65812	 -0.20739
0.30454	 0.90606
0.75605	 -0.91425
0.75134	 0.53716
0.15596	 -0.05336
0.19143	 0.26045
0.55638	 -0.29289
0.64954	 -0.62161
0.14616	 -0.30574
