#time	 tcoeff.meanx	 tcoeff.mu	 Meansqdist	  tcoeff.deff  	 abb	 abbdeff
0.000400	 0.3376	 0.84417	 0.1183	 2.73316	 0	 0
0.000800	 0.6347	 0.79351	 0.4171	 4.43180	 0	 0
0.001200	 0.9649	 0.80416	 0.9614	 6.31769	 0	 0
0.001600	 1.3518	 0.84494	 1.8668	 6.15701	 0	 0
0.002000	 1.7440	 0.87203	 3.0806	 4.89512	 0	 0
0.002400	 2.1407	 0.89199	 4.6248	 4.39677	 0	 0
0.002800	 2.5380	 0.90647	 6.4854	 3.91467	 0	 0
0.003200	 2.9282	 0.91510	 8.6183	 3.41547	 0	 0
0.003600	 3.3180	 0.92169	 11.0563	 3.28564	 0	 0
0.004000	 3.7119	 0.92799	 13.8277	 3.11421	 0	 0
0.000400	 0.5810	 1.45251	 0.4870	 93.41707	 0	 0
0.000800	 0.9768	 1.22097	 1.1081	 48.11268	 0	 0
0.001200	 1.3726	 1.14382	 2.0321	 30.85871	 0	 0
0.001600	 1.7661	 1.10378	 3.2687	 23.39453	 0	 0
0.002000	 2.1647	 1.08237	 4.8384	 19.03959	 0	 0
0.002400	 2.5581	 1.06586	 6.6918	 15.42275	 0	 0
0.002800	 2.9496	 1.05344	 8.8519	 13.53437	 0	 0
0.003200	 3.3455	 1.04547	 11.3438	 11.83428	 0	 0
0.003600	 3.7379	 1.03829	 14.1259	 10.71664	 0	 0
0.004000	 4.1304	 1.03260	 17.2184	 9.89291	 0	 0
0.004400	 4.5210	 1.02751	 20.5968	 8.92231	 0	 0
0.004800	 4.9132	 1.02359	 24.2996	 8.33136	 0	 0
0.005200	 5.3100	 1.02115	 28.3571	 7.75100	 0	 0
0.005600	 5.7054	 1.01882	 32.7183	 7.43463	 0	 0
0.006000	 6.1026	 1.01709	 37.4056	 6.84317	 0	 0
0.006400	 6.4963	 1.01504	 42.3649	 6.38570	 0	 0
0.006800	 6.8913	 1.01343	 47.6564	 6.11329	 0	 0
0.007200	 7.2891	 1.01237	 53.2962	 5.75493	 0	 0
0.007600	 7.6843	 1.01109	 59.2166	 5.53757	 0	 0
0.008000	 8.0812	 1.01015	 65.4781	 5.37415	 0	 0
0.008400	 8.4771	 1.00918	 72.0315	 5.08027	 0	 0
0.008800	 8.8662	 1.00752	 78.7807	 4.87434	 0	 0
0.009200	 9.2569	 1.00619	 85.8645	 4.71969	 0	 0
0.009600	 9.6474	 1.00494	 93.2481	 4.57628	 0	 0
0.010000	 10.0401	 1.00401	 100.9802	 4.41327	 0	 0
0.010400	 10.4356	 1.00343	 109.0760	 4.16991	 0	 0
0.010800	 10.8278	 1.00257	 117.4171	 4.07718	 0	 0
0.011200	 11.2241	 1.00215	 126.1568	 3.94030	 0	 0
0.011600	 11.6145	 1.00125	 135.0746	 3.85331	 0	 0
0.012000	 12.0132	 1.00110	 144.5004	 3.80696	 0	 0
0.012400	 12.4047	 1.00038	 154.0596	 3.68466	 0	 0
0.012800	 12.7949	 0.99960	 163.8905	 3.55203	 0	 0
0.013200	 13.1970	 0.99977	 174.3414	 3.41031	 0	 0
0.013600	 13.5848	 0.99888	 184.7263	 3.29562	 0	 0
0.014000	 13.9770	 0.99835	 195.5413	 3.31864	 0	 0
0.014400	 14.3694	 0.99787	 206.6600	 3.14470	 0	 0
0.014800	 14.7672	 0.99778	 218.2519	 3.07371	 0	 0
0.015200	 15.1614	 0.99746	 230.0483	 2.97215	 0	 0
0.015600	 15.5509	 0.99685	 242.0154	 2.95037	 0	 0
0.016000	 15.9437	 0.99648	 254.3920	 2.95151	 0	 0
0.016400	 16.3400	 0.99634	 267.1836	 2.88173	 1	 1
0.016800	 16.7326	 0.99599	 280.1703	 2.84617	 2	 2
0.017200	 17.1250	 0.99564	 293.4575	 2.77382	 3	 3
0.017600	 17.5190	 0.99540	 307.1050	 2.71492	 4	 4
0.018000	 17.9122	 0.99512	 321.0430	 2.72653	 5	 5
0.018400	 18.3019	 0.99467	 335.1563	 2.67133	 6	 6
0.018800	 18.6948	 0.99440	 349.6968	 2.68330	 7	 7
0.019200	 19.0859	 0.99406	 364.4752	 2.66172	 8	 8
0.019600	 19.4797	 0.99386	 379.6625	 2.60164	 9	 9
0.020000	 19.8776	 0.99388	 395.3270	 2.59240	 10	 10
0.020400	 20.2724	 0.99375	 411.1800	 2.55358	 11	 11
0.020800	 20.6697	 0.99374	 427.4469	 2.51073	 12	 12
0.021200	 21.0661	 0.99368	 443.9863	 2.43807	 13	 13
0.021600	 21.4692	 0.99394	 461.1366	 2.42586	 14	 14
0.022000	 21.8636	 0.99380	 478.2283	 2.41789	 15	 15
0.022400	 22.2504	 0.99332	 495.2906	 2.32325	 16	 16
0.022800	 22.6458	 0.99324	 513.0363	 2.23888	 17	 17
0.023200	 23.0415	 0.99317	 531.1134	 2.16696	 18	 18
0.023600	 23.4344	 0.99298	 549.3717	 2.13273	 19	 19
0.024000	 23.8249	 0.99270	 567.8299	 2.14376	 20	 20


Average of all Threads:

msd = 0.20580	 meanspd = 992.70265	 mu = 0.99270	 deff = 2.14376

