#time	 tcoeff.meanspd	  <x^3>-3<x^2><x>+2<x>^3
0.000400	 869.618683	 -0.00007
0.000800	 813.232206	 -0.00007
0.001200	 834.595909	 -0.00150
0.001600	 865.914159	 -0.00381
0.002000	 884.519812	 -0.00312
0.002400	 901.297062	 -0.00296
0.002800	 914.233798	 -0.00304
0.003200	 922.500901	 -0.00323
0.003600	 929.461592	 -0.00391
0.004000	 935.364170	 -0.00282
0.000400	 1226.158863	 0.01977
0.000800	 1102.840039	 0.02074
0.001200	 1060.514942	 0.01982
0.001600	 1040.196395	 0.02171
0.002000	 1029.466786	 0.02184
0.002400	 1020.790728	 0.01954
0.002800	 1015.974823	 0.01893
0.003200	 1012.967648	 0.01721
0.003600	 1009.586263	 0.01908
0.004000	 1006.880054	 0.01842
0.004400	 1004.724831	 0.01684
0.004800	 1003.250206	 0.02157
0.005200	 1001.221744	 0.01704
0.005600	 999.923077	 0.01949
0.006000	 998.535276	 0.02199
0.006400	 997.517976	 0.02126
0.006800	 996.507912	 0.02337
0.007200	 995.812269	 0.02131
0.007600	 994.653521	 0.02337
0.008000	 993.657286	 0.02142
0.008400	 992.996152	 0.02135
0.008800	 993.253470	 0.01925
0.009200	 992.864049	 0.01265
0.009600	 992.978106	 0.01426
0.010000	 992.341124	 0.01373
0.010400	 992.309610	 0.01408
0.010800	 992.391904	 0.01494
0.011200	 991.641903	 0.01468
0.011600	 991.727753	 0.01522
0.012000	 991.625398	 0.01802
0.012400	 991.525037	 0.01198
0.012800	 991.285848	 0.01241
0.013200	 991.201243	 0.01109
0.013600	 990.803500	 0.00995
0.014000	 990.509775	 0.00929
0.014400	 989.663968	 0.01103
0.014800	 989.614998	 0.01055
0.015200	 989.565677	 0.01091
0.015600	 989.072561	 0.01166
0.016000	 989.072337	 0.01460
0.016400	 989.203772	 0.01276
0.016800	 989.138690	 0.01102
0.017200	 988.655728	 0.01175
0.017600	 988.258225	 0.01003
0.018000	 988.125989	 0.01275
0.018400	 987.932746	 0.01127
0.018800	 987.764160	 0.01021
0.019200	 987.581062	 0.01377
0.019600	 987.477624	 0.01410
0.020000	 987.297615	 0.01541
0.020400	 986.913231	 0.00994
0.020800	 986.761227	 0.01039
0.021200	 986.615451	 0.01356
0.021600	 986.296057	 0.00726
0.022000	 986.289401	 0.00735
0.022400	 986.210311	 0.00888
0.022800	 986.084940	 0.00593
0.023200	 986.087509	 0.00489
0.023600	 986.121396	 0.00456
0.024000	 986.188562	 0.00685


Average of all Threads:

meanx = 23.66853	 meanxsqu = 560.44937	 mthree = 0.00685

