#xpositions	 ypositions
0.06837	 0.04378
0.25788	 0.03320
0.32043	 -0.01575
0.67403	 0.04674
0.39563	 -0.05921
0.92790	 -0.09393
0.65697	 0.12489
0.67800	 0.11476
0.45463	 0.04120
0.75222	 -0.02920
0.62377	 -0.08419
0.85026	 -0.07891
0.95992	 0.04334
0.58701	 -0.03525
0.51495	 -0.03597
0.81078	 0.01587
0.50267	 0.09525
0.61992	 -0.00076
0.01410	 0.04443
0.98775	 -0.04334
0.80673	 0.12873
0.54462	 -0.04048
0.59360	 0.02402
0.51087	 -0.09625
0.50516	 0.05398
0.49819	 0.07009
0.96300	 -0.06538
0.32011	 0.02061
0.96724	 -0.05944
0.89817	 -0.12026
0.89296	 0.00896
0.69186	 -0.11110
0.61932	 -0.04028
0.73201	 0.03506
0.94807	 -0.06010
0.57511	 0.06846
0.86543	 0.00678
0.39145	 -0.02420
0.56443	 -0.03603
0.08578	 -0.03883
0.44616	 -0.06364
0.34228	 -0.05111
0.70714	 -0.07484
0.77248	 0.05744
0.91534	 0.01154
0.59141	 0.02300
0.97566	 -0.05282
0.15421	 -0.00821
0.78967	 0.04687
0.30820	 -0.06448
0.78551	 -0.16573
0.46422	 0.04359
0.47075	 0.02267
0.92809	 -0.06867
0.25095	 -0.04246
0.45924	 0.02057
0.96328	 0.06417
0.98768	 -0.03584
0.31516	 0.08904
0.05289	 0.01547
0.87396	 -0.02831
0.21326	 -0.02054
0.47529	 0.01010
0.94491	 -0.05567
0.25425	 0.05096
0.01857	 0.00949
0.38158	 -0.04261
0.68977	 -0.00784
0.40030	 -0.02932
0.94303	 -0.03951
0.67179	 0.14516
0.66965	 0.13193
0.78219	 0.06753
0.68234	 0.00952
0.24845	 0.03659
0.76615	 0.06890
0.54897	 -0.03864
0.76736	 -0.03187
0.60194	 -0.03924
0.32308	 -0.03632
0.36531	 0.04476
0.62854	 -0.00487
0.65800	 -0.04400
0.59243	 0.02405
0.98054	 -0.05341
0.69709	 0.00917
0.51424	 -0.03033
0.56339	 0.01836
0.59477	 -0.10204
0.08129	 0.05547
0.25161	 -0.09305
0.30119	 0.00380
0.30502	 0.03648
0.56393	 -0.02479
0.24276	 -0.04168
0.78827	 0.11536
0.50839	 0.06373
0.56643	 -0.00168
0.09680	 -0.04976
0.03388	 0.03915
0.40697	 0.02536
0.95532	 0.01390
0.85889	 0.11678
0.86667	 0.00334
0.64773	 0.05291
0.14107	 -0.05539
0.06275	 -0.05263
0.98384	 0.05029
0.79635	 0.00314
0.42666	 -0.05785
0.91423	 0.05147
0.92165	 0.04872
0.89576	 0.04883
0.49459	 -0.02089
0.74693	 0.05634
0.34454	 -0.00835
0.42817	 -0.06012
0.48565	 0.02857
0.04073	 0.03691
0.66246	 -0.02186
0.56333	 0.01468
0.17590	 0.07590
0.54262	 -0.01294
0.96145	 0.06675
0.86053	 -0.01368
0.41269	 -0.03585
0.60836	 0.01339
0.74314	 -0.11332
0.08314	 0.05708
0.68861	 -0.03872
0.09792	 0.01694
0.58227	 -0.02806
0.00900	 0.01589
0.45010	 0.02566
0.47424	 0.06562
0.75417	 -0.02464
0.97238	 0.03131
0.64624	 0.04996
0.34568	 -0.05059
0.56204	 0.01292
0.23955	 -0.04031
0.96213	 -0.00598
0.14224	 -0.04280
0.84541	 -0.03495
0.04682	 0.03360
0.60517	 0.08090
0.54938	 0.00703
0.76599	 -0.00664
0.39206	 0.03541
0.82571	 0.01808
0.77322	 0.02866
0.57948	 0.02917
0.02785	 0.03708
0.82642	 -0.03722
0.54372	 -0.02349
0.21954	 -0.00608
0.61139	 -0.03267
0.31901	 0.00515
0.95592	 -0.03408
0.08754	 0.03529
0.50257	 0.02594
0.63516	 0.09273
0.66003	 -0.09348
0.47119	 0.03971
0.29624	 -0.04233
0.70238	 0.03319
0.82397	 -0.07693
0.88176	 -0.06529
0.33156	 0.01494
0.18861	 0.01155
0.73332	 -0.04283
0.53618	 0.01540
0.40594	 -0.05576
0.35148	 0.05161
0.20528	 0.06180
0.01483	 0.05087
0.30264	 0.00768
0.65702	 -0.03266
0.63431	 0.03364
0.81126	 0.04810
0.17755	 -0.05859
0.59487	 -0.01350
0.46421	 -0.09202
0.47462	 -0.01296
0.33490	 0.09303
0.66471	 0.08670
0.29365	 -0.01527
0.80794	 -0.03677
0.93659	 0.08606
0.78949	 -0.07955
0.05789	 0.04999
0.53508	 0.05480
0.43336	 0.00192
0.66198	 -0.06609
0.19929	 -0.05496
0.55863	 -0.01764
0.59809	 0.05024
0.19576	 -0.02261
0.55677	 -0.01301
0.14872	 -0.05527
