#xpositions	 ypositions
0.83907	 -0.05963
0.02408	 -0.06143
0.41757	 0.21978
0.45243	 0.04585
0.58543	 -0.06320
0.20458	 0.10032
0.10183	 -0.06827
0.96152	 -0.11220
0.48734	 0.08552
0.88631	 0.04333
0.58491	 0.02240
0.88085	 0.07229
0.46138	 -0.17751
0.70422	 -0.05260
0.98022	 0.13562
0.57201	 -0.02562
0.97085	 0.10957
0.26092	 -0.08363
0.95954	 -0.05303
0.66380	 0.06501
0.54276	 0.03894
0.36635	 -0.15121
0.49149	 -0.17667
0.05695	 -0.05992
0.43614	 0.02088
0.31119	 -0.20940
0.54837	 0.09656
0.65641	 0.00595
0.82902	 -0.05196
0.99712	 -0.12892
0.36190	 0.24653
0.94945	 0.09570
0.62189	 -0.03841
0.45445	 -0.12044
0.93610	 -0.05045
0.72457	 -0.02931
0.18111	 -0.17929
0.24736	 0.03436
0.26500	 -0.35390
0.50181	 -0.10893
0.96656	 0.06504
0.30589	 -0.29638
0.10246	 0.24636
0.36982	 -0.01754
0.15163	 -0.26973
0.50690	 -0.14319
0.41088	 -0.20972
0.62817	 0.06839
0.87527	 0.06325
0.47074	 0.18650
0.12498	 -0.02013
0.68837	 0.02009
0.31428	 0.05553
0.14367	 0.16259
0.99586	 -0.06251
0.13290	 -0.10575
0.25362	 -0.04296
0.35393	 -0.16441
0.55712	 -0.07084
0.30415	 -0.25345
0.30009	 0.11539
0.87658	 0.03330
0.39914	 -0.19556
0.41268	 0.26800
0.97018	 -0.07307
0.29119	 0.34461
0.21354	 -0.03917
0.75020	 -0.02306
0.49718	 0.04488
0.90014	 -0.06876
0.56401	 0.08119
0.35464	 -0.27242
0.55627	 -0.06321
0.83549	 0.05794
0.37010	 -0.08516
0.20461	 -0.18243
0.39347	 -0.10145
0.83891	 0.01782
0.37389	 0.23305
0.94494	 0.06380
0.99396	 -0.08011
0.66632	 0.00240
0.51013	 -0.15358
0.34780	 0.10817
0.17486	 -0.00138
0.89452	 -0.04347
0.24756	 0.04077
0.16368	 -0.15718
0.67598	 -0.02281
0.12690	 0.09590
0.26396	 0.33981
0.78651	 0.03500
0.99823	 0.05672
0.57260	 -0.10779
0.60227	 0.08152
0.23862	 0.15376
0.98834	 -0.12338
0.36447	 -0.06694
0.96603	 0.05358
0.71575	 -0.00568
0.00805	 -0.09778
0.49939	 -0.08721
0.12574	 0.27584
0.85395	 -0.04810
0.52772	 0.15731
0.17678	 0.14956
0.53513	 -0.05203
0.82160	 0.00369
0.25768	 0.34108
0.25047	 -0.24513
0.62561	 0.05438
0.84777	 -0.05160
0.22426	 -0.19908
0.60701	 -0.06361
0.45801	 -0.19445
0.34379	 0.20736
0.32109	 -0.32802
0.84247	 0.02567
0.99268	 0.12510
0.52611	 -0.04004
0.69760	 0.00876
0.47713	 0.19907
0.32666	 -0.18347
0.59277	 0.01632
0.50642	 -0.14219
0.07644	 0.06373
0.95683	 -0.12722
0.95840	 0.02893
0.64883	 -0.07200
0.76155	 -0.00041
0.37414	 -0.05312
0.22246	 0.21719
0.17058	 -0.01995
0.34642	 0.25491
0.83044	 0.02250
0.30259	 -0.33914
0.69190	 0.01514
0.17761	 -0.07496
0.07420	 0.02801
0.42365	 0.02416
0.17212	 0.06015
0.89504	 -0.03582
0.28342	 0.19029
0.41392	 0.19694
0.48393	 0.11308
0.57661	 -0.02862
0.31727	 0.15147
0.34789	 0.03010
0.75188	 -0.00353
0.38135	 -0.18659
0.03434	 0.15181
0.59349	 -0.03491
0.35148	 0.01180
0.78412	 0.01755
0.47617	 0.08397
0.42609	 -0.25423
0.61906	 -0.08136
0.87670	 -0.02637
0.34490	 0.13400
0.64975	 0.02813
0.42314	 -0.23590
0.82839	 0.01920
0.16005	 -0.02615
0.39770	 0.16420
0.05339	 0.03662
0.63174	 0.00739
0.33531	 -0.19064
0.32771	 -0.32836
0.31698	 -0.02708
0.39793	 0.09094
0.73468	 -0.01316
0.09991	 -0.10263
0.32837	 -0.33057
0.82699	 0.05331
0.34259	 0.01666
0.12408	 0.08186
0.35798	 -0.23608
0.45490	 -0.19805
0.44911	 0.06000
0.33945	 0.10429
0.45283	 -0.11231
0.63694	 0.00164
0.40755	 0.16954
0.79129	 0.02767
0.30270	 -0.08887
0.90708	 0.07457
0.05555	 0.02791
0.88107	 -0.03507
0.64796	 -0.06352
0.20442	 -0.16826
0.57264	 0.08202
0.98201	 -0.04844
0.85361	 0.03705
0.65218	 -0.02367
0.87829	 -0.08804
0.46294	 -0.00827
0.53186	 -0.13505
0.38691	 -0.28105
0.32346	 -0.03674
0.28802	 0.16081
0.47493	 -0.04878
0.96834	 -0.03900
0.02984	 0.04861
0.72784	 0.04323
0.87618	 0.07194
0.33257	 -0.18502
0.44388	 0.11464
