#time	 meanx: <x>	 meanxsquare: <x^2>	 Meansqdist: <x^2> - <x>^2	  deff: (<x^2> - <x>^2)/(2t)	 third cumulant: <x^3>-3<x^2><x>+2<x>^3
0.003327	 0.037092	 0.01260	 0.01122	 0.84326	 0.00014
0.006660	 0.071121	 0.02582	 0.02076	 0.77920	 0.00027
0.009993	 0.100457	 0.03884	 0.02875	 0.71917	 0.00106
0.013327	 0.123230	 0.05211	 0.03692	 0.69266	 0.00148
0.016660	 0.144314	 0.06547	 0.04464	 0.66989	 0.00227
0.019993	 0.170446	 0.07885	 0.04980	 0.62269	 0.00327
0.023327	 0.190109	 0.09048	 0.05434	 0.58240	 0.00342
0.026660	 0.205902	 0.10597	 0.06358	 0.59618	 0.00603
0.029993	 0.220756	 0.11975	 0.07102	 0.59194	 0.00806
0.033327	 0.243148	 0.13914	 0.08002	 0.60028	 0.01287
0.036660	 0.267570	 0.16201	 0.09042	 0.61660	 0.01818
0.039993	 0.289905	 0.18520	 0.10116	 0.63234	 0.02018
0.043327	 0.318879	 0.21460	 0.11292	 0.65154	 0.02673
0.046660	 0.338768	 0.24316	 0.12839	 0.68793	 0.03340
0.049993	 0.361805	 0.26708	 0.13618	 0.68099	 0.03775
0.003333	 0.022680	 0.01070	 0.01019	 0.76399	 0.00009
0.006667	 0.040317	 0.02079	 0.01917	 0.71883	 0.00063
0.010000	 0.065947	 0.03147	 0.02713	 0.67815	 0.00176
0.013333	 0.089989	 0.04650	 0.03841	 0.72013	 0.00302
0.016667	 0.109881	 0.05983	 0.04775	 0.71629	 0.00503
0.020000	 0.132405	 0.07254	 0.05501	 0.68762	 0.00697
0.023333	 0.157895	 0.08988	 0.06495	 0.69588	 0.00810
0.026667	 0.183106	 0.10655	 0.07302	 0.68457	 0.00745
0.030000	 0.209755	 0.13070	 0.08670	 0.72254	 0.00937
0.033333	 0.237486	 0.15544	 0.09904	 0.74281	 0.01183
0.036667	 0.260837	 0.17653	 0.10849	 0.73972	 0.01276
0.040000	 0.278616	 0.20104	 0.12342	 0.77135	 0.01639
0.043333	 0.305822	 0.22624	 0.13271	 0.76566	 0.01698
0.046667	 0.324098	 0.24781	 0.14277	 0.76485	 0.01802
0.050000	 0.344404	 0.26942	 0.15081	 0.75403	 0.02056
0.053333	 0.368302	 0.30048	 0.16484	 0.77267	 0.02112
0.056667	 0.390155	 0.33229	 0.18007	 0.79444	 0.02643
0.060000	 0.412101	 0.35635	 0.18653	 0.77720	 0.02798
0.063333	 0.437664	 0.39098	 0.19943	 0.78723	 0.03007
0.066667	 0.456781	 0.41757	 0.20892	 0.78346	 0.03138
0.070000	 0.476672	 0.44700	 0.21978	 0.78493	 0.03702
0.073333	 0.498407	 0.47929	 0.23088	 0.78710	 0.03666
0.076667	 0.528260	 0.51878	 0.23972	 0.78168	 0.03675
0.080000	 0.549864	 0.55124	 0.24889	 0.77778	 0.03684
0.083333	 0.571565	 0.58879	 0.26211	 0.78632	 0.04033
0.086667	 0.593723	 0.62939	 0.27688	 0.79871	 0.03744
0.090000	 0.619748	 0.67078	 0.28669	 0.79636	 0.03349
0.093333	 0.639253	 0.70236	 0.29372	 0.78674	 0.03861
0.096667	 0.667319	 0.74456	 0.29924	 0.77390	 0.03538
0.100000	 0.693357	 0.79475	 0.31401	 0.78502	 0.03638
0.103333	 0.717494	 0.84282	 0.32803	 0.79361	 0.03744
0.106667	 0.745636	 0.88538	 0.32941	 0.77204	 0.04271
0.110000	 0.769308	 0.93225	 0.34042	 0.77368	 0.04876
0.113333	 0.795376	 0.99087	 0.35825	 0.79026	 0.05660
0.116667	 0.819398	 1.04480	 0.37339	 0.80012	 0.05874
0.120000	 0.840583	 1.09466	 0.38808	 0.80849	 0.06111
0.123333	 0.866827	 1.15947	 0.40808	 0.82718	 0.06286
0.126667	 0.891369	 1.21957	 0.42503	 0.83888	 0.06338
0.130000	 0.918041	 1.28342	 0.44062	 0.84734	 0.07275
0.133333	 0.944999	 1.33798	 0.44496	 0.83429	 0.07387
0.136667	 0.966083	 1.38407	 0.45075	 0.82455	 0.06855
0.140000	 0.985833	 1.43761	 0.46574	 0.83168	 0.07021
0.143333	 1.003451	 1.48086	 0.47394	 0.82664	 0.08467
0.146667	 1.027655	 1.54084	 0.48477	 0.82631	 0.08406
0.150000	 1.056453	 1.61421	 0.49812	 0.83020	 0.08073
0.153333	 1.081055	 1.67768	 0.50901	 0.82990	 0.08004
0.156667	 1.107091	 1.74602	 0.52037	 0.83038	 0.06477
0.160000	 1.139820	 1.83017	 0.53098	 0.82966	 0.06212
0.163333	 1.161629	 1.89209	 0.54271	 0.83068	 0.07056
0.166667	 1.185367	 1.96500	 0.55990	 0.83985	 0.06569
0.170000	 1.210325	 2.03710	 0.57221	 0.84149	 0.06590
0.173333	 1.228902	 2.09465	 0.58445	 0.84296	 0.07339
0.176667	 1.252669	 2.16718	 0.59800	 0.84623	 0.07350
0.180000	 1.275901	 2.23646	 0.60853	 0.84518	 0.06871
0.183333	 1.299311	 2.31592	 0.62771	 0.85597	 0.07805
0.186667	 1.317003	 2.36801	 0.63352	 0.84846	 0.08664
0.190000	 1.342259	 2.45116	 0.64951	 0.85461	 0.08942
0.193333	 1.364255	 2.51767	 0.65648	 0.84890	 0.08663
0.196667	 1.387214	 2.59235	 0.66799	 0.84914	 0.08615
0.200000	 1.414629	 2.67856	 0.67739	 0.84673	 0.09344
0.203333	 1.443918	 2.77922	 0.69432	 0.85367	 0.08395
0.206667	 1.466709	 2.85895	 0.70772	 0.85611	 0.08902
0.210000	 1.493266	 2.94408	 0.71424	 0.85028	 0.09142
0.213333	 1.523992	 3.04669	 0.72414	 0.84860	 0.08962
0.216667	 1.548421	 3.12352	 0.72591	 0.83759	 0.09465
0.220000	 1.570507	 3.20514	 0.73865	 0.83937	 0.08750
0.223333	 1.598584	 3.31134	 0.75587	 0.84612	 0.09799
0.226667	 1.624471	 3.40807	 0.76916	 0.84834	 0.10607
0.230000	 1.647724	 3.49163	 0.77664	 0.84418	 0.07490
0.233333	 1.666772	 3.56528	 0.78716	 0.84338	 0.07303
0.236667	 1.690733	 3.65777	 0.79919	 0.84422	 0.07048
0.240000	 1.717346	 3.76205	 0.81278	 0.84664	 0.06496
0.243333	 1.744559	 3.86735	 0.82386	 0.84643	 0.06957
0.246667	 1.774493	 3.97306	 0.82424	 0.83538	 0.07097
0.250000	 1.796495	 4.05680	 0.82941	 0.82941	 0.06981
0.253333	 1.821074	 4.15970	 0.84338	 0.83229	 0.08038
0.256667	 1.846557	 4.27004	 0.86027	 0.83793	 0.07552
0.260000	 1.867663	 4.37085	 0.88269	 0.84874	 0.09687
0.263333	 1.888576	 4.45277	 0.88605	 0.84118	 0.08242
0.266667	 1.911466	 4.54426	 0.89056	 0.83490	 0.08679
0.270000	 1.933578	 4.63448	 0.89576	 0.82941	 0.10103
0.273333	 1.957818	 4.73848	 0.90543	 0.82813	 0.10368
0.276667	 1.989509	 4.87406	 0.91592	 0.82764	 0.11163
0.280000	 2.010539	 4.97163	 0.92936	 0.82979	 0.10978
0.283333	 2.037058	 5.08203	 0.93243	 0.82273	 0.11408
0.286667	 2.062300	 5.20374	 0.95066	 0.82907	 0.12215
0.290000	 2.089153	 5.32831	 0.96375	 0.83082	 0.09992
0.293333	 2.113754	 5.43841	 0.97046	 0.82710	 0.09263
0.296667	 2.136996	 5.55447	 0.98771	 0.83234	 0.09656
0.300000	 2.165367	 5.68369	 0.99487	 0.82906	 0.07990
0.303333	 2.191303	 5.81352	 1.01171	 0.83383	 0.08559
0.306667	 2.213040	 5.91530	 1.01776	 0.82969	 0.10103
0.310000	 2.243343	 6.05310	 1.02051	 0.82299	 0.08797
0.313333	 2.263437	 6.15841	 1.03526	 0.82601	 0.08312
0.316667	 2.283095	 6.25705	 1.04453	 0.82463	 0.07876
0.320000	 2.300848	 6.35240	 1.05850	 0.82696	 0.08997
0.323333	 2.327824	 6.47922	 1.06045	 0.81994	 0.06838
0.326667	 2.349719	 6.59364	 1.07247	 0.82076	 0.07876
0.330000	 2.375690	 6.72041	 1.07651	 0.81553	 0.09606
0.333333	 2.398761	 6.83672	 1.08267	 0.81200	 0.09305
