#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb
0.003327	 0.0371	 11.14997	 0.7433	  0
0.006660	 0.0711	 10.67877	 0.7119	  0
0.009993	 0.1005	 10.05245	 0.6702	  0
0.013327	 0.1232	 9.24688	 0.6165	  0
0.016660	 0.1443	 8.66229	 0.5775	  0
0.019993	 0.1704	 8.52516	 0.5683	  0
0.023327	 0.1901	 8.14985	 0.5433	  0
0.026660	 0.2059	 7.72326	 0.5149	  0
0.029993	 0.2208	 7.36016	 0.4907	  0
0.033327	 0.2431	 7.29589	 0.4864	  0
0.036660	 0.2676	 7.29869	 0.4866	  0
0.039993	 0.2899	 7.24884	 0.4833	  0
0.043327	 0.3189	 7.35987	 0.4907	  0
0.046660	 0.3388	 7.26036	 0.4840	  0
0.049993	 0.3618	 7.23707	 0.4825	  0
0.003333	 0.0227	 6.80408	 0.4536	  0
0.006667	 0.0403	 6.04761	 0.4032	  0
0.010000	 0.0659	 6.59469	 0.4396	  0
0.013333	 0.0900	 6.74914	 0.4499	  0
0.016667	 0.1099	 6.59286	 0.4395	  0
0.020000	 0.1324	 6.62026	 0.4414	  0
0.023333	 0.1579	 6.76693	 0.4511	  0
0.026667	 0.1831	 6.86646	 0.4578	  0
0.030000	 0.2098	 6.99184	 0.4661	  0
0.033333	 0.2375	 7.12457	 0.4750	  0
0.036667	 0.2608	 7.11375	 0.4742	  0
0.040000	 0.2786	 6.96539	 0.4644	  0
0.043333	 0.3058	 7.05743	 0.4705	  0
0.046667	 0.3241	 6.94496	 0.4630	  0
0.050000	 0.3444	 6.88808	 0.4592	  0
0.053333	 0.3683	 6.90567	 0.4604	  0
0.056667	 0.3902	 6.88510	 0.4590	  0
0.060000	 0.4121	 6.86835	 0.4579	  0
0.063333	 0.4377	 6.91048	 0.4607	  0
0.066667	 0.4568	 6.85171	 0.4568	  0
0.070000	 0.4767	 6.80959	 0.4540	  0
0.073333	 0.4984	 6.79646	 0.4531	  0
0.076667	 0.5283	 6.89035	 0.4594	  0
0.080000	 0.5499	 6.87330	 0.4582	  0
0.083333	 0.5716	 6.85878	 0.4573	  0
0.086667	 0.5937	 6.85065	 0.4567	  0
0.090000	 0.6197	 6.88609	 0.4591	  0
0.093333	 0.6393	 6.84914	 0.4566	  0
0.096667	 0.6673	 6.90330	 0.4602	  0
0.100000	 0.6934	 6.93357	 0.4622	  0
0.103333	 0.7175	 6.94350	 0.4629	  0
0.106667	 0.7456	 6.99034	 0.4660	  0
0.110000	 0.7693	 6.99371	 0.4662	  0
0.113333	 0.7954	 7.01802	 0.4679	  0
0.116667	 0.8194	 7.02341	 0.4682	  0
0.120000	 0.8406	 7.00486	 0.4670	  0
0.123333	 0.8668	 7.02833	 0.4686	  0
0.126667	 0.8914	 7.03712	 0.4691	  0
0.130000	 0.9180	 7.06186	 0.4708	  0
0.133333	 0.9450	 7.08749	 0.4725	  0
0.136667	 0.9661	 7.06890	 0.4713	  0
0.140000	 0.9858	 7.04166	 0.4694	  0
0.143333	 1.0035	 7.00082	 0.4667	  0
0.146667	 1.0277	 7.00674	 0.4671	  0
0.150000	 1.0565	 7.04302	 0.4695	  0
0.153333	 1.0811	 7.05036	 0.4700	  0
0.156667	 1.1071	 7.06654	 0.4711	  0
0.160000	 1.1398	 7.12387	 0.4749	  0
0.163333	 1.1616	 7.11202	 0.4741	  0
0.166667	 1.1854	 7.11220	 0.4741	  0
0.170000	 1.2103	 7.11956	 0.4746	  0
0.173333	 1.2289	 7.08982	 0.4727	  0
0.176667	 1.2527	 7.09058	 0.4727	  0
0.180000	 1.2759	 7.08834	 0.4726	  0
0.183333	 1.2993	 7.08715	 0.4725	  0
0.186667	 1.3170	 7.05537	 0.4704	  0
0.190000	 1.3423	 7.06452	 0.4710	  0
0.193333	 1.3643	 7.05649	 0.4704	  0
0.196667	 1.3872	 7.05363	 0.4702	  0
0.200000	 1.4146	 7.07315	 0.4715	  0
0.203333	 1.4439	 7.10124	 0.4734	  0
0.206667	 1.4667	 7.09698	 0.4731	  0
0.210000	 1.4933	 7.11079	 0.4741	  0
0.213333	 1.5240	 7.14371	 0.4762	  0
0.216667	 1.5484	 7.14656	 0.4764	  0
0.220000	 1.5705	 7.13867	 0.4759	  0
0.223333	 1.5986	 7.15784	 0.4772	  0
0.226667	 1.6245	 7.16678	 0.4778	  0
0.230000	 1.6477	 7.16402	 0.4776	  0
0.233333	 1.6668	 7.14331	 0.4762	  0
0.236667	 1.6907	 7.14394	 0.4763	  0
0.240000	 1.7173	 7.15561	 0.4770	  0
0.243333	 1.7446	 7.16942	 0.4780	  0
0.246667	 1.7745	 7.19389	 0.4796	  0
0.250000	 1.7965	 7.18598	 0.4791	  0
0.253333	 1.8211	 7.18845	 0.4792	  0
0.256667	 1.8466	 7.19438	 0.4796	  0
0.260000	 1.8677	 7.18332	 0.4789	  0
