#xpositions	 ypositions
0.82324	 -0.35370
0.47229	 -0.07281
0.91611	 -0.88977
0.80221	 -0.23552
0.83758	 -0.13511
0.35849	 0.16552
0.51056	 -0.25967
0.79995	 -0.97157
0.92651	 0.96429
0.81775	 -0.23297
0.93606	 0.57303
0.83096	 -0.22849
0.62693	 0.26787
0.50626	 0.78587
0.90427	 0.97217
0.08863	 0.06220
0.88378	 0.90534
0.91928	 0.40671
0.92310	 -0.89713
0.92780	 0.80915
0.89579	 0.99987
0.94003	 -0.27526
0.90891	 -0.76462
0.79785	 0.53166
0.45258	 0.80811
0.47101	 0.33086
0.46233	 0.10504
0.91280	 0.79323
0.89442	 -0.22112
0.91162	 -0.91739
0.88467	 0.86111
0.71865	 0.25673
0.21204	 -0.09015
0.91432	 -0.93392
0.77542	 0.53146
0.90042	 -0.95638
0.42933	 -0.00546
0.94029	 0.96774
0.91548	 -0.76268
0.89720	 0.55810
0.89688	 -0.82867
0.84385	 -0.46169
0.91659	 0.59277
0.91916	 0.40735
0.71674	 -0.66762
0.83847	 0.87503
0.94192	 0.78800
0.92791	 0.22728
0.94642	 -0.58545
0.82910	 -0.84495
0.75795	 0.81093
0.59201	 -0.11852
0.85917	 0.35311
0.93077	 0.72132
0.94397	 -0.61027
0.90089	 0.10414
0.91976	 -0.34922
0.76910	 -0.67086
0.90120	 -0.47462
0.85015	 -0.90055
0.14259	 -0.11724
0.94134	 0.10445
0.90801	 -0.47289
0.94677	 -0.09164
0.46542	 0.18115
0.83344	 -0.74998
0.94035	 -0.85808
0.94294	 0.49934
0.72944	 -0.79663
0.65971	 0.54513
0.84443	 -0.88500
0.81586	 1.02748
0.87273	 0.05288
0.65855	 0.72542
0.37606	 0.16174
0.82415	 0.30625
0.65671	 -0.72328
0.84263	 -0.89932
0.92735	 -0.82663
0.93179	 0.24668
0.91444	 -0.62970
0.93680	 0.71049
0.94973	 0.87903
0.85645	 0.15458
0.94044	 -1.03848
0.69129	 -0.06964
0.93196	 0.19645
0.78704	 0.84225
0.12016	 -0.05055
0.75776	 -1.03841
0.92141	 0.15493
0.93819	 -0.05902
0.93273	 0.99138
0.71471	 -0.73802
0.76609	 -0.44553
0.89055	 -0.45881
0.29921	 -0.16716
0.63897	 0.57531
0.94024	 0.62578
0.75849	 -0.28342
0.94554	 -1.03243
0.80401	 -0.51100
0.90633	 0.40382
0.77395	 0.93701
0.87548	 -0.64052
0.76447	 0.50676
0.79877	 -0.45708
0.94624	 -0.85905
0.92339	 -0.69530
0.94129	 0.38067
0.87102	 -0.78749
0.83881	 -0.08774
0.85122	 0.82603
0.85450	 -0.31382
0.75327	 -0.99439
0.92887	 0.36800
0.93961	 0.25453
0.64386	 -0.68721
0.80181	 0.40533
0.81462	 0.74803
0.68414	 0.82992
0.91777	 -0.48621
0.59202	 -0.21240
0.94046	 -0.26537
0.82538	 -1.00721
0.82224	 -0.46473
0.87380	 0.65502
0.92502	 0.56099
0.93639	 0.99265
0.13543	 -0.08830
0.88756	 -0.40688
0.86939	 0.60311
0.92945	 0.30050
0.78505	 0.41873
0.92645	 -0.71056
0.05371	 -0.06128
0.89553	 -0.59865
0.72840	 0.82865
0.85802	 0.93259
0.80949	 0.37704
0.72179	 0.14336
0.30427	 0.04662
0.92932	 0.81513
0.82240	 0.52558
0.63384	 -0.19979
0.63386	 0.11801
0.89136	 0.41575
0.86624	 -0.98787
0.82263	 -0.47988
0.88583	 -0.36421
0.85858	 0.35761
0.54545	 0.20511
0.78290	 0.26494
0.86963	 -0.53544
0.86967	 0.71416
0.03837	 0.02339
0.82606	 -0.47281
0.69500	 -0.34726
0.52978	 -0.03037
0.93704	 0.18824
0.94117	 0.38743
0.91727	 -0.20196
0.81323	 -0.71840
0.85681	 -0.47083
0.72521	 -0.54708
0.41999	 0.30955
0.79268	 -0.20471
0.16885	 0.20538
0.91711	 -1.01719
0.91590	 0.97071
0.76659	 -0.22808
0.99386	 0.01818
0.88413	 0.19142
0.78779	 1.01414
0.68630	 -0.02589
0.93145	 0.98955
0.76460	 -0.03435
0.85059	 -0.08881
0.93574	 -0.49597
0.73276	 -1.03968
0.80050	 0.56780
0.93987	 0.81589
0.93959	 -1.01198
0.85711	 -0.89870
0.86190	 0.30689
0.76628	 0.56010
0.26532	 0.11374
0.79046	 0.30611
0.88756	 -0.73772
0.91422	 -0.30073
0.93337	 0.36375
0.77452	 0.09614
0.81010	 0.99580
0.87103	 -0.21586
0.46019	 -0.22087
0.75221	 -0.46258
0.94449	 -0.20438
0.85778	 -1.03230
0.75906	 0.73502
0.90409	 0.73768
0.70417	 0.95787
0.85907	 0.27391
0.89913	 -0.57493
0.82476	 0.64574
0.82145	 -0.12898
0.90843	 0.22259
0.63174	 -0.14041
0.83963	 -0.20690
0.78832	 0.18403
0.93262	 0.73959
0.91297	 1.03132
0.90958	 0.65680
0.90112	 -0.03631
