#time	 meanx: <x>	 meanxsquare: <x^2>	 Meansqdist: <x^2> - <x>^2	  deff: (<x^2> - <x>^2)/(2t)	 third cumulant: <x^3>-3<x^2><x>+2<x>^3
0.001247	 0.048080	 0.00724	 0.00493	 0.98764	 0.00001
0.002497	 0.098362	 0.01912	 0.00944	 0.94499	 0.00006
0.003747	 0.148332	 0.03593	 0.01392	 0.92888	 -0.00013
0.004997	 0.200283	 0.05745	 0.01733	 0.86704	 -0.00034
0.006247	 0.245500	 0.08229	 0.02202	 0.88108	 -0.00044
0.007497	 0.285373	 0.10749	 0.02605	 0.86873	 -0.00038
0.008748	 0.323833	 0.13386	 0.02899	 0.82861	 -0.00031
0.009998	 0.358163	 0.15981	 0.03153	 0.78854	 -0.00012
0.011248	 0.392884	 0.18709	 0.03273	 0.72753	 0.00006
0.012498	 0.419078	 0.20922	 0.03359	 0.67201	 0.00039
0.013748	 0.443622	 0.23156	 0.03476	 0.63208	 0.00112
0.014998	 0.468146	 0.25558	 0.03642	 0.60708	 0.00170
0.016248	 0.488787	 0.27809	 0.03918	 0.60283	 0.00237
0.017498	 0.506432	 0.29911	 0.04264	 0.60918	 0.00318
0.018748	 0.523232	 0.31830	 0.04453	 0.59377	 0.00385
0.001250	 0.015050	 0.00380	 0.00358	 0.71552	 0.00011
0.002500	 0.028512	 0.00728	 0.00647	 0.64681	 0.00044
0.003750	 0.042371	 0.01124	 0.00945	 0.62986	 0.00089
0.005000	 0.055988	 0.01684	 0.01370	 0.68504	 0.00162
0.006250	 0.066847	 0.02223	 0.01776	 0.71050	 0.00281
0.007500	 0.077780	 0.02805	 0.02200	 0.73331	 0.00383
0.008750	 0.088449	 0.03552	 0.02769	 0.79120	 0.00582
0.010000	 0.098697	 0.04248	 0.03274	 0.81856	 0.00828
0.011250	 0.108888	 0.04990	 0.03804	 0.84542	 0.01034
0.012500	 0.118254	 0.05879	 0.04481	 0.89612	 0.01363
0.013750	 0.126384	 0.06619	 0.05022	 0.91305	 0.01596
0.015000	 0.138606	 0.07678	 0.05757	 0.95942	 0.01931
0.016250	 0.149429	 0.08683	 0.06450	 0.99225	 0.02287
0.017500	 0.159350	 0.09618	 0.07078	 1.01120	 0.02659
0.018750	 0.171122	 0.11010	 0.08082	 1.07763	 0.03258
0.020000	 0.183808	 0.12481	 0.09102	 1.13775	 0.03913
0.021250	 0.192642	 0.13522	 0.09811	 1.15427	 0.04395
0.022500	 0.200981	 0.14495	 0.10455	 1.16170	 0.04829
0.023750	 0.211346	 0.15855	 0.11388	 1.19875	 0.05415
0.025000	 0.223158	 0.17357	 0.12377	 1.23766	 0.06038
0.026250	 0.230627	 0.18554	 0.13236	 1.26053	 0.06676
0.027500	 0.241725	 0.20168	 0.14325	 1.30223	 0.07386
0.028750	 0.250953	 0.21480	 0.15183	 1.32023	 0.08112
0.030000	 0.257667	 0.22593	 0.15954	 1.32946	 0.08673
0.031250	 0.267655	 0.24174	 0.17010	 1.36080	 0.09530
0.032500	 0.277360	 0.25861	 0.18168	 1.39752	 0.10442
0.033750	 0.287724	 0.27585	 0.19307	 1.43013	 0.11306
0.035000	 0.298682	 0.29419	 0.20498	 1.46412	 0.12289
0.036250	 0.306537	 0.30689	 0.21293	 1.46846	 0.13000
0.037500	 0.316878	 0.32379	 0.22338	 1.48918	 0.13871
0.038750	 0.327170	 0.33991	 0.23287	 1.50241	 0.14774
0.040000	 0.336374	 0.35996	 0.24681	 1.54256	 0.15933
0.041250	 0.343369	 0.37713	 0.25923	 1.57109	 0.17012
0.042500	 0.352706	 0.39095	 0.26655	 1.56792	 0.17697
0.043750	 0.364110	 0.41036	 0.27778	 1.58734	 0.18626
0.045000	 0.374103	 0.43459	 0.29464	 1.63689	 0.20020
0.046250	 0.386066	 0.46040	 0.31135	 1.68297	 0.21937
0.047500	 0.397040	 0.48133	 0.32369	 1.70365	 0.23473
0.048750	 0.405007	 0.50183	 0.33780	 1.73232	 0.25181
0.050000	 0.412963	 0.52385	 0.35331	 1.76653	 0.27080
0.051250	 0.423008	 0.54698	 0.36804	 1.79532	 0.28795
0.052500	 0.432581	 0.56470	 0.37757	 1.79795	 0.29938
0.053750	 0.442455	 0.58379	 0.38802	 1.80475	 0.30829
0.055000	 0.451962	 0.60329	 0.39902	 1.81373	 0.31747
0.056250	 0.458211	 0.62351	 0.41356	 1.83803	 0.33231
0.057500	 0.468116	 0.64521	 0.42607	 1.85249	 0.34510
0.058750	 0.475288	 0.66886	 0.44296	 1.88493	 0.36709
0.060000	 0.485676	 0.69145	 0.45557	 1.89822	 0.38014
0.061250	 0.496456	 0.71644	 0.46997	 1.91823	 0.39982
0.062500	 0.503949	 0.73568	 0.48171	 1.92684	 0.41747
0.063750	 0.518152	 0.76333	 0.49485	 1.94060	 0.43264
0.065000	 0.523512	 0.78229	 0.50822	 1.95471	 0.44744
0.066250	 0.531417	 0.80239	 0.51999	 1.96221	 0.46037
0.067500	 0.537459	 0.82477	 0.53590	 1.98483	 0.47659
0.068750	 0.549486	 0.85372	 0.55178	 2.00647	 0.49705
0.070000	 0.560939	 0.88378	 0.56913	 2.03260	 0.51620
0.071250	 0.569876	 0.90986	 0.58510	 2.05298	 0.53885
0.072500	 0.582586	 0.93640	 0.59699	 2.05859	 0.55380
0.073750	 0.589125	 0.95556	 0.60850	 2.06270	 0.57231
0.075000	 0.599651	 0.98378	 0.62420	 2.08067	 0.59060
0.076250	 0.608604	 1.00821	 0.63781	 2.09120	 0.60589
0.077500	 0.619964	 1.03713	 0.65278	 2.10573	 0.62272
0.078750	 0.626293	 1.06416	 0.67192	 2.13308	 0.65481
0.080000	 0.634340	 1.09601	 0.69362	 2.16756	 0.69108
0.081250	 0.647516	 1.12068	 0.70140	 2.15817	 0.69673
0.082500	 0.658552	 1.14979	 0.71610	 2.16999	 0.71465
0.083750	 0.672097	 1.18297	 0.73126	 2.18286	 0.73289
0.085000	 0.681502	 1.21397	 0.74953	 2.20449	 0.76137
0.086250	 0.692282	 1.24484	 0.76559	 2.21909	 0.77660
0.087500	 0.702977	 1.27924	 0.78506	 2.24304	 0.81004
0.088750	 0.711384	 1.30679	 0.80072	 2.25556	 0.82840
0.090000	 0.721586	 1.34137	 0.82069	 2.27968	 0.85986
0.091250	 0.734367	 1.38639	 0.84709	 2.32081	 0.89935
0.092500	 0.743463	 1.40918	 0.85644	 2.31472	 0.90696
0.093750	 0.753804	 1.44394	 0.87572	 2.33526	 0.92445
0.095000	 0.765047	 1.47358	 0.88829	 2.33759	 0.95504
0.096250	 0.774508	 1.50424	 0.90437	 2.34903	 0.97330
0.097500	 0.782468	 1.53289	 0.92064	 2.36061	 1.00138
0.098750	 0.793386	 1.56909	 0.93963	 2.37881	 1.02060
0.100000	 0.805475	 1.60502	 0.95623	 2.39058	 1.03613
0.101250	 0.816249	 1.63703	 0.97077	 2.39696	 1.04976
0.102500	 0.824686	 1.66542	 0.98532	 2.40321	 1.07242
0.103750	 0.833240	 1.69100	 0.99671	 2.40170	 1.08039
0.105000	 0.842772	 1.72107	 1.01080	 2.40668	 1.08809
0.106250	 0.854798	 1.75964	 1.02896	 2.42107	 1.11909
0.107500	 0.861582	 1.78996	 1.04763	 2.43636	 1.13800
0.108750	 0.869913	 1.81917	 1.06242	 2.44235	 1.16338
0.110000	 0.881597	 1.85230	 1.07509	 2.44338	 1.18107
0.111250	 0.890505	 1.88526	 1.09226	 2.45451	 1.20671
0.112500	 0.902064	 1.92629	 1.11257	 2.47239	 1.23777
