#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb
0.001247	 0.0481	 38.54086	 0.9635	  0
0.002497	 0.0984	 39.38416	 0.9846	  0
0.003747	 0.1483	 39.58158	 0.9895	  0
0.004997	 0.2003	 40.07656	 1.0019	  0
0.006247	 0.2455	 39.29568	 0.9824	  0
0.007497	 0.2854	 38.06243	 0.9516	  0
0.008748	 0.3238	 37.02011	 0.9255	  0
0.009998	 0.3582	 35.82522	 0.8956	  0
0.011248	 0.3929	 34.93077	 0.8733	  0
0.012498	 0.4191	 33.53294	 0.8383	  0
0.013748	 0.4436	 32.26930	 0.8067	  0
0.014998	 0.4681	 31.21492	 0.7804	  0
0.016248	 0.4888	 30.08382	 0.7521	  0
0.017498	 0.5064	 28.94310	 0.7236	  0
0.018748	 0.5232	 27.90941	 0.6977	  0
0.001250	 0.0150	 12.03999	 0.3010	  0
0.002500	 0.0285	 11.40499	 0.2851	  0
0.003750	 0.0424	 11.29881	 0.2825	  0
0.005000	 0.0560	 11.19755	 0.2799	  0
0.006250	 0.0668	 10.69547	 0.2674	  0
0.007500	 0.0778	 10.37071	 0.2593	  0
0.008750	 0.0884	 10.10850	 0.2527	  0
0.010000	 0.0987	 9.86975	 0.2467	  0
0.011250	 0.1089	 9.67895	 0.2420	  0
0.012500	 0.1183	 9.46028	 0.2365	  0
0.013750	 0.1264	 9.19156	 0.2298	  0
0.015000	 0.1386	 9.24038	 0.2310	  0
0.016250	 0.1494	 9.19564	 0.2299	  0
0.017500	 0.1593	 9.10570	 0.2276	  0
0.018750	 0.1711	 9.12649	 0.2282	  0
0.020000	 0.1838	 9.19041	 0.2298	  0
0.021250	 0.1926	 9.06552	 0.2266	  0
0.022500	 0.2010	 8.93250	 0.2233	  0
0.023750	 0.2113	 8.89877	 0.2225	  0
0.025000	 0.2232	 8.92633	 0.2232	  0
0.026250	 0.2306	 8.78579	 0.2196	  0
0.027500	 0.2417	 8.79000	 0.2198	  0
0.028750	 0.2510	 8.72880	 0.2182	  0
0.030000	 0.2577	 8.58892	 0.2147	  0
0.031250	 0.2677	 8.56496	 0.2141	  0
0.032500	 0.2774	 8.53417	 0.2134	  0
0.033750	 0.2877	 8.52515	 0.2131	  0
0.035000	 0.2987	 8.53376	 0.2133	  0
0.036250	 0.3065	 8.45620	 0.2114	  0
0.037500	 0.3169	 8.45009	 0.2113	  0
0.038750	 0.3272	 8.44311	 0.2111	  0
0.040000	 0.3364	 8.40935	 0.2102	  0
0.041250	 0.3434	 8.32410	 0.2081	  0
0.042500	 0.3527	 8.29897	 0.2075	  0
0.043750	 0.3641	 8.32251	 0.2081	  0
0.045000	 0.3741	 8.31340	 0.2078	  0
0.046250	 0.3861	 8.34738	 0.2087	  0
0.047500	 0.3970	 8.35875	 0.2090	  0
0.048750	 0.4050	 8.30783	 0.2077	  0
0.050000	 0.4130	 8.25926	 0.2065	  0
0.051250	 0.4230	 8.25382	 0.2063	  0
0.052500	 0.4326	 8.23964	 0.2060	  0
0.053750	 0.4425	 8.23173	 0.2058	  0
0.055000	 0.4520	 8.21749	 0.2054	  0
0.056250	 0.4582	 8.14598	 0.2036	  0
0.057500	 0.4681	 8.14114	 0.2035	  0
0.058750	 0.4753	 8.09002	 0.2023	  0
0.060000	 0.4857	 8.09461	 0.2024	  0
0.061250	 0.4965	 8.10541	 0.2026	  0
0.062500	 0.5039	 8.06318	 0.2016	  0
0.063750	 0.5182	 8.12788	 0.2032	  0
0.065000	 0.5235	 8.05403	 0.2014	  0
0.066250	 0.5314	 8.02139	 0.2005	  0
0.067500	 0.5375	 7.96235	 0.1991	  0
0.068750	 0.5495	 7.99252	 0.1998	  0
0.070000	 0.5609	 8.01342	 0.2003	  0
0.071250	 0.5699	 7.99827	 0.2000	  0
0.072500	 0.5826	 8.03567	 0.2009	  0
0.073750	 0.5891	 7.98813	 0.1997	  0
0.075000	 0.5997	 7.99534	 0.1999	  0
0.076250	 0.6086	 7.98169	 0.1995	  0
0.077500	 0.6200	 7.99953	 0.2000	  0
0.078750	 0.6263	 7.95293	 0.1988	  0
0.080000	 0.6343	 7.92925	 0.1982	  0
0.081250	 0.6475	 7.96942	 0.1992	  0
0.082500	 0.6586	 7.98245	 0.1996	  0
0.083750	 0.6721	 8.02504	 0.2006	  0
0.085000	 0.6815	 8.01768	 0.2004	  0
0.086250	 0.6923	 8.02646	 0.2007	  0
0.087500	 0.7030	 8.03403	 0.2009	  0
0.088750	 0.7114	 8.01560	 0.2004	  0
0.090000	 0.7216	 8.01763	 0.2004	  0
0.091250	 0.7344	 8.04786	 0.2012	  0
0.092500	 0.7435	 8.03744	 0.2009	  0
0.093750	 0.7538	 8.04058	 0.2010	  0
0.095000	 0.7650	 8.05312	 0.2013	  0
0.096250	 0.7745	 8.04683	 0.2012	  0
0.097500	 0.7825	 8.02531	 0.2006	  0
0.098750	 0.7934	 8.03429	 0.2009	  0
0.100000	 0.8055	 8.05475	 0.2014	  0
0.101250	 0.8162	 8.06172	 0.2015	  0
0.102500	 0.8247	 8.04572	 0.2011	  0
0.103750	 0.8332	 8.03123	 0.2008	  0
0.105000	 0.8428	 8.02640	 0.2007	  0
0.106250	 0.8548	 8.04516	 0.2011	  0
0.107500	 0.8616	 8.01472	 0.2004	  1
0.108750	 0.8699	 7.99920	 0.2000	  2
0.110000	 0.8816	 8.01452	 0.2004	  3
0.111250	 0.8905	 8.00454	 0.2001	  4
0.112500	 0.9021	 8.01835	 0.2005	  5
0.113750	 0.9131	 8.02700	 0.2007	  6
0.115000	 0.9246	 8.03968	 0.2010	  7
0.116250	 0.9318	 8.01577	 0.2004	  8
0.117500	 0.9454	 8.04601	 0.2012	  9
0.118750	 0.9569	 8.05852	 0.2015	  10
0.120000	 0.9663	 8.05277	 0.2013	  11
0.121250	 0.9792	 8.07609	 0.2019	  12
0.122500	 0.9907	 8.08744	 0.2022	  13
0.123750	 1.0020	 8.09706	 0.2024	  14
0.125000	 1.0095	 8.07587	 0.2019	  15
0.126250	 1.0209	 8.08632	 0.2022	  16
0.127500	 1.0306	 8.08322	 0.2021	  17
0.128750	 1.0402	 8.07929	 0.2020	  18
0.130000	 1.0520	 8.09200	 0.2023	  19
0.131250	 1.0640	 8.10681	 0.2027	  20


Average of all Threads:

meanx = 1.06402	 meanspeed = 8.10681	 mu = 0.20267

