#xpositions	 ypositions
0.72037	 0.06540
0.81215	 0.17195
0.30575	 -0.57902
0.72653	 0.22706
0.37539	 0.42908
0.84688	 0.08773
0.75120	 0.23486
0.24387	 0.05511
0.15137	 -0.06281
0.84145	 -0.07414
0.83143	 -0.17121
0.87315	 0.01053
0.69151	 -0.14059
0.78525	 0.07292
0.07005	 0.16922
0.24235	 0.18985
0.87900	 -0.06491
0.56049	 0.40658
0.25967	 -0.00662
0.43128	 0.02539
0.38659	 -0.25537
0.43175	 0.53258
0.56146	 0.20343
0.77135	 0.01437
0.97317	 0.04630
0.78698	 0.16866
0.55011	 -0.18371
0.78218	 -0.19040
0.67312	 -0.20353
0.87067	 -0.13123
0.75013	 0.13449
0.85095	 0.15433
0.64147	 0.13399
0.51614	 -0.07358
0.02754	 0.00293
0.72454	 -0.22358
0.24938	 -0.17529
0.78081	 0.21429
0.73501	 0.05783
0.68768	 0.28985
0.33125	 0.09949
0.36050	 -0.09919
0.52731	 -0.38019
0.22925	 -0.56182
0.93595	 0.08166
0.50842	 -0.45150
0.45929	 -0.12100
0.74966	 -0.16538
0.35401	 0.48768
0.11135	 0.35540
0.06091	 -0.03228
0.82050	 0.08078
0.24712	 0.18278
0.26195	 -0.29126
0.11660	 0.18757
0.89965	 0.02304
0.40236	 -0.17809
0.67809	 0.09688
0.50799	 -0.02124
0.39516	 0.10861
0.21897	 -0.11203
0.39900	 -0.10904
0.27247	 0.35629
0.50856	 0.29957
0.29122	 0.13503
0.36007	 0.04058
0.65805	 -0.08649
0.13717	 -0.05444
0.59655	 -0.31881
0.16209	 -0.24638
0.52831	 0.01310
0.34531	 -0.51986
0.12304	 -0.16904
0.92023	 0.07603
0.80866	 0.00763
0.92962	 -0.02366
0.55496	 -0.35130
0.30503	 0.31628
0.11104	 0.61402
0.70504	 0.23217
0.00738	 0.03461
0.33036	 -0.40841
0.60342	 0.27169
0.07146	 -0.05453
0.85175	 -0.08139
0.60717	 0.32960
0.50614	 0.06011
0.35128	 -0.02793
0.88820	 0.03399
0.47993	 -0.17985
0.90195	 0.03206
0.33765	 -0.12436
0.56598	 -0.40919
0.72696	 0.04615
0.88693	 -0.08339
0.59764	 -0.20794
0.56640	 -0.09122
0.13674	 0.12043
0.80119	 0.09812
0.67730	 0.15664
0.55325	 -0.19032
0.26111	 -0.66557
0.66759	 0.19070
0.77864	 -0.14786
0.66143	 0.01621
0.67562	 -0.29740
0.34359	 -0.10350
0.30268	 0.05462
0.40468	 0.45812
0.71058	 0.28917
0.81887	 0.17729
0.33998	 0.22237
0.86051	 0.05211
0.49292	 -0.02053
0.07322	 0.07450
0.62989	 0.16646
0.10833	 0.06441
0.74099	 -0.23906
0.42826	 -0.47383
0.60972	 -0.09907
0.15614	 -0.39918
0.74186	 0.11358
0.97941	 -0.02491
0.31850	 -0.09615
0.25833	 0.04298
0.43189	 0.42860
0.95357	 -0.00020
0.12669	 0.17794
0.21626	 0.27285
0.29511	 0.02716
0.34606	 0.06617
0.18595	 0.75619
0.31377	 -0.25505
0.05191	 0.06466
0.55804	 -0.01995
0.61817	 -0.02232
0.05734	 -0.06709
0.50857	 0.18123
0.91703	 0.00069
0.11959	 -0.16487
0.74205	 -0.06618
0.62746	 -0.32449
0.38804	 -0.08820
0.68994	 -0.24551
0.10621	 0.13264
0.87211	 -0.03366
0.05818	 -0.09734
0.39518	 -0.17892
0.49661	 -0.25620
0.97927	 0.01356
0.34860	 -0.39583
