#time	 meanx: <x>	 meanxsquare: <x^2>	 Meansqdist: <x^2> - <x>^2	  deff: (<x^2> - <x>^2)/(2t)	 third cumulant: <x^3>-3<x^2><x>+2<x>^3
0.000624	 0.022053	 0.00255	 0.00206	 0.82607	 0.00001
0.001249	 0.044024	 0.00573	 0.00379	 0.75873	 0.00002
0.001874	 0.064979	 0.00966	 0.00544	 0.72597	 -0.00001
0.002499	 0.087924	 0.01493	 0.00720	 0.71999	 0.00003
0.003124	 0.106818	 0.02046	 0.00905	 0.72453	 0.00011
0.003749	 0.126072	 0.02670	 0.01081	 0.72073	 0.00018
0.004374	 0.143271	 0.03316	 0.01264	 0.72226	 0.00026
0.004999	 0.161009	 0.04057	 0.01464	 0.73227	 0.00036
0.005624	 0.176853	 0.04761	 0.01633	 0.72594	 0.00047
0.006249	 0.194482	 0.05595	 0.01812	 0.72505	 0.00042
0.006874	 0.209747	 0.06436	 0.02037	 0.74076	 0.00049
0.007499	 0.225234	 0.07219	 0.02146	 0.71536	 0.00068
0.008124	 0.239685	 0.08178	 0.02434	 0.74889	 0.00100
0.008749	 0.254182	 0.09062	 0.02601	 0.74331	 0.00128
0.009374	 0.267793	 0.09883	 0.02712	 0.72321	 0.00146
0.000625	 0.016907	 0.00220	 0.00192	 0.76619	 0.00000
0.001250	 0.032057	 0.00446	 0.00343	 0.68548	 -0.00000
0.001875	 0.048261	 0.00734	 0.00501	 0.66845	 -0.00001
0.002500	 0.064459	 0.01089	 0.00673	 0.67347	 0.00002
0.003125	 0.080671	 0.01439	 0.00788	 0.63018	 0.00008
0.003750	 0.096567	 0.01864	 0.00931	 0.62099	 0.00013
0.004375	 0.110750	 0.02315	 0.01088	 0.62172	 0.00019
0.005000	 0.125453	 0.02817	 0.01243	 0.62149	 0.00021
0.005625	 0.141583	 0.03353	 0.01348	 0.59913	 0.00038
0.006250	 0.153033	 0.03924	 0.01582	 0.63278	 0.00042
0.006875	 0.166794	 0.04542	 0.01760	 0.64004	 0.00047
0.007500	 0.180301	 0.05207	 0.01956	 0.65197	 0.00083
0.008125	 0.197335	 0.06082	 0.02188	 0.67318	 0.00103
0.008750	 0.213772	 0.07010	 0.02441	 0.69729	 0.00144
0.009375	 0.228958	 0.07861	 0.02619	 0.69839	 0.00157
0.010000	 0.242599	 0.08671	 0.02785	 0.69631	 0.00181
0.010625	 0.256468	 0.09631	 0.03053	 0.71842	 0.00222
0.011250	 0.273267	 0.10680	 0.03213	 0.71394	 0.00203
0.011875	 0.289759	 0.11786	 0.03390	 0.71368	 0.00247
0.012500	 0.304483	 0.12898	 0.03627	 0.72538	 0.00283
0.013125	 0.320495	 0.14086	 0.03814	 0.72650	 0.00310
0.013750	 0.336379	 0.15419	 0.04104	 0.74610	 0.00354
0.014375	 0.354542	 0.16863	 0.04293	 0.74658	 0.00393
0.015000	 0.366831	 0.17851	 0.04394	 0.73240	 0.00379
0.015625	 0.382002	 0.19243	 0.04650	 0.74408	 0.00423
0.016250	 0.398028	 0.20754	 0.04911	 0.75556	 0.00421
0.016875	 0.411687	 0.22134	 0.05185	 0.76822	 0.00398
0.017500	 0.425148	 0.23496	 0.05421	 0.77445	 0.00381
0.018125	 0.439841	 0.25026	 0.05681	 0.78352	 0.00355
0.018750	 0.458546	 0.27066	 0.06039	 0.80522	 0.00345
0.019375	 0.474339	 0.28901	 0.06401	 0.82597	 0.00372
0.020000	 0.487981	 0.30417	 0.06604	 0.82552	 0.00382
0.020625	 0.502913	 0.32206	 0.06914	 0.83802	 0.00322
0.021250	 0.520297	 0.34176	 0.07105	 0.83586	 0.00305
0.021875	 0.534574	 0.35787	 0.07210	 0.82404	 0.00314
0.022500	 0.548862	 0.37476	 0.07351	 0.81676	 0.00260
0.023125	 0.565688	 0.39588	 0.07587	 0.82027	 0.00210
0.023750	 0.581961	 0.41692	 0.07824	 0.82358	 0.00249
0.024375	 0.596736	 0.43723	 0.08114	 0.83216	 0.00159
0.025000	 0.610541	 0.45549	 0.08273	 0.82730	 0.00116
0.025625	 0.627038	 0.47838	 0.08520	 0.83125	 0.00173
0.026250	 0.641166	 0.49817	 0.08708	 0.82933	 0.00092
0.026875	 0.655455	 0.51906	 0.08943	 0.83194	 0.00088
0.027500	 0.671949	 0.54328	 0.09176	 0.83418	 0.00037
0.028125	 0.686594	 0.56605	 0.09464	 0.84125	 0.00005
0.028750	 0.702912	 0.59021	 0.09613	 0.83590	 -0.00021
0.029375	 0.719879	 0.61461	 0.09639	 0.82030	 -0.00058
0.030000	 0.740207	 0.64674	 0.09884	 0.82363	 -0.00001
0.030625	 0.755607	 0.67216	 0.10122	 0.82629	 0.00004
0.031250	 0.771091	 0.69703	 0.10245	 0.81959	 -0.00072
0.031875	 0.786515	 0.72214	 0.10354	 0.81205	 -0.00088
0.032500	 0.802814	 0.74989	 0.10538	 0.81062	 -0.00166
0.033125	 0.820078	 0.78021	 0.10768	 0.81268	 -0.00264
0.033750	 0.837339	 0.81127	 0.11013	 0.81579	 -0.00287
0.034375	 0.853182	 0.84084	 0.11292	 0.82127	 -0.00254
0.035000	 0.870413	 0.87238	 0.11476	 0.81971	 -0.00340
0.035625	 0.886076	 0.90219	 0.11706	 0.82150	 -0.00375
0.036250	 0.901256	 0.92987	 0.11761	 0.81111	 -0.00312
0.036875	 0.914741	 0.95552	 0.11877	 0.80520	 -0.00372
