#time	 meanx: <x>	 meanspeed: <v>	 mu	 abb
0.000624	 0.0221	 35.35566	 0.8839	  0
0.001249	 0.0440	 35.25421	 0.8814	  0
0.001874	 0.0650	 34.67884	 0.8670	  0
0.002499	 0.0879	 35.18705	 0.8797	  0
0.003124	 0.1068	 34.19540	 0.8549	  0
0.003749	 0.1261	 33.63046	 0.8408	  0
0.004374	 0.1433	 32.75709	 0.8189	  0
0.004999	 0.1610	 32.20980	 0.8052	  0
0.005624	 0.1769	 31.44744	 0.7862	  0
0.006249	 0.1945	 31.12337	 0.7781	  0
0.006874	 0.2097	 30.51425	 0.7629	  0
0.007499	 0.2252	 30.03615	 0.7509	  0
0.008124	 0.2397	 29.50429	 0.7376	  0
0.008749	 0.2542	 29.05350	 0.7263	  0
0.009374	 0.2678	 28.56839	 0.7142	  0
0.000625	 0.0169	 27.05113	 0.6763	  0
0.001250	 0.0321	 25.64533	 0.6411	  0
0.001875	 0.0483	 25.73921	 0.6435	  0
0.002500	 0.0645	 25.78349	 0.6446	  0
0.003125	 0.0807	 25.81472	 0.6454	  0
0.003750	 0.0966	 25.75123	 0.6438	  0
0.004375	 0.1107	 25.31424	 0.6329	  0
0.005000	 0.1255	 25.09061	 0.6273	  0
0.005625	 0.1416	 25.17030	 0.6293	  0
0.006250	 0.1530	 24.48534	 0.6121	  0
0.006875	 0.1668	 24.26088	 0.6065	  0
0.007500	 0.1803	 24.04009	 0.6010	  0
0.008125	 0.1973	 24.28738	 0.6072	  0
0.008750	 0.2138	 24.43107	 0.6108	  0
0.009375	 0.2290	 24.42213	 0.6106	  0
0.010000	 0.2426	 24.25990	 0.6065	  0
0.010625	 0.2565	 24.13820	 0.6035	  0
0.011250	 0.2733	 24.29038	 0.6073	  0
0.011875	 0.2898	 24.40078	 0.6100	  0
0.012500	 0.3045	 24.35861	 0.6090	  0
0.013125	 0.3205	 24.41864	 0.6105	  0
0.013750	 0.3364	 24.46396	 0.6116	  0
0.014375	 0.3545	 24.66379	 0.6166	  0
0.015000	 0.3668	 24.45540	 0.6114	  0
0.015625	 0.3820	 24.44813	 0.6112	  0
0.016250	 0.3980	 24.49405	 0.6124	  0
0.016875	 0.4117	 24.39626	 0.6099	  0
0.017500	 0.4251	 24.29416	 0.6074	  0
0.018125	 0.4398	 24.26707	 0.6067	  0
0.018750	 0.4585	 24.45578	 0.6114	  0
0.019375	 0.4743	 24.48203	 0.6121	  0
0.020000	 0.4880	 24.39904	 0.6100	  0
0.020625	 0.5029	 24.38364	 0.6096	  0
0.021250	 0.5203	 24.48456	 0.6121	  0
0.021875	 0.5346	 24.43766	 0.6109	  0
0.022500	 0.5489	 24.39386	 0.6098	  0
0.023125	 0.5657	 24.46218	 0.6116	  0
0.023750	 0.5820	 24.50360	 0.6126	  0
0.024375	 0.5967	 24.48150	 0.6120	  0
0.025000	 0.6105	 24.42163	 0.6105	  0
0.025625	 0.6270	 24.46979	 0.6117	  0
0.026250	 0.6412	 24.42536	 0.6106	  0
0.026875	 0.6555	 24.38904	 0.6097	  0
0.027500	 0.6719	 24.43451	 0.6109	  0
0.028125	 0.6866	 24.41222	 0.6103	  0
0.028750	 0.7029	 24.44913	 0.6112	  0
0.029375	 0.7199	 24.50653	 0.6127	  0
0.030000	 0.7402	 24.67356	 0.6168	  0
0.030625	 0.7556	 24.67287	 0.6168	  0
0.031250	 0.7711	 24.67490	 0.6169	  0
0.031875	 0.7865	 24.67499	 0.6169	  0
0.032500	 0.8028	 24.70196	 0.6175	  0
0.033125	 0.8201	 24.75707	 0.6189	  0
0.033750	 0.8373	 24.81004	 0.6203	  0
0.034375	 0.8532	 24.81984	 0.6205	  0
0.035000	 0.8704	 24.86893	 0.6217	  0
0.035625	 0.8861	 24.87230	 0.6218	  0
0.036250	 0.9013	 24.86223	 0.6216	  0
0.036875	 0.9147	 24.80653	 0.6202	  0
0.037500	 0.9283	 24.75365	 0.6188	  0
0.038125	 0.9417	 24.70004	 0.6175	  0
0.038750	 0.9587	 24.74192	 0.6185	  0
0.039375	 0.9758	 24.78140	 0.6195	  0
0.040000	 0.9885	 24.71333	 0.6178	  0
0.040625	 1.0050	 24.73771	 0.6184	  0
0.041250	 1.0212	 24.75705	 0.6189	  0
0.041875	 1.0351	 24.71850	 0.6180	  0
0.042500	 1.0515	 24.74215	 0.6186	  0
0.043125	 1.0669	 24.73903	 0.6185	  0
0.043750	 1.0851	 24.80141	 0.6200	  0
0.044375	 1.1030	 24.85626	 0.6214	  0
0.045000	 1.1176	 24.83540	 0.6209	  0
0.045625	 1.1336	 24.84637	 0.6212	  0
0.046250	 1.1503	 24.87181	 0.6218	  0
0.046875	 1.1652	 24.85785	 0.6214	  0
0.047500	 1.1825	 24.89498	 0.6224	  0
0.048125	 1.1961	 24.85421	 0.6214	  0
0.048750	 1.2146	 24.91419	 0.6229	  0
0.049375	 1.2314	 24.94010	 0.6235	  0
0.050000	 1.2502	 25.00457	 0.6251	  0
0.050625	 1.2688	 25.06296	 0.6266	  0
0.051250	 1.2840	 25.05431	 0.6264	  0
0.051875	 1.2986	 25.03289	 0.6258	  0
0.052500	 1.3116	 24.98248	 0.6246	  0
0.053125	 1.3275	 24.98845	 0.6247	  0
0.053750	 1.3458	 25.03781	 0.6259	  1
0.054375	 1.3628	 25.06309	 0.6266	  2
